id,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,World Total,151000000000,157000000000,176000000000,200000000000,224000000000,252000000000,267000000000,209000000000,257000000000,296000000000,314000000000
4,Afghanistan,2063571,8127240,12252321,71905463,97954552,151648981,114723275,335782008,344890841,1032009678,105493119
8,Albania,4166542,994648,1650796,3220756,1063956,1779775,8964215,6288593,4894072,5410980,11427067
12,Algeria,72844381,58608733,90116730,98166067,138879481,194878752,124441901,203158449,230351219,120363775,141612880
20,Andorra,1030854,1136297,1486462,1435138,1810091,3677709,5953949,3391347,1032000,807458,755890
24,Angola,26024277,40855271,27179688,25372935,51548144,73602125,93058618,53117468,52359770,76838275,91730587
28,Antigua and Barbuda,3350122,3631512,3703860,8722603,10630909,9182599,10820096,8420084,5929920,4069608,8541030
31,Azerbaijan,4410827,9319357,14055049,7207922,15810962,9643951,10708491,19563713,15571411,61892716,52649247
32,Argentina,278612871,500370011,635081335,710438628,849437524,1094079783,1264355920,837868751,1339016444,1619351137,1352175448
36,Australia,2997863923,3349407623,3923265721,4523679762,5194365336,5601712563,6090976285,4805198593,6229689077,8621148999,10599243809
40,Austria,1071874116,828587905,920678466,1248004970,1433517289,1305862717,1109871253,856694601,519324678,691849359,1036370374
44,Bahamas,44223899,45481044,47917095,49146497,91566860,68830056,53278521,56735136,64034137,72219288,67744969
48,Bahrain,39540271,41553024,45016168,56267947,98046083,138463302,145407141,78137445,103427602,140550493,271179603
50,Bangladesh,36821919,25988793,56940498,68824210,59490857,74866141,93764724,59521914,63762689,82319152,63362501
51,Armenia,1486509,1929112,3435464,4027626,2796951,3386174,6202321,11538448,19212774,25442738,14379500
52,Barbados,16394990,18349434,18534258,31574050,26399311,24088927,31066292,28787094,28605240,29129754,30034263
56,Belgium,2740126373,2872736874,3226762949,3867341108,4575684959,5353553587,5401772078,3902282500,4564788307,5564518669,5785609755
60,Bermuda,20941720,42498882,40152019,34302221,39961844,43054898,55644165,77446044,43998072,36885731,30410413
64,Bhutan,7067,89294,129673,25947,536069,235491,98954,175325,204297,166620,298719
68,Bolivia,14069104,20330481,32483888,34395551,29579338,36042325,42154126,36245361,47869925,77756295,87143461
70,Bosnia and Herzegovina,5337105,1250443,1556999,3240336,3609270,3068392,9339653,4784079,1867815,2948153,3130788
72,Botswana,6478242,4090404,14886426,8127735,2383853,9309272,15328174,17956360,10490865,3565103,9501060
76,Brazil,2248078847,2182535727,2829781714,3509116625,3831542472,5709256407,7326811030,5524920630,7681784083,8972632149,8756310109
84,Belize,16119315,10989840,9579686,11561455,11547648,11306950,14189755,11488972,14888695,21168336,12634000
86,British Indian Ocean Territories,88579,741736,346358,232591,30059,66554,110587,15671,85706,7200,120108
90,Slovenia,29481209,34715540,41550820,46591979,47602160,75192381,59310245,31931847,33691709,34700453,28560263
92,British Virgin Islands,3132425,2908440,2696404,26113764,45540539,28398777,16945436,12636482,6843326,8491961,7008628
96,Brunei,2892534,2693313,3407479,7696950,6675694,7649248,10088701,5720005,8530925,12402866,13628565
100,Bulgaria,15347642,16322207,23367760,38191718,37508589,56997872,80993071,43256176,40866003,70230143,67601521
104,Burma,2305708,1105601,2981743,937435,1683408,765476,1567228,220294,1375097,2625726,3232817
108,Burundi,591701,171315,266634,217038,1528337,2563285,986052,3722478,474193,2472170,4294835
112,Belarus,4020167,10000899,7961731,6103720,33477905,46138020,40928744,49621375,45083879,35876036,27874125
116,Cambodia,4568906,4114138,7386177,9394900,7332356,20021085,11999842,6910199,8883803,12449183,18087405
120,Cameroon,3707377,2560680,1633801,2642345,2696287,4091343,6677882,12829714,6919006,8913265,24024118
124,Canada,67077608549,70224717289,76298781198,83517673138,90490440249,98240096920,98553332068,72828476100,92358223020,104000000000,108000000000
132,Cape Verde,67004,1673079,160745,1585210,3344944,561312,1188160,935012,206979,343301,546180
136,Cayman Islands,14339778,15621533,17029647,31943585,37979864,29648418,55641501,22046011,30621039,28121346,33584219
140,Central African Republic,460612,558899,724452,3923932,689042,4582126,3725574,714534,565855,487763,97525
144,Spain,1023398559,1208432928,1358801344,1373937501,1467356804,2113190636,1958527022,1348467482,2048016527,2197731375,1886709684
148,Chad,250173,120876,188584,3265793,1962592,6489899,8812748,2032245,806643,1573962,565123
152,Chile,494181441,522195904,678892157,893231657,1045761719,1451130724,1820694457,1417164352,2040259546,2686930210,3160905554
156,China,2828299513,3641496758,4807655221,6098216109,7938145387,10112501377,11231012419,10838881256,14595069214,17114561920,19214376273
158,Switzerland,677901586,685046349,841846285,1117778484,1252073095,1468207652,1622435283,1480002451,1444295146,1638375641,1418487007
162,Christmas Island,180365,237527,119839,108563,215521,216321,722989,122059,726691,141376,222266
166,Cocos (Keeling) Islands,248217,87944,59034,0,129581,154977,287660,404652,312793,449293,819177
170,Colombia,329583503,342630388,448461502,563073227,779178095,997378653,1243968540,960192749,1155463039,1360390724,1494987738
174,Comoros,0,75160,96250,0,7295,121856,159657,392946,60955,8411,9109
175,Mayotte,0,0,15358,0,0,0,0,321517,438815,726533,7462832
178,Congo (Brazzaville),3155178,1319889,3665850,2213934,3737712,3888803,4667636,4972388,5601346,8162415,9010037
180,Congo (Kinshasa),534125,1192955,1402509,7753436,12265175,13779031,8302412,6775650,5377385,17508703,12934471
184,Cook Islands,4228,6372,37041,74592,50733,197394,131603,100324,152477,821702,185979
188,Costa Rica,207196697,215965744,224367277,257691185,331988011,376009007,428620297,359728655,486878621,537395429,589658507
191,Croatia,12215894,16335782,15503900,25584507,26230117,28199455,58767651,45325131,36885719,59366140,56031489
192,Cuba,733891,2651016,13128457,23542092,21651655,48237648,69645778,19575659,4826916,19593782,31296875
196,Cyprus,16985514,16977588,16063720,15672397,15474927,17530066,38100694,25452102,12172340,14498673,31826363
203,Czech Republic,124462786,140098914,196768690,227119854,228677348,280322073,303666676,217557705,290224734,314935912,351365987
204,Benin,4519890,3283836,7977741,18175665,23423036,45564111,117818678,38345889,13008044,35512450,23680513
208,Denmark,304355639,323657357,416190246,487118773,594285623,727124835,775197944,602487461,614456213,637774711,576784407
212,Dominica,6271738,3623787,3187847,2788990,8581780,4131837,3116999,3004604,6495501,4246553,4658319
214,Dominican Republic,274567936,171375485,200056799,285242541,310800261,346625116,432744721,322226513,478900087,523693662,514114580
218,Ecuador,139340059,110691634,126903093,140160496,204489592,199392495,256664665,316412467,348533122,425270039,465975516
222,El Salvador,110690607,107708653,150415745,160950580,220018602,274960733,277262378,204209251,289403346,300848237,312257347
226,Equatorial Guinea,384509,240706,1872075,1228183,1581074,3635440,7996594,2941304,7283809,2852955,5139769
231,Ethiopia,2269267,32986378,46408266,64910088,24363287,39295016,68913085,34769426,77987511,50382068,59354983
232,Eritrea,698893,6684018,6205858,5432835,901263,2511455,7510689,530324,470026,696968,713293
233,Estonia,12095335,25021094,27159022,25120901,35491677,65230073,53779916,32214373,33352502,55181540,77775961
234,Faroe Islands,3121,7740,805504,640415,1176662,371053,166635,1311944,251052,149877,189466
238,Falkland Islands (Islas Malvinas),2691,15408,84708,0,177665,3128,5864,38829,12374,30271,35455
242,Fiji,904637,1092054,2006425,5467626,4244984,6585504,3687750,2883615,3435174,3816829,3990008
246,Finland,207977656,269841848,320965368,417523813,459800849,519180182,485248011,272048237,346062770,559146142,496886369
250,France,4543283284,4599558723,5784742881,6386110217,6914210388,7806861049,8043180988,6903784388,7360621236,7452306302,8431263040
254,French Guiana,1266511,1884964,2068235,1620388,1396000,1601798,1042293,1219686,715923,1140009,1616997
258,French Polynesia,6311426,7821737,8692271,24119834,12982682,11752174,9036066,8912498,12631761,10726144,13378500
260,French Southern and Antarctic Lands,280003,2859,5342,217600,46250,218326,304160,0,38902,715760,82200
262,Djibouti,2754907,1275367,3193291,3181754,13451545,17677609,16321510,32653915,18830645,16882443,17787283
266,Gabon,1679256,1790759,3591308,4128720,20740203,8396592,5631923,3323282,4751435,16724582,35184281
