id,Country,2008,2009,2010,2011,2012
0,World Total,4.12868E+11,3.0688E+11,3.92023E+11,4.46367E+11,4.77307E+11
4,Afghanistan,5651801,8486743,3082324,680370,8661339
8,Albania,1141716,993526,664123,597238,973267
12,Algeria,349071189,315212407,715083536,68277058,50428973
20,Andorra,6062,9586,132671,311438,20702
24,Angola,954155379,277785290,139663732,13916,41550
28,Antigua and Barbuda,974624,943167,700070,1567148,2776715
31,Azerbaijan,179228,119027,72179,399544,516086
32,Argentina,506805444,317075718,326944920,391470657,413396351
36,Australia,1421944280,1332405187,1493655206,1707286282,1656636557
40,Austria,1618565913,1193681527,1329602872,1813165714,1836737728
44,Bahamas,19320540,11313170,24133339,46003523,49563716
48,Bahrain,116257366,47269768,41648664,125525651,42974038
50,Bangladesh,306854385,319473549,415018489,524807199,589776031
51,Armenia,938079,2597510,6539376,9853487,11786936
52,Barbados,13812799,12186957,8009337,4425313,3640101
56,Belgium,1911239682,1727982458,1799033846,1878580314,2210069894
60,Bermuda,2638275,1380223,1931693,2761120,2194932
64,Bhutan,2054,0,80487,233342,108144
68,Bolivia,4712312,7368544,10085949,21052187,16536850
70,Bosnia and Herzegovina,4371852,1530364,1616974,2796501,2835802
72,Botswana,478642,22559,208034,161225,4003963
76,Brazil,4406711158,2262389930,2780966593,3317986030,3461257425
84,Belize,329573,249902,1125832,229380,239508
86,British Indian Ocean Territories,68868,23747,58256,32428,4254
90,Solomon Islands,12148,0,17070,0,36119
92,British Virgin Islands,683846,548862,191155,622674,2071146
96,Brunei,7473783,4065343,2801445,673272,419935
100,Bulgaria,35026470,28833314,42571353,79748561,101512651
104,Burma,0,0,0,0,0
108,Burundi,163198,553155,84203,849563,734633
112,Belarus,71096452,2705433,3623732,17411053,3543455
116,Cambodia,310610318,241273545,356874982,418968398,445259262
120,Cameroon,9130950,5719842,5702864,6371136,5244623
124,Canada,1.40163E+11,88590149970,1.15664E+11,1.34987E+11,1.42309E+11
132,Cape Verde,86815,26222,5920,75505,27425
136,Cayman Islands,1179524,1683067,1061356,1551279,743676
140,Central African Republic,615937,42786,282944,23928,110984
144,Sri Lanka,583277228,534412809,541516966,651318215,692301503
148,Chad,292474,35381,1179394,0,3934
152,Chile,337266176,290106103,394060679,506969048,706502705
156,China,63691050774,56710532255,68634022811,72869948270,82803672598
158,Taiwan,8147862709,7208047838,8568013336,10315711136,9125011265
162,Christmas Island,897359,19907,28481,213017,85746
166,Cocos (Keeling) Islands,144674,25900,24368,408828,103394
170,Colombia,266254719,146578419,194978327,230214632,208060266
174,Comoros,126875,0,264370,58025,147274
175,Mayotte,291,0,0,0,4291
178,Congo (Brazzaville),727836,55885,239104,177933,422390
180,Congo (Kinshasa),188879,143249,1669215,875168,265383
184,Cook Islands,345358,19454,153458,51950,448183
188,Costa Rica,381297235,363281042,547046314,685924400,742368548
191,Croatia,52924915,65773233,64461575,61732786,98528624
192,Cuba,0,5500,0,0,0
196,Cyprus,1759057,768055,682532,757298,1614906
203,Czech Republic,558445810,363264346,507279484,804951257,883490926
204,Benin,26132,2185,19774,3013,132368
208,Denmark,1904711459,1886620232,2283198885,2852024350,3364447783
212,Dominica,89356,308203,103013,43467,33249
214,Dominican Republic,296068414,243818518,306866733,356901742,353467654
218,Ecuador,109093146,178215883,95241872,150380627,89539513
222,El Salvador,324172905,209101468,236096441,270454005,343946327
226,Equatorial Guinea,1126766,993945,234756,276946,476312
231,Ethiopia,15261640,13836326,13831084,14959026,59454575
232,Eritrea,3388,256253,4431,0,18635
233,Estonia,52500973,55016613,406754036,143473402,98275490
234,Faroe Islands,203384,390468,1165248,3004437,1712855
238,Falkland Islands (Islas Malvinas),23281,3417,1232,825196,3625
242,Fiji,788950,206230,270085,543346,718128
246,Finland,1551636133,1013115795,1192810770,1340712595,1292678158
250,France,8600045745,6567063712,6787651437,7494311758,7387750533
254,French Guiana,10140,3099,0,4559,4000
258,French Polynesia,2536344,966316,1076608,1008582,1206809
260,French Southern and Antarctic Lands,0,0,4800,0,0
262,Djibouti,83220,119214,69724,23167,153618
266,Gabon,25485819,36723121,62962027,80727630,55232412
268,Georgia,1097019,825845,1426904,1211084,283183
270,Gambia,22252,691804,23282,258,56846
276,Germany,21004444727,14435620258,16306437456,20352730132,21685651676
288,Ghana,8167068,9698696,34800326,32352188,38799123
292,Gibraltar,42626,302656,22520,5760,143654
296,Kiribati,0,40354,750,0,0
300,Greece,94517899,69806090,71343506,77987569,70145082
304,Greenland,500,0,3388,327792,764912
308,Grenada,231194,50896,165967,165275,97664
312,Guadeloupe,224696,581509,163980,331858,971017
320,Guatemala,337662365,273247509,270724183,253147850,252595236
