id,Country,2008,2009,2010,2011,2012
0,World Total,-146000000000,-98199572680,-135000000000,-150000000000,-164000000000
4,Afghanistan,109071474,327295265,341808517,1031329308,96831780
8,Albania,7822499,5295067,4229949,4813742,10453800
12,Algeria,-224629288,-112053958,-484732317,52086717,91183907
20,Andorra,5947887,3381761,899329,496020,735188
24,Angola,-861096761,-224667822,-87303962,76824359,91689037
28,Antigua and Barbuda,9845472,7476917,5229850,2502460,5764315
31,Azerbaijan,10529263,19444686,15499232,61493172,52133161
32,Argentina,757550476,520793033,1012071524,1227880480,938779097
36,Australia,4669032005,3472793406,4736033871,6913862717,8942607252
40,Austria,-508694660,-336986926,-810278194,-1121316355,-800367354
44,Bahamas,33957981,45421966,39900798,26215765,18181253
48,Bahrain,29149775,30867677,61778938,15024842,228205565
50,Bangladesh,-213089661,-259951635,-351255800,-442488047,-526413530
51,Armenia,5264242,8940938,12673398,15589251,2592564
52,Barbados,17253493,16600137,20595903,24704441,26394162
56,Belgium,3490532396,2174300042,2765754461,3685938355,3575539861
60,Bermuda,53005890,76065821,42066379,34124611,28215481
64,Bhutan,96900,175325,123810,-66722,190575
68,Bolivia,37441814,28876817,37783976,56704108,70606611
70,Bosnia and Herzegovina,4967801,3253715,250841,151652,294986
72,Botswana,14849532,17933801,10282831,3403878,5497097
76,Brazil,2920099872,3262530700,4900817490,5654646119,5295052684
84,Belize,13860182,11239070,13762863,20938956,12394492
86,British Indian Ocean Territories,41719,-8076,27450,-25228,115854
90,Solomon Islands,9352,18631,96844,385422,205597
92,British Virgin Islands,16261590,12087620,6652171,7869287,4937482
96,Brunei,2614918,1654662,5729480,11729594,13208630
100,Bulgaria,45966601,14422862,-1705350,-9518418,-33911130
104,Burma,1567228,220294,1375097,2625726,3232817
108,Burundi,822854,3169323,389990,1622607,3560202
112,Belarus,-30167708,46915942,41460147,18464983,24330670
116,Cambodia,-298610476,-234363346,-347991179,-406519215,-427171857
120,Cameroon,-2453068,7109872,1216142,2542129,18779495
124,Canada,-41609267101,-15761673870,-23305847774,-30923692359,-34179986960
132,Cape Verde,1101345,908790,201059,267796,518755
136,Cayman Islands,54461977,20362944,29559683,26570067,32840543
140,Central African Republic,3109637,671748,282911,463835,-13459
144,Sri Lanka,-553308141,-509133670,-517150958,-617569061,-650835424
148,Chad,8520274,1996864,-372751,1573962,561189
