id,name
0,World
124,Canada
484,Mexico
156,China
36,Australia
392,Japan
276,Germany
826,United Kingdom
152,Chile
250,France
76,Brazil
356,India
56,Belgium
410,South Korea
528,Netherlands
702,Singapore
682,Saudi Arabia
784,United Arab Emirates
344,Hong Kong
380,Italy
604,Peru
710,South Africa
643,Russian Federation
158,Taiwan
764,Thailand
170,Colombia
458,Malaysia
608,Philippines
752,Sweden
32,Argentina
372,Ireland
862,Venezuela
792,Turkey
616,Poland
724,Spain
360,Indonesia
756,Switzerland
246,Finland
376,Israel
554,New Zealand
578,Norway
704,Viet Nam
203,Czech Republic
804,Ukraine
214,Dominican Republic
208,Denmark
340,Honduras
598,Papua New Guinea
591,Panama
188,Costa Rica
818,Egypt
40,Austria
12,Algeria
442,Luxembourg
218,Ecuador
320,Guatemala
642,Romania
414,Kuwait
634,Qatar
400,Jordan
620,Portugal
348,Hungary
586,Pakistan
858,Uruguay
368,Iraq
50,Bangladesh
566,Nigeria
4,Afghanistan
504,Morocco
512,Oman
780,Trinidad and Tobago
222,El Salvador
478,Mauritania
422,Lebanon
388,Jamaica
788,Tunisia
48,Bahrain
68,Bolivia
496,Mongolia
440,Lithuania
703,Slovakia
300,Greece
398,Kazakhstan
100,Bulgaria
262,Djibouti
428,Latvia
44,Bahamas
558,Nicaragua
231,Ethiopia
233,Estonia
60,Bermuda
474,Martinique
600,Paraguay
191,Croatia
288,Ghana
352,Iceland
364,Iran
144,Sri Lanka
24,Angola
52,Barbados
705,Slovenia
108,Burundi
740,Suriname
404,Kenya
328,Guyana
688,Serbia
31,Azerbaijan
136,Cayman Islands
178,Congo
434,Libyan Arab Jamahiriya
800,Uganda
258,French Polynesia
112,Belarus
332,Haiti
180,Democratic Republic of Congo
268,Georgia
860,Uzbekistan
450,Madagascar
454,Malawi
834,Tanzania; United Republic of
196,Cyprus
192,Cuba
854,Burkina Faso
531,Curacao
533,Aruba
686,Senegal
84,Belize
498,Moldova; Republic of
772,Tokelau Islands
418,Lao People's Democratic Republic
266,Gabon
96,Brunei
706,Somalia
540,New Caledonia
894,Zambia
254,French Guiana
524,Nepal
70,Bosnia and Herzegovina
72,Botswana
384,Cote d'Ivoire
534,Sint Maarten
446,Macau; SAR of China
204,Benin
308,Grenada
92,British Virgin Islands
430,Liberia
116,Cambodia
438,Liechtenstein
470,Malta
508,Mozambique
466,Mali
694,Sierra Leone
312,Guadeloupe
716,Zimbabwe
28,Antigua and Barbuda
760,Syrian Arab Republic
324,Guinea
562,Niger
690,Seychelles
796,Turks and Caicos Islands
462,Maldives
480,Mauritius
807,Macedonia
516,Namibia
120,Cameroon
662,Saint Lucia
887,Yemen
212,Dominica
242,Fiji
226,Equatorial Guinea
670,Saint Vincent and the Grenadines
583,Micronesia (Federated States of)
584,Marshall Islands
795,Turkmenistan
660,Anguilla
768,Togo
90,Solomon Islands
585,Palau
270,Gambia
86,British Indian Ocean Territory
659,Saint Kitts and Nevis
417,Kyrgyzstan
51,Armenia
654,Saint Helena
104,Burma (Myanmar)
8,Albania
175,Mayotte
674,San Marino
296,Kiribati
0,Kosovo
0,West Bank
132,Cape Verde
148,Chad
638,Reunion
499,Montenegro
666,Saint Pierre and Miquelon
728,South Sudan
776,Tonga
646,Rwanda
260,French Southern Territories
624,Guinea Bissau
762,Tajikistan
140,Central African Republic
748,Swaziland
548,Vanuatu
64,Bhutan
626,East Timor
882,Samoa
492,Monaco
232,Eritrea
304,Greenland
876,Wallis and Futuna
336,Vatican City
798,Tuvalu
744,Svalbard and Jan Mayen Island
729,Sudan
688,Serbia and Montenegro
678,Sao Tome and Principe
612,Pitcairn Islands
0,Other Countries
408,North Korea
574,Norfolk Island
570,Niue
528,Netherlands Antilles
520,Nauru
500,Montserrat
426,Lesotho
334,Heard Island and Mcdonald Islands
292,Gibraltar
0,Gaza Strip
234,Faroe Islands
238,Falkland Islands (Malvinas)
184,Cook Islands
174,Comoros
166,Cocos (Keeling) Islands
162,Christmas Island
20,Andorra
