Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
World Total,0,0.101879672,0.224551844,0.1493676,0.143147539,0.145645521,0.255692392,-0.254235004,0.20325985,0.22304945,0.097448544
Afghanistan,4,-0.712767452,6.189133388,0.033057227,-0.414880386,3.90543886,1.050160959,-0.085602856,0.591629628,0.453196622,-0.136835583
Albania,8,0.857251908,-0.003653469,1.219828574,-0.469068759,-0.18383697,78.87558372,-0.325327856,-0.219298773,0.790212024,0.901786268
Algeria,12,8.614630345,-0.793170078,6.526809402,-0.91033649,-0.396795818,-0.478757972,7.588423676,1.071190174,0.067091135,-0.918162196
Andorra,20,999,999,999,999,999,-0.801955137,777,999,999,999
Angola,24,2.743937484,1.360289096,0.944772451,0.871870813,-0.422639445,0.789581079,-0.453136457,0.086099291,0.568934004,-0.706579493
Antigua and Barbuda,28,-0.795159081,0.681161882,7.513034253,-0.338003762,4.441100931,-0.660876062,-0.598209243,-0.452849067,-0.682215212,8.252555633
Azerbaijan,31,999,-0.764561032,3.489514611,0.977790071,-0.592208724,-0.633795702,-0.505873589,0.241216723,12.07801847,-0.591727935
Argentina,32,1.555334913,0.754368629,-0.032556864,0.382414658,-0.026489995,0.303129642,-0.415349577,0.826029341,0.216561405,-0.256377494
Australia,36,0.248230191,0.743253872,-0.1311734,-0.084047406,-0.001612523,0.209665908,0.019948989,0.125862532,0.600585502,0.159245759
Austria,40,-0.08203982,0.537645018,-0.402655272,-0.111072669,0.995752842,1.578257588,-0.726416342,0.783396824,0.549920258,0.302075068
Bahamas,44,0.79856023,0.611698306,-0.247077816,0.077652327,-0.193966631,-0.105168206,-0.20829582,-0.109662466,1.09483237,0.197149756
Bahrain,48,0.112883781,0.343713805,-0.038876186,-0.283020831,0.760468356,0.3208724,-0.298241794,0.652949878,-0.492933056,-0.358869995
Bangladesh,50,0.523772408,-0.140747689,-0.111462623,1.053584046,0.091792365,-0.27772287,0.213996734,-0.269386234,1.129072976,-0.603180116
Armenia,51,999,28.40493504,2.296865405,777,999,777,999,999,999,-0.888628705
Barbados,52,2.033390382,0.80291545,0.334188846,-0.072156945,-0.486006908,0.084191787,0.015277822,-0.108585213,0.57304068,-0.395522248
Belgium,56,-0.117252631,0.150218329,-0.040536182,-0.020782675,-0.07797042,0.455508741,-0.569841173,-0.139547323,0.931790722,0.514666116
Bermuda,60,1.224718456,0.031040265,-0.314867007,1.808984637,-0.756225811,1.235088182,-0.313488789,0.914914409,-0.665291189,0.419233628
Bhutan,64,999,999,999,999,999,777,999,999,999,777
Bolivia,68,0.62467445,0.14647794,-0.392523185,-0.161849576,1.348176094,0.884865893,-0.367919011,1.77137822,-0.278158057,2.19928892
