id,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,World Total,4754035607,5238375195,6414662004,7372804672,8428203520,9655733616,12124631240,9042125564,10880026652,13306810612,14603539933
4,Afghanistan,64077,18405,132316,136690,79980,392337,804354,735499,1170642,1701173,1468392
8,Albania,11790,21897,21817,48430,25713,20986,1676269,1130932,882920,1580614,3005990
12,Algeria,540206,5193881,1074250,8085675,724990,437317,227948,1957714,4054798,4326839,354099
20,Andorra,0,0,0,0,0,22914,4538,0,0,0,0
24,Angola,138845,519827,1226942,2386123,4466514,2578789,4614952,2523749,2741042,4300514,1261859
28,Antigua and Barbuda,229915,47096,79176,674028,446204,2427841,823339,330810,181003,57520,532207
31,Azerbaijan,0,1044895,246009,1104461,2184392,890776,326206,161187,200068,2616493,1068241
32,Argentina,9450670,24149627,42367348,40988000,56662412,55161425,71882488,42026127,76740941,93360067,69424647
36,Australia,115292797,143911950,250875064,217966929,199647374,199325438,241117187,245927231,276880255,443170522,513743548
40,Austria,11394674,10459857,16083547,9607422,8540300,17044328,43944668,12022543,21440965,33231786,43270280
44,Bahamas,429513,772505,1245045,937422,1010215,814267,728632,576861,513601,1075908,1288023
48,Bahrain,1270776,1414226,1900315,1826438,1309518,2305365,3045093,2136919,3532220,1791072,1148310
50,Bangladesh,563237,858245,737449,655251,1345613,1469130,1061119,1288195,941173,2003826,795158
51,Armenia,0,12239,359887,1186499,0,82000,0,0,0,35018,3900
52,Barbados,446985,1355880,2444537,3261474,3026136,1555413,1686366,1712130,1526218,2400803,1451232
56,Belgium,79750765,70399778,80975115,77692693,76078031,70146195,102098400,43918528,37789815,73002014,110573677
60,Bermuda,296224,659015,679471,465528,1307661,318774,712488,489131,936644,313503,444934
64,Bhutan,0,0,0,0,0,88692,0,0,0,6180,0
68,Bolivia,756029,1228301,1408220,855461,717005,1683654,3173462,2005885,5559066,4012767,12838001
70,Bosnia and Herzegovina,45316,79340,211167,216850,5000,22698,132212,0,0,0,82637
72,Botswana,0,0,9219,0,4224,102800,37224,303228,81650,212418,237364
76,Brazil,55546891,99016230,135793918,97563500,95512068,217537413,349272375,149841497,353531565,526721305,632626014
84,Belize,240508,94755,546218,398924,221747,338005,362787,304264,1010868,1860177,1764810
86,British Indian Ocean Territories,0,145820,0,20353,12620,0,0,0,0,0,0
90,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0
92,British Virgin Islands,131766,6780,67724,524190,297573,493244,33208,78604,61474,75809,83174
96,Brunei,87948,249625,57997,357622,204088,210600,198045,183401,82981,73349,905035
100,Bulgaria,881792,296689,1761396,3953832,3035154,5012637,11711330,7860314,12547678,16470712,16468528
104,Burma,0,0,2788,50536,0,0,231180,4680,0,79988,298703
108,Burundi,0,0,5000,30310,0,19407,50702,5463,0,0,16652
112,Belarus,250579,449428,284312,830421,14002489,19939539,5695692,1804507,902700,1514702,535054
116,Cambodia,123163,149012,90896,229905,198173,74481,139764,10392,336478,51210,416026
120,Cameroon,18412,254484,7800,108368,0,249345,1463170,204062,39037,452017,219922
124,Canada,1675313469,1875929027,2318576199,2574646603,3085953335,3275787061,3882178943,3037250402,3435015034,4082739163,4333527576
132,Cape Verde,24939,28000,44750,0,12911,5229,0,0,0,0,0
136,Cayman Islands,166282,127433,389125,482389,1185412,499691,278923,237278,568373,401603,355461
140,Central African Republic,0,0,233611,0,0,74300,0,0,0,0,0
144,Sri Lanka,731400,957358,908795,825897,1201161,1181405,745029,1304081,716825,2473325,1189210
148,Chad,81330,0,19186,3258,112396,123279,73700,0,0,11916,4307
152,Chile,16016663,18310101,24219231,34560676,28986780,38376776,60663923,32732375,69622020,88207916,115452166
156,China,78305603,93046226,128200618,192613919,243635795,278224471,369559312,367239553,599151015,574102108,751946865
158,Taiwan,69219339,54990864,63447480,69955381,67860869,59583304,85993117,94090351,106182784,125145632,92251570
