id,Country,2009,2010,2011,2012
0,World Total,-0.342149306,0.161224591,0.162119527,0.145974916
4,Afghanistan,0,-0.014545311,0,0
8,Albania,6.512703252,0,0,0.947679969
12,Algeria,0,0,0,0
20,Andorra,0,0,0,0
24,Angola,0,0,0,0
28,Antigua and Barbuda,0,2.299595885,0.151032678,-0.720110273
31,Azerbaijan,0,0,0,0
32,Argentina,-0.110854082,-0.288058913,-0.105691545,0.214370975
36,Australia,-0.176692176,-0.112853278,-0.18528257,0.138915776
40,Austria,-0.611068337,1.140119214,0.37387119,2.162875433
44,Bahamas,0,0,10.25414815,0
48,Bahrain,-0.967373759,-0.844444444,59.52857143,-0.919232824
50,Bangladesh,1.390182249,2.016507597,-0.820852289,2.424850377
51,Armenia,0,0,0,0
52,Barbados,0,0,0,0
56,Belgium,0.023530435,0.01173173,0.158900314,0.328880869
60,Bermuda,0,0,0,0
64,Bhutan,0,0,0,0
68,Bolivia,-0.02009391,-0.723839053,7.845751467,-0.866773398
70,Bosnia and Herzegovina,0.934314981,-0.272919838,-0.380189366,1.826674501
72,Botswana,0,0,0,0
76,Brazil,-0.068737311,0.005141561,-0.031731429,0.295600425
84,Belize,0,0,0,0
86,British Indian Ocean Territories,0,0,0,0
90,Solomon Islands,0,0,0,0
92,British Virgin Islands,0,0,0,0
96,Brunei,0,0,0,0
100,Bulgaria,0.787156103,-0.912646226,2.943985583,1.328237444
104,Burma,0,0,0,0
108,Burundi,0,0,0,0
112,Belarus,0,0,-0.379637982,2.673226057
116,Cambodia,-0.985898818,95.38985869,-0.804022181,3.987634763
120,Cameroon,0,-0.660150999,0,0
124,Canada,-0.381850217,0.15749794,0.09548709,-0.027298689
132,Cape Verde,0,0,0,0
136,Cayman Islands,0,0,0,0
140,Central African Republic,0,0,0,0
144,Sri Lanka,-0.650835547,-0.155842374,-0.023424919,-0.65686595
148,Chad,0,0,0,0
152,Chile,-0.359927403,0.14813208,-0.086550216,1.962546528
156,China,-0.184247493,0.30913976,0.152573684,0.1112926
158,Taiwan,-0.241454296,0.199613627,0.354408772,0.037880106
162,Christmas Island,0,0,0,0
166,Cocos (Keeling) Islands,0,0,0,0
170,Colombia,1.080012299,0.081703985,-0.309463712,-0.758127408
174,Comoros,0,0,0,0
175,Mayotte,0,0,0,0
178,Congo (Brazzaville),0,0,0,0
180,Congo (Kinshasa),0,0,0,0
