id,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,World Total,25674569735,26502617666,30313147393,36168606637,42134675259,48896249905,53677477963,41626110699,50058293734,64823414516,68026296028
4,Afghanistan,123566,3173178,6415012,16817950,11440283,7054035,10024130,62089216,51193709,73219816,17753943
8,Albania,397056,419220,131445,230648,109645,525895,1828708,999393,1678860,1506707,5862073
12,Algeria,10282455,5369726,15062450,14171411,16156149,47665845,53732548,34115778,23173825,32913333,51777845
20,Andorra,123093,189465,437509,382386,349012,22084,225813,268460,130480,6750,103459
24,Angola,3860399,25106559,15132142,12764230,8360900,15464068,10988869,6760045,6301059,10678148,18845113
28,Antigua and Barbuda,613546,1250513,680179,1042025,1804918,2006430,4948787,2760761,2137920,1401894,2408917
31,Azerbaijan,250763,379278,715154,931104,2200163,1810585,1392106,760375,788537,1009461,2924078
32,Argentina,52869854,150610836,158196541,196395530,250176392,316900652,333054251,200192665,362294280,483396402,420086438
36,Australia,909743098,923533803,1331063550,1569835084,2028769350,2234291447,2424490815,1594664216,2372634913,3698650248,5350313058
40,Austria,40385293,65443010,58775896,54603706,88491579,120688733,65174721,62000508,48350760,61233598,119846829
44,Bahamas,8996092,6001423,6936069,8097817,20462191,13177981,10159583,8769945,10647091,15935710,13250676
48,Bahrain,3562822,4502915,6931930,7326547,12549411,17156655,23598997,13725437,14801611,16092597,16246725
50,Bangladesh,4125357,6419862,20454138,29645149,10849648,8860163,16380610,9316021,10136387,15901057,14394379
51,Armenia,630954,860953,157522,1186341,866346,793367,2547563,3403499,8666374,22296707,11674315
52,Barbados,4668109,2988739,3312589,12676403,5834372,4796011,7459981,6476745,5143767,6479537,7001911
56,Belgium,868394242,825805356,930805875,1324233344,1510500155,1661948359,1651544834,928819239,1158312021,1653919483,1892496043
60,Bermuda,5870351,5135323,6462694,7649418,10571681,8952344,10400366,11891529,10099687,9418514,7283377
64,Bhutan,3790,5347,40642,25947,3919,11451,44557,41436,44273,13098,14768
68,Bolivia,2553435,2164806,5498791,4178187,5921505,5910753,9185212,9244873,13454625,22332563,28292227
70,Bosnia and Herzegovina,4508147,559097,327968,571717,682424,724395,1895958,1320473,80126,131641,259581
72,Botswana,655842,388195,882495,209610,542987,647498,1951918,1107774,7484914,1243878,1357989
76,Brazil,743141888,697215694,811980491,1108757055,1299613705,1379342687,1907179088,1246185056,2066321715,2552618329,2345017736
84,Belize,1209163,2555876,1875404,1665992,4404284,2259196,2083852,2779833,4692417,8099246,4312732
86,British Indian Ocean Territories,0,2599,0,0,0,13433,8508,12598,11304,7200,0
90,Solomon Islands,10597,0,0,43839,0,0,13758,7553,0,8673,25261
92,British Virgin Islands,625437,371647,385227,3507156,901035,1619240,1228863,842833,967507,2915313,938049
96,Brunei,247275,118606,395856,1310148,1572979,589113,1674294,1796579,1422087,2445830,2930616
100,Bulgaria,4994737,5290239,10616493,6717827,6325974,10368144,17039740,10579187,10135777,18738820,22584366
104,Burma,1393098,728722,2248531,195773,1044933,72875,332545,38015,550079,299253,1646414
108,Burundi,29954,0,33946,86989,0,138216,339089,532043,149256,1095717,853124
112,Belarus,2863194,7159206,4418903,1486527,12041060,17407199,14149660,4898509,4814404,1569548,1218263
116,Cambodia,3474931,2333001,4233462,6535510,4990243,12830760,5974990,3428364,4174815,7654666,9007593
120,Cameroon,1226611,1149441,1088430,930700,1492612,2172067,2701901,6160014,2181537,3031268,15279911
124,Canada,8191687196,8692760812,9368724244,11062861396,12395737559,13471757017,14925429840,12124780689,15021444685,19472114161,19243323833
132,Cape Verde,0,3115,0,5776,81332,108351,210545,386775,51277,119737,71331
136,Cayman Islands,2427816,4687873,3828853,4604820,4770451,3554916,4446220,4976693,5458860,7181343,9574568
140,Central African Republic,153515,320187,36557,2189053,23058,431038,0,12704,190530,368318,17794
144,Sri Lanka,3364046,4930297,3181189,6870587,5932951,5377746,5549701,4077277,4510849,10227737,7075034
148,Chad,12903,4061,88155,905185,496053,2681228,2510655,1373522,466900,874530,19363
152,Chile,146912398,169965600,258076192,380531262,465887846,646552972,826730731,534946973,849562813,1146282304,1466567338
156,China,660773533,710465572,925472624,1204266495,1521136550,1958805244,2512807774,2470309137,3178454944,3891630772,4140223705
158,Taiwan,289727475,292956797,400532233,544826526,700588430,1273529250,1385175934,820082028,812197768,1194444338,951549681
162,Christmas Island,78795,36644,29128,84229,18126,42429,476519,8330,61956,9465,19285
166,Cocos (Keeling) Islands,8839,0,14929,0,7766,20288,0,6196,12450,0,0
170,Colombia,90509596,93425554,139253668,168731913,213651378,309617035,366658735,271410338,306821194,454363851,402877711
174,Comoros,0,0,96250,0,0,0,140940,0,8625,0,9109
175,Mayotte,0,0,15358,0,0,0,0,0,139706,201179,39827
178,Congo (Brazzaville),92868,64313,233154,173502,541390,625367,1244358,1867901,934565,744248,1845870
180,Congo (Kinshasa),320372,701645,680602,1278776,2307107,2471893,2015914,707325,886604,2628355,6111651
184,Cook Islands,0,2572,27354,0,12076,39075,4475,0,21473,14447,44816
188,Costa Rica,52568978,53259613,62393390,78124194,111276926,121618410,129755938,128248213,157372198,168185347,178563091
191,Croatia,4086364,3095444,1252119,4339668,3862294,6518968,12469985,15726129,15661843,25407090,34307652
192,Cuba,571682,954303,836475,444593,1340474,5643146,8338689,9407098,2202170,3000933,2659748
196,Cyprus,2448955,5784976,3029159,5125029,4853545,5415435,14453948,11232350,2409739,2688255,3725795
