id,Country,2008,2009,2010,2011,2012
0,World Total,1.18E+11,86461132126,1.09E+11,1.22E+11,1.27E+11
4,Afghanistan,78020,724006,66361,159674,94038
8,Albania,43914,126510,444443,437905,480474
12,Algeria,103330595,61895524,4330,121673,216870
20,Andorra,0,4358,0,0,2700
24,Angola,47095481,0,71197318,0,0
28,Antigua and Barbuda,76563,12543,37596,730619,1333552
31,Azerbaijan,82437,3939,32460,83820,251460
32,Argentina,191202102,71976579,84027419,109115375,88438447
36,Australia,483652338,542323990,512035944,692830176,617534049
40,Austria,316872507,212524495,258928970,414256179,413579996
44,Bahamas,8771301,9093115,8291960,3749942,6826941
48,Bahrain,27141660,6342505,1907695,1497366,1577780
50,Bangladesh,30314027,18722133,17491915,21941981,27378102
51,Armenia,86150,2098887,6119352,9680416,11534819
52,Barbados,63387,301608,146103,132822,134793
56,Belgium,416515646,201003194,313219090,393832240,776026475
60,Bermuda,88385,52533,64718,80737,23485
64,Bhutan,0,0,2643,5145,94955
68,Bolivia,1045830,1567500,2272763,2031586,1692610
70,Bosnia and Herzegovina,924349,607773,520880,748585,964252
72,Botswana,11805,21492,3058,0,499286
76,Brazil,1186556535,643716334,609718332,726061356,684580799
84,Belize,164488,33278,71638,66331,121976
86,British Indian Ocean Territories,0,23747,58256,32428,0
90,Solomon Islands,0,0,0,0,0
92,British Virgin Islands,136124,338159,80492,44035,457271
96,Brunei,0,105629,92000,0,26270
100,Bulgaria,12157784,9634279,10163650,28064351,26820315
104,Burma,0,0,0,0,0
108,Burundi,20115,3461,0,99473,93730
112,Belarus,69024044,1589131,1709756,14966431,1678514
116,Cambodia,5387076,5586744,3693864,9054885,10144752
120,Cameroon,4010903,621368,139402,199151,288943
124,Canada,39837144138,23923275385,29961235775,35767467123,39532880275
132,Cape Verde,65978,9980,0,41991,2635
136,Cayman Islands,357608,98428,150563,623385,391029
140,Central African Republic,0,0,23399,13935,9082
144,Sri Lanka,25081076,18482016,11126216,21001740,18387807
148,Chad,292474,0,1164946,0,1250
152,Chile,108849052,74447948,93262029,155740317,187351093
156,China,19951675470,17835899353,21086257545,22974840842,27797123244
158,Taiwan,1902770739,1386372119,1839468420,2070515845,2235403447
162,Christmas Island,0,18073,0,162293,1460
166,Cocos (Keeling) Islands,42961,0,21504,137117,63804
170,Colombia,51041776,48140284,55999600,63713517,47386535
174,Comoros,0,0,0,58025,132880
175,Mayotte,0,0,0,0,4291
178,Congo (Brazzaville),143715,0,29158,90024,20596
180,Congo (Kinshasa),0,78993,127991,545789,81484
184,Cook Islands,168991,2136,27714,0,157842
188,Costa Rica,162881579,120964175,239973530,301120106,334408786
191,Croatia,43340435,58701881,51642143,51350965,84712703
192,Cuba,0,0,0,0,0
196,Cyprus,811881,95834,108356,4542,505589
203,Czech Republic,213578143,124137655,200900599,307029711,313947439
204,Benin,0,2185,270,0,124974
208,Denmark,249234350,224801619,223861949,243496628,244587028
212,Dominica,2785,206430,69085,480,16900
214,Dominican Republic,114893164,45135966,82941895,88945080,85785358
218,Ecuador,77942873,95640085,48516003,123590251,61027945
222,El Salvador,1651832,2204992,5450702,5147302,6536626
226,Equatorial Guinea,1126766,966420,231626,261713,136019
231,Ethiopia,5736425,5388508,4831156,10013859,4294438
232,Eritrea,0,0,4431,0,13973
233,Estonia,10152097,9939095,357730685,60496513,14931890
234,Faroe Islands,173435,390468,1156713,3004437,1712855
238,Falkland Islands (Islas Malvinas),2081,0,0,825196,3625
242,Fiji,118918,27250,129155,424462,278474
246,Finland,817253808,531614621,644588418,697577433,515654942
250,France,1453392427,1032659307,1143845787,1602707161,1581292146
254,French Guiana,0,0,0,0,0
258,French Polynesia,1342524,322359,521180,563079,356430
260,French Southern and Antarctic Lands,0,0,0,0,0
262,Djibouti,0,0,3673,0,114732
266,Gabon,4544623,14996,73132,0,8197
268,Georgia,444633,205796,407019,192098,64699
270,Gambia,7392,2741,0,0,14296
276,Germany,4592542494,3271721335,4031672856,5034782363,4856611640
288,Ghana,317970,7543318,32473861,25586146,26776275
292,Gibraltar,14247,56882,16822,3593,0
296,Kiribati,0,40354,0,0,0
300,Greece,25028468,22487481,30021714,31186177,28785776
304,Greenland,0,0,0,322794,754412
308,Grenada,0,20320,107459,2145,14553
312,Guadeloupe,31915,134277,32404,83804,884000
320,Guatemala,23086881,20473258,15210677,14183530,18773034
324,Guinea,81673,45164,443997,36624,17384
328,Guyana,509443,107377,169389,119814,2355
332,Haiti,274860,307544,120140,1839192,628283
334,Heard and McDonald Islands,0,0,0,0,0
336,Vatican City,10297,3151,0,570,3437
340,Honduras,8419070,5414997,5238503,5530363,3903539
344,Hong Kong,155527283,135620407,160816586,164944910,112560937
348,Hungary,52231778,53237401,164210182,139104132,97744737
352,Iceland,466271,188425,237457,259654,2212620
356,India,993708107,784489520,1050332160,1174952667,1158901676
360,Indonesia,509907297,461842444,638690851,616887522,616665502
364,Iran,1306125,531591,499863,0,0
368,Iraq,3571453,15517873,0,0,300
372,Ireland,1360137794,564520468,2773300599,2818018571,1314767352
376,Israel,587272032,506597855,506784728,546911692,554771848
380,Italy,1965238363,1198837335,1269063143,1499481184,1604330380
384,Cote d'Ivoire,222300699,70119147,3632656,9366961,28409126
388,Jamaica,1088644,1860405,352707,1685453,1529655
392,Japan,8578414521,6187106510,7562441246,8503164906,8865757198
398,Kazakhstan,3475236,101299690,212627796,3327977,23278474
400,Jordan,4667181,3982938,3607221,3836195,10416675
404,Kenya,2973472,3241053,5122867,6525226,8364023
408,"Korea, North",0,0,0,0,0
410,"Korea, South",7009134623,7076813742,7377066090,6683555571,4668277870
414,Kuwait,1117768,433917,53782,1599768,1517023
417,Kyrgyzstan,155295,2050,186459,69623,140645
418,Laos,101209,23895,39542,25003,2026
422,Lebanon,3179767,2524080,2682539,3243714,3284647
426,Lesotho,809042,321012,89100,0,0
428,Latvia,14211210,3986787,10594304,8164925,11154646
430,Liberia,0,0,33600,322,0
434,Libya,2773353,0,21834,9425,0
438,Liechtenstein,5927552,2521519,2936711,1758818,2732364
440,Lithuania,6534060,4644233,5644102,7512075,19331276
442,Luxembourg,35965692,26418793,44142560,38103240,33196943
446,Macau,13664880,4149415,3215570,2275927,3308217
450,Madagascar,4039790,1706847,1797326,1132706,2278708
454,Malawi,865798,433618,42971,237115,0
458,Malaysia,1500835589,1369939616,1930608354,2054963615,1851790177
462,Maldives,0,30150,0,0,71054
466,Mali,16402,192327,141502,76337,4390
470,Malta,3005009,4472829,26407692,22596081,21456079
474,Martinique,72186,0,0,0,0
478,Mauritania,72522,83482,6242,2061,12000
480,Mauritius,1393249,215355,432706,990159,2298319
484,Mexico,7375655961,6155202443,8552315264,8517121976,9133017916
492,Monaco,1453955,725603,1396831,880459,369967
496,Mongolia,844706,142547,19569,338460,224046
498,Moldova,433979,181275,215707,126799,52771
499,Montenegro,34202,133135,333010,650281,812701
500,Montserrat,0,14220,35100,0,4931
504,Morocco,2494523,3378626,4281882,3185869,4981364
508,Mozambique,302964,794634,127470,322176,506651
512,Oman,13446026,4669421,10908189,14089282,13558639
516,Namibia,237211987,272424988,137615053,194442892,103244298
520,Nauru,4146,0,2494,0,11893
524,Nepal,1685524,1467009,3867448,4152490,3983583
528,Netherlands,2747228671,3082695778,4147761836,4464210811,3144790563
528,Netherlands Antilles,589622,1480510,1899884,80048,0
531,Curacao,0,0,0,160253,146486
533,Aruba,197914,56425,2246658,1875146,1353147
534,Sint Maarten,786511936,640227891,955284498,884053672,900530774
540,New Caledonia,103744,109469,92977,970706,72245
548,Vanuatu,66898,0,3102,7560,17770
554,New Zealand,117138385,161701067,211024597,488214741,567193409
558,Nicaragua,97798250,100711083,97817646,91870888,183538203
562,Niger,339216,172827,9511,34516,75102
566,Nigeria,209992566,102369325,348850,2841148,782422
570,Niue,0,0,0,0,8137
574,Norfolk Island,0,0,0,0,0
578,Norway,87524392,55787010,96940274,112531774,144773043
583,Micronesia,29562,0,7387,0,4088
584,Marshall Islands,17237,0,0,7300,0
585,Palau,0,5000,0,0,0
586,Pakistan,101357428,70266635,73839063,82650851,79258019
591,Panama,1115837,1649942,3230405,13633793,12569162
598,Papua New Guinea,80411,14814,105469,21954,176896
600,Paraguay,900155,871788,1073792,1522350,1328594
604,Peru,36575296,37090867,28934786,34804908,30662828
608,Philippines,323079407,165695469,185125021,215631455,228307803
612,Pitcairn Islands,0,0,0,0,0
616,Poland,199955423,137581775,234622917,262126314,278401989
620,Portugal,45674199,35124238,45215532,57227491,51703699
624,Guinea-Bissau,0,0,0,0,0
626,Timor-Leste,0,0,0,0,0
634,Qatar,5865869,1191251,285055,1358551,1616849
638,Reunion,708468,5147,1982440,3869168,2353040
