id,Country,2008,2009,2010,2011,2012
0,World Total,-64446738047,-44836303625,-58865790060,-57224916557,-58800515666
4,Afghanistan,9946110,61365210,51127348,73060142,17659905
8,Albania,1784794,872883,1234417,1068802,5381599
12,Algeria,-49598047,-27779746,23169495,32791660,51560975
20,Andorra,225813,264102,130480,6750,100759
24,Angola,-36106612,6760045,-64896259,10678148,18845113
28,Antigua and Barbuda,4872224,2748218,2100324,671275,1075365
31,Azerbaijan,1309669,756436,756077,925641,2672618
32,Argentina,141852149,128216086,278266861,374281027,331647991
36,Australia,1940838477,1052340226,1860598969,3005820072,4732779009
40,Austria,-251697786,-150523987,-210578210,-353022581,-293733167
44,Bahamas,1388282,-323170,2355131,12185768,6423735
48,Bahrain,-3542663,7382932,12893916,14595231,14668945
50,Bangladesh,-13933417,-9406112,-7355528,-6040924,-12983723
51,Armenia,2461413,1304612,2547022,12616291,139496
52,Barbados,7396594,6175137,4997664,6346715,6867118
56,Belgium,1235029188,727816045,845092931,1260087243,1116469568
60,Bermuda,10311981,11838996,10034969,9337777,7259892
64,Bhutan,44557,41436,41630,7953,-80187
68,Bolivia,8139382,7677373,11181862,20300977,26599617
70,Bosnia and Herzegovina,971609,712700,-440754,-616944,-704671
72,Botswana,1940113,1086282,7481856,1243878,858703
76,Brazil,720622553,602468722,1456603383,1826556973,1660436937
84,Belize,1919364,2746555,4620779,8032915,4190756
86,British Indian Ocean Territories,8508,-11149,-46952,-25228,0
90,Solomon Islands,13758,7553,0,8673,25261
92,British Virgin Islands,1092739,504674,887015,2871278,480778
96,Brunei,1674294,1690950,1330087,2445830,2904346
100,Bulgaria,4881956,944908,-27873,-9325531,-4235949
104,Burma,332545,38015,550079,299253,1646414
108,Burundi,318974,528582,149256,996244,759394
112,Belarus,-54874384,3309378,3104648,-13396883,-460251
116,Cambodia,587914,-2158380,480951,-1400219,-1137159
120,Cameroon,-1309002,5538646,2042135,2832117,14990968
124,Canada,-24911714298,-11798494696,-14939791090,-16295352962,-20289556442
132,Cape Verde,144567,376795,51277,77746,68696
136,Cayman Islands,4088612,4878265,5308297,6557958,9183539
140,Central African Republic,0,12704,167131,354383,8712
144,Sri Lanka,-19531375,-14404739,-6615367,-10774003,-11312773
148,Chad,2218181,1373522,-698046,874530,18113
152,Chile,717881679,460499025,756300784,990541987,1279216245
156,China,-17438867696,-15365590216,-17907802601,-19083210070,-23656899539
158,Taiwan,-517594805,-566290091,-1027270652,-876071507,-1283853766
162,Christmas Island,476519,-9743,61956,-152828,17825
166,Cocos (Keeling) Islands,-42961,6196,-9054,-137117,-63804
170,Colombia,315616959,223270054,250821594,390650334,355491176
174,Comoros,140940,0,8625,-58025,-123771
175,Mayotte,0,0,139706,201179,35536
178,Congo (Brazzaville),1100643,1867901,905407,654224,1825274
180,Congo (Kinshasa),2015914,628332,758613,2082566,6030167
184,Cook Islands,-164516,-2136,-6241,14447,-113026
188,Costa Rica,-33125641,7284038,-82601332,-132934759,-155845695
191,Croatia,-30870450,-42975752,-35980300,-25943875,-50405051
192,Cuba,8338689,9407098,2202170,3000933,2659748
196,Cyprus,13642067,11136516,2301383,2683713,3220206
203,Czech Republic,-172693809,-90729695,-167511405,-264690946,-262862191
204,Benin,6979099,7053591,1858699,18504442,11712599
208,Denmark,-70602153,-34841461,-2831918,49636794,-45293996
212,Dominica,684160,308642,625745,496782,737482
214,Dominican Republic,31691323,43249823,58810168,57731936,77876375
218,Ecuador,-14584249,-25171190,10571665,-32596388,87280429
222,El Salvador,23749305,23628756,20045200,22420186,24666657
226,Equatorial Guinea,-884217,-789926,401071,604170,2191908
231,Ethiopia,3858644,11100913,9429874,4651194,4178127
232,Eritrea,0,157176,207494,30987,-4673
233,Estonia,5688004,-824773,-353066198,-53183571,11668298
234,Faroe Islands,-147598,768482,-1120685,-3000466,-1698025
238,Falkland Islands (Islas Malvinas),3783,31234,9786,-807865,-3625
242,Fiji,1005482,420636,550609,836968,508839
246,Finland,-720634669,-469176696,-564679223,-554073344,-391373590
250,France,-151598101,98955063,-42518530,-445460929,-281005072
254,French Guiana,76877,341802,253889,153845,334037
258,French Polynesia,-492797,367814,832817,1257173,1298282
260,French Southern and Antarctic Lands,0,0,0,0,0
262,Djibouti,5293081,10669258,9723724,7644223,5178689
266,Gabon,-3021758,913615,1009562,11230177,28211259
268,Georgia,6257306,6314657,2642054,2731077,3992528
270,Gambia,87932,387972,213805,291449,148556
276,Germany,-2368756019,-1262661273,-1844919182,-2546145758,-2197612718
288,Ghana,92505318,26969393,-6719632,9859868,-937328
292,Gibraltar,334434,-41383,42337,243305,156488
296,Kiribati,38553,-40354,23920,3783,7143
300,Greece,31093487,10270515,-6314874,31876007,-14265812
304,Greenland,29456,3000,644622,-40023,-247236
308,Grenada,299837,420838,605021,495821,340139
312,Guadeloupe,997405,967453,1853364,1692745,727248
320,Guatemala,49626600,34233312,44957103,62977025,64104883
324,Guinea,3896781,2080427,474153,1291601,483738
328,Guyana,30289858,2401283,2737252,3052253,4630674
332,Haiti,17520504,16441128,23551396,14970037,11172120
334,Heard and McDonald Islands,0,0,0,0,0
336,Vatican City,60871,-3151,85664,-570,-3437
340,Honduras,29889209,24225022,36903872,44356463,50532935
344,Hong Kong,364682688,347589927,433631438,479671219,538204938
348,Hungary,-7266428,-20652031,-137868707,-100673964,-61626895
352,Iceland,8961832,2208791,2417661,6414674,2020760
356,India,-57980106,-16013066,-178140998,45913685,-73862385
360,Indonesia,-61264975,-79055709,-268089223,-102397029,-86529020
364,Iran,349202,1838442,1382587,668731,2083346
368,Iraq,36966285,13588243,22317945,119086190,37716678
372,Ireland,-1194843374,-428125655,-2629328798,-2541083213,-1079723581
376,Israel,-372420373,-342057206,-322094350,-292524864,-287117757
380,Italy,-1623593190,-921056241,-885992620,-965711151,-1111164411
384,Cote d'Ivoire,-216835888,-64022492,-1309746,-7419097,-25343748
388,Jamaica,50737132,17012313,22187829,22110900,19737259
392,Japan,-6213853692,-4408020431,-5721507234,-6461814608,-6685297733
398,Kazakhstan,77058868,-57135059,-161113473,80079901,53788105
400,Jordan,33061213,19209374,34742938,26559373,19893322
404,Kenya,41114838,11347981,6923091,21228270,9434974
408,"Korea, North",0,0,0,0,0
410,"Korea, South",-6261228222,-6407619628,-6589404799,-5879498204,-3727718939
414,Kuwait,78449924,45041202,56342150,49725310,36755297
417,Kyrgyzstan,10432430,3445958,26699906,9426901,34377757
418,Laos,1560447,2252504,110280,288714,507495
422,Lebanon,14878163,9468514,15510228,14331595,13775707
426,Lesotho,-799110,-321012,-89100,21489,0
428,Latvia,1147065,5661615,3257557,11004462,18781015
430,Liberia,6370738,620061,2261529,11896833,2745521
434,Libya,2024355,10452421,20651315,551160,4791273
438,Liechtenstein,-4434741,-2123667,-2919881,-1670662,-2461612
440,Lithuania,15382462,11091702,13885624,20978164,11341869
442,Luxembourg,-19616089,-5488328,-39604481,-14777505,-24392961
446,Macau,-4016843,4356001,6723830,14274964,14899633
450,Madagascar,-1537875,1538,7201916,3847789,-652188
454,Malawi,-628149,230245,63189,1201278,745360
458,Malaysia,-1136259385,-1068541217,-1598938932,-1661218032,-1509960231
462,Maldives,2395612,856840,846035,1444069,450479
466,Mali,561482,1616405,1038443,1894433,2391378
470,Malta,-1308742,-1483808,-16851067,-20687908,-19706314
474,Martinique,462301,730141,1203542,1110959,1164067
478,Mauritania,36167842,3914598,3245334,4944637,32629929
480,Mauritius,15464,437003,3860149,447469,-1274715
484,Mexico,-3115883879,-2605242924,-4283922602,-2795344113,-2766102862
492,Monaco,-551351,-594850,-1246090,-764748,-259810
496,Mongolia,8112326,2557339,51862986,94130036,141507755
498,Moldova,329497,355554,134710,808909,326274
