id,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,World Total,14955934515,16468042792,19212413764,21593812900,22666267651,25956346037,26502291510,22907367488,28744977002,32282315399,34384981325
4,Afghanistan,0,39557,48282,228602,388596,8942462,51393460,74321538,195912108,828004621,9422256
8,Albania,0,0,6081,0,40538,19600,1961019,649461,334195,608551,1083312
12,Algeria,4555096,1165440,7468267,8456713,8323850,7250909,13543831,21223345,25770949,11404117,12740172
20,Andorra,42789,148722,35437,391865,735540,1157443,213910,0,0,0,0
24,Angola,335838,124349,474339,111608,598975,7701493,3112300,3295265,2825124,3566783,8903519
28,Antigua and Barbuda,119367,194475,130646,735974,981866,839453,837715,600876,668737,191207,2877576
31,Azerbaijan,40717,609721,323522,135899,94967,115762,547444,179423,174680,248856,423799
32,Argentina,29017307,38470332,35887791,46380985,48930056,72439701,97264544,74518255,101834645,129497672,140032779
36,Australia,228601737,237917301,267293659,333974235,397423559,470235374,544391803,459059311,567917097,592802223,645695103
40,Austria,98161590,75905743,83849405,127478710,155785340,124214234,90492137,55391465,33074790,22108646,28649149
44,Bahamas,2907339,3150455,2205274,2286308,4970225,6433337,4333365,4359630,6579911,7362337,9382517
48,Bahrain,1033712,3088110,1359082,1473643,4266872,4491401,4846029,5264383,8465142,14006709,50490464
50,Bangladesh,536457,688982,921403,526484,1428967,1392156,10436914,7953739,10159876,10894362,5781652
51,Armenia,3001,36842,41974,74294,54712,451460,1149980,166178,5994,26904,56116
52,Barbados,1129391,1673112,2027384,1209658,2131604,2182691,3419458,4603770,3019926,2531660,3467353
56,Belgium,118340241,141991072,141018417,148339135,241705623,436221379,479466539,361902681,351498346,467171908,528693722
60,Bermuda,3878097,2948423,17273672,6591102,5174797,5658883,4262435,5439414,4354626,3786116,3816413
64,Bhutan,0,0,21053,0,0,14148,0,0,0,0,4095
68,Bolivia,521959,518905,1531550,988000,1345713,5277143,3670768,2264366,3535203,4770016,3874471
70,Bosnia and Herzegovina,9692,29753,260751,235382,60881,71289,41105,181552,0,170010,27268
72,Botswana,82190,646175,12432377,4460270,91166,7559625,4653274,6115235,330818,670714,443474
76,Brazil,186599828,276779381,252063147,237914956,292078257,511748962,636665603,534158619,820375148,861619156,817210041
84,Belize,5641002,1134703,482812,644721,376263,983274,1107352,1059357,1626835,470936,559742
86,British Indian Ocean Territories,2579,0,0,11953,0,0,0,0,8518,0,0
90,Solomon Islands,0,0,0,0,16750,0,0,0,3800,0,3992
92,British Virgin Islands,268676,236544,194880,281533,82599,189683,299308,485703,785282,371051,923901
96,Brunei,141027,130079,22404,101593,824111,195377,158869,138287,112969,173122,421496
100,Bulgaria,556694,564056,444627,1767119,3232310,6146553,8012966,1271165,1249415,2002605,1285623
104,Burma,163085,25617,11426,6908,0,34625,2711,0,13317,151442,48986
108,Burundi,0,15066,0,0,36000,188429,10855,0,21348,124170,10000
112,Belarus,67648,429599,320047,292135,680938,615412,1626470,964384,2613409,877612,655694
116,Cambodia,19512,3010,11585,9500,165574,548870,419793,126009,858896,842374,785283
120,Cameroon,21868,12064,41259,318200,45020,121601,366495,540411,532402,263918,216469
124,Canada,6858610262,7531141363,8633850064,9662138529,9892139897,10804406998,10566909189,8437093447,10684890262,11807948765,11854313265
132,Cape Verde,0,0,0,3000,0,0,0,2694,8118,3674,26693
136,Cayman Islands,422793,510745,422174,957347,990912,2454650,1873884,1354911,1487879,1563342,1695337
140,Central African Republic,0,13482,0,12231,0,221613,525000,7444,124022,0,0
144,Sri Lanka,463297,972452,372846,534413,539161,985150,1468191,462156,1728976,1931767,10405063
148,Chad,0,0,0,971259,51328,219763,0,11170,29866,65220,38701
152,Chile,23053038,21504536,25589024,32938790,43495897,49862323,83657872,59582289,70326517,100203314,122928254
156,China,187308617,234150512,294494785,419645023,559243408,758657540,929503424,868952445,1089894831,1175323229,1308819454
158,Taiwan,80429206,85796623,99266177,110160207,105546101,117006518,126517893,136258344,196544196,218378001,235649567
162,Christmas Island,0,0,0,0,74474,0,2597,3957,0,0,6889
166,Cocos (Keeling) Islands,0,0,0,0,0,0,0,60403,0,0,804274
170,Colombia,21913731,20894381,26005114,29469861,46771059,70096043,105675097,100912869,90680838,114598542,152579009
174,Comoros,0,0,0,0,0,0,0,131269,30830,0,0
175,Mayotte,0,0,0,0,0,0,0,0,7945,68118,2656
178,Congo (Brazzaville),0,0,3041,385000,14950,0,90440,114052,218555,176060,698644
180,Congo (Kinshasa),0,12000,12000,208290,708461,746566,62126,290011,231734,567425,200524
184,Cook Islands,0,0,9687,22859,5970,57223,9186,0,0,3500,0
