id,Country,2008,2009,2010,2011,2012
0,World Total,-1658769790,-2387932879,-4410532394,-7249833114,-8867674305
4,Afghanistan,47964975,73339680,194880013,828002880,9421996
8,Albania,951024,-65961,334195,598551,1073312
12,Algeria,2455597,21115114,25703581,11404117,12740172
20,Andorra,213910,0,0,0,0
24,Angola,3112300,3295265,2825124,3566783,8903519
28,Antigua and Barbuda,831337,600876,664575,191207,2845992
31,Azerbaijan,547444,176073,174680,248856,423799
32,Argentina,78300376,67338065,95311276,121423205,119296433
36,Australia,498549265,379960563,525822227,546653947,567990261
40,Austria,14040018,-20995127,-61463939,-104325631,-108704320
44,Bahamas,4326346,4218760,6532178,7114193,9291737
48,Bahrain,3253110,5029747,7547187,13582751,50488214
50,Bangladesh,-21478863,-31581734,-48592277,-52251449,-41954234
51,Armenia,1149980,160363,5994,26904,56116
52,Barbados,3345208,4601285,3006769,2523656,3438939
56,Belgium,361648144,253842458,240935198,338727594,381058879
60,Bermuda,2928764,5417651,3837874,2532561,3454717
64,Bhutan,0,0,0,0,4095
68,Bolivia,3089443,953024,-79700,-10693483,-6195902
70,Bosnia and Herzegovina,38304,135211,-78507,148778,13136
72,Botswana,4653274,6115235,330818,670714,442333
76,Brazil,-193078695,178747705,580386464,507817563,533483292
84,Belize,1104570,956434,1344358,443821,536286
86,British Indian Ocean Territories,0,0,8518,0,0
90,Solomon Islands,0,0,3800,0,3992
92,British Virgin Islands,-64848,480884,750050,322465,896206
96,Brunei,-214390,102351,-80826,118650,411861
100,Bulgaria,7516671,839893,549150,-928150,-1359649
104,Burma,2711,0,13317,151442,48986
108,Burundi,10855,0,21348,123719,10000
112,Belarus,1323780,813568,2389787,714084,649377
116,Cambodia,-16531490,-5247864,-2020499,-4746211,-6622922
120,Cameroon,126377,540115,507120,190666,-269669
124,Canada,4754006178,4157252120,4751955342,5157544264,4177885961
132,Cape Verde,0,-806,8118,3674,26693
136,Cayman Islands,1873884,1347025,1484879,1558542,1673077
140,Central African Republic,525000,-5446,121880,0,-101902
144,Sri Lanka,-8368062,-5936432,-4313958,-6840743,-94733
148,Chad,0,5447,23874,65220,38701
152,Chile,61936630,41500114,48963231,74951784,67533255
156,China,-3560744711,-3313358211,-3820872048,-4290689325,-4758768742
158,Taiwan,-241534486,-193178590,-214191434,-864907145,-615491817
162,Christmas Island,-820370,3957,0,0,6889
166,Cocos (Keeling) Islands,0,60403,0,0,804274
170,Colombia,97909024,95829879,84427437,108741184,146856562
174,Comoros,0,131269,30830,0,0
175,Mayotte,0,0,7945,68118,2656
178,Congo (Brazzaville),-77800,114052,176692,176060,491602
180,Congo (Kinshasa),62126,267383,212158,555870,200524
184,Cook Islands,9186,0,-12964,3500,0
188,Costa Rica,12732048,18502689,-3406054,-12531102,-20522631
191,Croatia,1828514,336324,1146965,6234732,1441597
192,Cuba,110000,0,0,86000,0
196,Cyprus,2327285,734944,907399,588403,260089
203,Czech Republic,-7235279,-5417387,3371767,-4012879,-7573100
204,Benin,1111949,970317,1105127,2836163,3560728
208,Denmark,-881533949,-975986513,-1387220019,-1761860927,-2306963707
212,Dominica,57965,119538,61566,134480,283333
214,Dominican Republic,14284450,15156309,20442263,29683999,16478554
218,Ecuador,13898965,15893114,17062704,25521599,23470400
222,El Salvador,4618223,15021763,15481551,14661354,13863901
226,Equatorial Guinea,4000,223461,0,128671,129920
231,Ethiopia,304386,117932,1943390,2419099,1867076
232,Eritrea,0,22877,58097,0,17813
233,Estonia,1063349,297778,707664,1803895,1586608
234,Faroe Islands,5528,3005,0,24735,8394
238,Falkland Islands (Islas Malvinas),0,0,-293,0,0
242,Fiji,668181,5804,3392,157404,217996
246,Finland,-21446995,-13012060,-5954860,-10283513,-7509984
250,France,174135542,240579059,191356525,162258347,776506882
254,French Guiana,18099,11726,3597,13455,78358
258,French Polynesia,735998,551065,473317,845783,744340
260,French Southern and Antarctic Lands,0,0,0,0,0
262,Djibouti,859328,58292,28419,512077,392868
266,Gabon,-5746,-16284,155969,389250,268795
268,Georgia,1641463,3678667,190587,498770,266575
270,Gambia,37856,78473,29827,0,38876
276,Germany,-217278230,206855288,416850368,143776663,-141162281
288,Ghana,97793,2420979,2426374,4585615,8227468
292,Gibraltar,29500,20882,139326,13516,12000
296,Kiribati,38834,0,0,0,0
300,Greece,15703516,9855350,4480497,2606588,2025337
304,Greenland,19494,3350,0,6799,3500
308,Grenada,408373,531718,312081,80446,91373
312,Guadeloupe,-12020,34651,74999,123749,36017
320,Guatemala,12628485,5483080,-7550429,-3801167,-30488814
324,Guinea,638348,868630,779001,124197,605120
328,Guyana,598330,1399671,5023648,6127811,3041209
332,Haiti,3153328,1456824,4327805,1662912,1363214
334,Heard and McDonald Islands,0,0,0,0,0
336,Vatican City,0,-4400,109019,83090,300867
340,Honduras,-27385386,-47061722,-96957827,-96950711,-119652866
344,Hong Kong,223893776,206960474,199653850,239956438,417204282
348,Hungary,31587643,21311507,8505929,27928596,43641610
352,Iceland,1948718,-645197,-1596231,-3845508,-9106569
356,India,-7380663,-26155130,-18983115,-44259052,-164896337
360,Indonesia,-48373926,-74897987,-32053726,-101561901,-126144931
364,Iran,487016,3173324,7230662,6909779,3396281
368,Iraq,72029026,39196350,6889096,48081091,15824619
372,Ireland,-1692389442,-3257700577,-4703132828,-5600749318,-5364310545
376,Israel,-15114541,-36305964,-117469432,-129059629,-108448263
380,Italy,-326342240,-44659889,-26039255,-162019175,111172306
384,Cote d'Ivoire,126820,-14405,1352103,125476,383064
388,Jamaica,23766224,43162863,27679357,22576635,7208714
392,Japan,-2403449659,-1970544786,-2859586859,-3502894235,-3448903071
398,Kazakhstan,1278703,3448232,4051378,1572553,2959485
400,Jordan,19276233,12433898,11635778,21278256,1438775
404,Kenya,3255879,2569824,4023104,10440509,4399988
408,"Korea, North",0,0,0,0,0
410,"Korea, South",155963972,288460340,294053199,361923893,444156483
414,Kuwait,35409895,38527128,65842475,99224041,70054649
417,Kyrgyzstan,239426,10595,399218,7467,-56758
418,Laos,40480,-18301,30569,414,43611
422,Lebanon,4597922,9591804,14070241,14654324,16275942
426,Lesotho,-96605,59210,59126,0,-2300
428,Latvia,4682661,609915,3590898,435706,1075781
430,Liberia,13448,135019,341216,467399,711190
434,Libya,6987917,7248784,2798603,2506376,7690406
438,Liechtenstein,-4916395,-4271750,-7046974,-9453399,-18426303
440,Lithuania,4949227,1159499,-2166728,-8054259,-11325586
442,Luxembourg,-781986,11934625,-5742831,-1760668,-4397952
446,Macau,-3164141,2187368,120420,86403,401542
450,Madagascar,1469336,1739705,976584,80828,60839
454,Malawi,72365,29000,31836,169270,64651
458,Malaysia,-86379096,-46159412,-216667028,-194769606,-235766201
462,Maldives,1737484,433026,326430,122388,38264
466,Mali,623656,252156,403399,826972,549769
470,Malta,-5284767,-3955414,-3246227,-2288811,-5048530
474,Martinique,74977,84018,24395,19167,23686
478,Mauritania,547014,538249,1054429,1007733,434433
480,Mauritius,199100,182939,-1576739,-4716909,-2968397
484,Mexico,-410908345,-709154060,-555108918,-358607951,339606298
492,Monaco,150099,13900,-279529,-4660,34826
496,Mongolia,351015,536189,97272,1179501,1016198
498,Moldova,430711,-14665,12783,669093,186475
499,Montenegro,64683,39041,156078,242690,3088
500,Montserrat,0,-100984,0,39974,-44912
504,Morocco,21620884,1508120,4023863,4800160,19646675
508,Mozambique,55310,181654,168096,234486,264352
512,Oman,7307140,4366131,11206239,13555338,10109130
516,Namibia,249206,14513,53208,-894970,352066
520,Nauru,0,0,0,0,-84284
524,Nepal,112591,-48877,159947,491408,883034
528,Netherlands,225618703,345897145,267497433,322157464,387431506
528,Netherlands Antilles,4016530,2196096,1859889,625409,0
531,Curacao,0,0,0,784441,1412395
533,Aruba,162059,334674,560488,411071,333931
534,Sint Maarten,0,0,0,326529,624162
540,New Caledonia,247892,-1062197,1486669,512494,388732
548,Vanuatu,13504,0,0,133495,0
554,New Zealand,24199110,26602675,37598708,51890826,44138184
558,Nicaragua,3296606,3953476,4345738,-21764756,-9702677
562,Niger,245016,1015389,80286,82015,255309
566,Nigeria,11070382,10885056,18257676,19316728,18049004
570,Niue,0,0,0,-1770,-11003
574,Norfolk Island,0,0,0,0,252000
578,Norway,62695757,20575451,24029645,30637636,47854696
583,Micronesia,200079,366809,72885,137965,434428
584,Marshall Islands,247307,250929,374415,117380,110178
585,Palau,66699,45409,9111,5843,26587
586,Pakistan,-26993269,-22262664,-18856566,-45219345,-23825082
591,Panama,29779737,25728840,37145465,38264140,33313716
598,Papua New Guinea,356677,355902,428664,1066486,927374
600,Paraguay,2035102,2078794,2516360,6828734,2606678
604,Peru,47965588,29557756,33968807,55106102,50610294
608,Philippines,-34878630,1031219,-11538590,40282776,14644116
612,Pitcairn Islands,0,0,0,0,0
616,Poland,3294438,2924642,-3264931,-8775337,-35560587
620,Portugal,49944851,35110883,48877308,125187357,124979298
624,Guinea-Bissau,0,11041,36355,0,0
626,Timor-Leste,0,0,117842,0,0
634,Qatar,25834933,34230845,49174455,21731785,28443143
638,Reunion,14726,0,39229,96183,69504
642,Romania,-2775403,2921540,2070657,4463998,-1259643
643,Russia,-123842871,-113764845,-148699926,-152928238,-123962162
646,Rwanda,31696,64270,52018,40000,151256
654,St Helena,0,87760,0,20600,-2720
659,St Kitts and Nevis,58241,110486,437430,460965,133355
660,Anguilla,380656,144181,54006,56333,44907
662,St Lucia,156780,76525,-11419,-10947,391945
666,St Pierre and Miquelon,0,0,0,0,0
670,St Vincent and the Grenadines,468699,447326,229245,180077,559481
674,San Marino,0,3613,61357,26561,3277
678,Sao Tome and Principe,0,-8805,0,878335,0
682,Saudi Arabia,168434182,203826808,277872114,265395590,447157120
686,Senegal,2900537,3774279,1842658,284305,714519
688,Serbia,946489,176252,814067,23483,5457092
688,Serbia and Montenegro,,,,,
690,Seychelles,60617,-120039,147642,-19707,60479
694,Sierra Leone,250412,542176,-56907,-35669,1911445
702,Singapore,264452226,245560110,172003055,146758396,178226622
703,Slovakia,-6387606,-7986443,-8225214,-6919463,-9371165
704,Vietnam,-138399166,-138297464,-150694089,-210736614,-286275977
705,Slovenia,-10351941,-5971878,-6492956,-3567004,-4573949
706,Somalia,4575,20684,0,0,120000
710,South Africa,-25658268,52807929,23562410,86067569,78713954
716,Zimbabwe,61089,177219,292984,1254314,3906
724,Spain,371061769,426134670,902252436,885899897,759616804
728,South Sudan,0,0,0,14250,3525000
729,Sudan,361975,0,0,0,0
740,Suriname,-2156966,-13312786,-13166856,-4519420,-4169551
744,"Svalbard, Jan Mayen Island",0,0,0,40384,0
748,Swaziland,-177306,-51419,42655,29118,145347
752,Sweden,-121580143,-113927658,-98900684,-58125343,-74288492
756,Switzerland,-36218133,-32811670,-200567435,-380255807,-1350707092
760,Syria,196354,776644,328841,-131077,-159264
762,Tajikistan,0,-1714,0,0,0
764,Thailand,-163595554,-150817606,-153955426,-412909795,-425260479
768,Togo,128675,51151,167638,401603,180491
772,Tokelau,165131,350,-106069,-142721,-248221
776,Tonga,45929,0,2649,0,0
780,Trinidad and Tobago,13463806,13836719,12262225,16228228,15720393
784,United Arab Emirates,129634285,73330129,112788009,161781680,154170359
788,Tunisia,1756273,1967411,2757344,2029226,7384785
792,Turkey,79653440,62461736,42207378,83791388,29107829
795,Turkmenistan,5845537,24453015,2884451,5686121,4256714
796,Turks and Caicos Islands,487680,227689,80531,204739,192734
798,Tuvalu,0,0,0,0,0
800,Uganda,334870,286008,342439,416128,284456
804,Ukraine,14178526,4627049,11696080,15815154,12680789
807,Macedonia,182551,45284,3421484,-167220,-126255
818,Egypt,47238943,64475429,92336202,78132979,62293299
826,United Kingdom,747530715,662504996,428870683,-132051880,58274399
834,Tanzania,1519950,586899,1952267,2607570,1018736
854,Burkina Faso,77338,-248068,168912,225718,509692
858,Uruguay,5605830,6298203,6653914,10406003,11412782
860,Uzbekistan,667078,1886140,670082,2692059,2185660
862,Venezuela,32127476,51583710,34873993,26681067,59801310
876,Wallis and Futuna,0,0,0,0,0
882,Samoa,0,24267,0,12476,-16546
887,Yemen,7149564,789429,1210272,2529670,20379165
894,Zambia,547504,302266,236160,401354,513871
