id,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,World Total,4988554376,4545305042,4939630682,6736019931,8636397849,10277477026,12513976006,8916920376,9905219429,11598460663,11659454239
4,Afghanistan,0,32496,395506,1380273,438708,686642,27961,4140034,2010913,17542028,20192073
8,Albania,900917,0,437590,16786,253914,3658,18062,25708,78471,276248,427380
12,Algeria,1752482,73297,567166,5003232,122104,47961715,3409758,18363457,59230676,9520882,14759221
20,Andorra,45213,0,0,0,15390,0,0,2746805,0,0,0
24,Angola,18129012,9267880,3760533,626633,15899398,15290573,6140594,8202686,10963028,1120410,1659211
28,Antigua and Barbuda,217880,228567,371551,405915,462748,997373,588881,652616,587594,345735,511803
31,Azerbaijan,222801,86179,69211,243817,14954,784497,406671,1547062,533805,1431904,507742
32,Argentina,3924279,15112877,30639157,15583999,27537709,45697444,45025498,35932334,52367831,54161611,76463982
36,Australia,99326265,108364601,133540159,192532882,252562820,281521722,281486315,273392613,253401065,368280780,293201892
40,Austria,11813262,23817509,95934839,83866500,113304813,84296278,152403663,95608921,36243568,58447685,28096967
44,Bahamas,247354,5703315,252623,7143087,16510700,2716668,3460866,7451335,2892257,1459259,908068
48,Bahrain,2465616,407693,1001773,1428788,12922354,24905339,3844412,891941,1395448,5219249,9030013
50,Bangladesh,4457409,1210631,3894074,607373,744660,3302148,479631,632386,306160,5543974,3143614
51,Armenia,5503,4200,174970,13586,321157,163831,114812,124631,285077,140534,248598
52,Barbados,388461,744294,668903,701267,271243,507544,1162377,506073,375270,492054,760494
56,Belgium,79508301,44406181,36243214,54023062,156433680,139204437,119763035,198279687,158835351,107582949,120360771
60,Bermuda,91465,125524,280081,217172,245342,7741616,13765218,32129591,440682,340285,251558
64,Bhutan,0,0,14525,0,16906,55606,0,0,0,0,0
68,Bolivia,1896353,3053172,3621088,3893800,5652996,6856751,2789384,1318377,1716597,3347726,3019410
70,Bosnia and Herzegovina,0,0,0,151949,97183,35438,4865075,4850,0,0,0
72,Botswana,1652803,0,0,1103888,168603,76110,7077169,5113563,20340,57695,46964
76,Brazil,145394144,62858426,128821325,188881857,183346413,338819827,504198290,297599247,392521301,455733374,351376588
84,Belize,4445686,2080742,1735423,3305957,122702,2182315,3878429,2132399,2052152,4483114,245440
86,British Indian Ocean Territories,0,0,10295,0,0,0,0,0,0,0,0
90,Solomon Islands,0,0,0,0,0,0,0,0,0,5200,2700
92,British Virgin Islands,310729,9000,40937,19603964,40664532,21180462,11537233,6519314,131898,365067,103087
96,Brunei,30151,16466,185292,150977,80812,339530,245431,114724,155184,1491174,35577
100,Bulgaria,453058,744277,555046,7347917,646442,13092822,2511675,1125960,1426526,13088612,2101630
104,Burma,0,0,116423,0,0,230000,2539,3560,0,21043,0
108,Burundi,0,0,3150,0,1173650,0,195265,7085,79850,217302,36470
112,Belarus,0,34134,7708,42933,582641,609631,38095,3348,16840,131227,264434
116,Cambodia,5730,99844,1078362,87924,55393,3813,2244531,9100,48782,309237,3380770
120,Cameroon,39021,58512,81718,39424,26370,45778,117703,2135212,63525,115847,5270712
124,Canada,1273837932,1020562047,1319197803,1803226257,2280041520,2459209751,2659376329,2035743307,2552080093,2565672309,2718965132
132,Cape Verde,0,1618370,0,1365512,9926,0,414246,3695,0,0,2670
136,Cayman Islands,4170150,59923,93019,572132,126151,312690,25036407,170767,768452,494502,777592
140,Central African Republic,0,19303,5288,0,35078,0,24312,0,93048,29773,61700
144,Sri Lanka,6805062,91667,167202,2269998,2392956,9206842,891416,5042235,397513,865270,1434800
148,Chad,0,2600,0,710497,126294,1824225,5693233,56612,3490,12553,0
152,Chile,22642670,15530831,17206135,24751259,26277912,67831017,48019752,41479669,46830802,38158905,62694022
156,China,199950326,175412750,210380184,313664402,359940110,489094709,510983871,353008506,526916230,668401217,1140477303
158,Taiwan,43545683,52050505,64519748,81384815,122273834,172986584,160971403,111407931,157240325,135305737,128035225
162,Christmas Island,0,0,0,0,0,0,12150,0,0,65232,79393
166,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0
170,Colombia,29013126,23889635,29436365,34364696,25809876,24271134,77548996,64516761,76947748,51736713,88859103
174,Comoros,0,0,0,0,0,0,0,0,0,0,0
175,Mayotte,0,0,0,0,0,0,0,0,0,10258,90444
178,Congo (Brazzaville),1573769,238166,29619,71770,112802,254710,249558,209482,570087,104370,120120
180,Congo (Kinshasa),43439,0,74207,2864244,5228515,1484342,522386,473350,46117,8979505,1436168
184,Cook Islands,0,0,0,0,0,0,0,0,5150,35119,0
188,Costa Rica,17692988,11415991,4745167,4941972,14897417,25306377,25321595,10487886,17094320,8888518,10115442
191,Croatia,739010,643049,197994,779118,139518,372495,9745549,6397519,3720164,167332,206391
192,Cuba,0,0,8020800,76931,154960,19825717,0,0,0,0,0
196,Cyprus,141892,236135,289390,606882,747971,970349,1179693,2953544,151680,312332,16959733
203,Czech Republic,10566888,4195304,5016640,13569305,14960981,46583802,27047035,26934793,32380121,15020100,24198979
204,Benin,856387,209271,279208,517470,49470,71570,90781,456935,798682,1161809,1155561
208,Denmark,26990097,10002012,28107592,31906041,73380863,73779917,68081207,19519072,26124105,18865760,30458865
212,Dominica,526168,674577,146219,0,10000,26642,10000,228496,130471,46163,0
214,Dominican Republic,21715968,9055912,7318852,15865640,32888661,25324368,24512780,34102657,31146805,41682106,29573749
218,Ecuador,4369602,3262002,1203939,2142848,23970827,4808899,7212539,9200358,7244423,12472235,9203338
222,El Salvador,2662797,3877483,1920898,1890803,7010567,8649363,15994168,2478250,27415841,7601870,5209643
226,Equatorial Guinea,0,2600,3256,3936,82226,3338,6842000,7811,102750,181468,221167
231,Ethiopia,185542,3736275,26667634,29460715,1306590,11359555,27228739,4368298,6691242,2295889,2413778
232,Eritrea,3900,0,1400642,2747239,537062,0,0,0,14080,11386,15274
233,Estonia,214557,299962,292358,576359,894077,12086477,1583666,1235511,696800,446093,423269
234,Faroe Islands,0,0,0,0,0,0,10489,0,0,0,0
238,Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,2941,35455
242,Fiji,146990,102718,62865,1884843,2449198,3645801,104912,111709,187712,433295,277370
246,Finland,3969548,4800012,8454427,15090526,44496005,24193430,48529181,10061800,6583828,8771779,10750214
250,France,103365412,121027417,144186108,162236632,162365971,245552163,233919608,185341155,176195033,204259008,204508698
254,French Guiana,246500,374065,852855,403190,1142798,1238286,312761,0,24163,19854,17249
258,French Polynesia,382842,203357,214973,10442350,4939332,160873,411428,115132,75960,203526,332330
260,French Southern and Antarctic Lands,0,0,0,0,5146,70160,0,0,0,688560,0
262,Djibouti,126272,4797,0,75152,156115,465840,162911,689521,697465,100344,470900
