id,Country,2008,2009,2010,2011,2012
0,World Total,10223157529,11891201863,10826223388,9791794441,10877039517
4,Afghanistan,30285,1474739,1014173,161598,0
8,Albania,0,0,12895,2595,71106
12,Algeria,6532,32637,10870,13575,28502
20,Andorra,0,0,0,0,6465
24,Angola,0,14109,0,5252,19038
28,Antigua and Barbuda,445977,584721,257777,370986,1038178
31,Azerbaijan,10747,0,0,14897,0
32,Argentina,2836661,2724646,4758447,5590446,10314902
36,Australia,143353364,163191248,203617682,183145546,189348247
40,Austria,42883726,27170378,26223678,80138812,32165625
44,Bahamas,5352213,424430,209608,127801,88206
48,Bahrain,6281202,4542395,467335,184265,144786
50,Bangladesh,16564764,10737565,15754746,33644904,28006817
51,Armenia,51078,0,0,5000,39231
52,Barbados,80708,112816,249777,88641,102478
56,Belgium,38566306,64912330,81549298,134959045,118513004
60,Bermuda,15078,33150,17340,42856,0
64,Bhutan,0,0,0,0,0
68,Bolivia,875164,400517,181425,152458,705485
70,Bosnia and Herzegovina,0,562,0,0,58300
72,Botswana,0,0,204976,118347,44908
76,Brazil,107689005,103064338,147489364,115143947,174575261
84,Belize,0,7016,128491,11662,0
86,British Indian Ocean Territories,0,0,0,0,0
90,Solomon Islands,0,0,0,0,2900
92,British Virgin Islands,0,45000,0,0,0
96,Brunei,12226,87500,12100,52745,213973
100,Bulgaria,232464,439851,889132,1681304,1982396
104,Burma,0,0,0,0,0
108,Burundi,0,0,0,0,0
112,Belarus,239100,23100,0,11994,0
116,Cambodia,8118082,6589607,3463719,5975855,4454046
120,Cameroon,36570,1472768,62203,16718,96838
124,Canada,2264989952,4757064666,3243270243,1488767207,1624344688
132,Cape Verde,0,0,0,0,12540
136,Cayman Islands,0,0,34641,12917,18209
140,Central African Republic,14603,0,414,0,0
144,Sri Lanka,728991,720906,1242838,2689440,4432084
148,Chad,0,29658,0,0,0
152,Chile,9446416,6221866,15137918,11232305,7636869
156,China,1874595692,1696130448,1907125158,2106476658,2185884669
158,Taiwan,1750725875,2034053223,1394742798,1083627800,1544687082
162,Christmas Island,0,0,0,0,31270
166,Cocos (Keeling) Islands,72144,0,0,0,0
170,Colombia,12331773,8354705,7327862,8574466,10102424
174,Comoros,0,0,0,0,10000
175,Mayotte,0,0,0,0,0
178,Congo (Brazzaville),0,0,111967,6152,32960
180,Congo (Kinshasa),0,23388,0,90214,0
184,Cook Islands,0,0,0,0,0
188,Costa Rica,2995299,2640774,1834093,857897,2583037
191,Croatia,132220,60786,256766,52939,257393
192,Cuba,0,0,0,0,0
196,Cyprus,800,57005,2638,0,0
203,Czech Republic,27713475,34517404,16417177,18944732,26767878
204,Benin,0,0,0,0,0
208,Denmark,51551984,40114358,51517034,65101165,118649471
212,Dominica,5480,0,0,0,0
214,Dominican Republic,849781,354904,1528032,99976,254203
218,Ecuador,135823,124725,1183169,2146587,1764721
222,El Salvador,339161,74621,409653,2886271,7585490
