id,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,World Total,10680138859,10729090350,13055047865,14960603690,17254378478,19652095856,19120585559,17649768303,19342737535,20083680609,22092307895
4,Afghanistan,0,171868,86016,2668702,1426871,2324798,4316743,13415321,18373744,7441162,9705656
8,Albania,2550,0,0,3500,31599,188850,90807,15915,389043,92588,52022
12,Algeria,359326,70195,425831,2169971,1578040,2376119,1144025,963684,274036,601745,1481742
20,Andorra,264001,0,92718,0,8813,15980,5565,0,120000,30000,0
24,Angola,19000,131810,114487,1201257,1670907,890966,656563,94224,159332,1213137,1090107
28,Antigua and Barbuda,293716,32342,132805,129566,244711,114382,234636,233338,224810,343930,350399
31,Azerbaijan,335749,327695,631868,162586,168000,21740,952614,969762,897374,218326,455276
32,Argentina,15653563,32267456,37287584,38501796,43276291,56764879,54802468,52792716,68957122,80743023,80478083
36,Australia,187674976,393506991,183198845,214485454,227752484,238603636,280924248,242624476,282787000,393869392,326721297
40,Austria,119991545,133074824,134892374,179565531,220641380,292855340,302178069,366981259,98273131,188305987,388182796
44,Bahamas,1507887,1125248,1936763,3403932,6548898,6201780,6086562,6178988,7392233,7271614,10702364
48,Bahrain,2225004,1124842,1083249,1934892,4155287,5981256,9385798,8203865,5418742,15753779,18907031
50,Bangladesh,490047,314013,486547,1084194,978648,626177,1117945,1734690,2337382,3534234,5055992
51,Armenia,94921,207294,415345,154756,223076,353402,16740,1032989,117922,13651,70514
52,Barbados,587908,926754,1317564,2082598,1428255,1537734,1977956,1952821,2890014,2202796,2033590
56,Belgium,184481399,236729444,225271830,251546935,296086740,431967906,379428290,295717823,368883962,509166574,481151577
60,Bermuda,873913,1034045,1681956,1474229,2234086,2143814,3167019,2871792,2907999,2711658,3395197
64,Bhutan,0,0,0,0,0,9241,0,0,7552,21750,189350
68,Bolivia,2862608,4788389,4453384,11139828,698407,877675,1020689,1035425,3009736,1970614,2202932
70,Bosnia and Herzegovina,38113,70190,21000,10305,14479,95042,267924,171850,34000,91927,68990
72,Botswana,43460,12000,4000,20090,111074,10967,0,143163,99408,9500,123079
76,Brazil,173415815,159427841,293721793,450756662,549899994,765232078,557042309,897160950,859774462,997084275,1149453547
84,Belize,75167,91459,268805,465791,438993,208707,1372380,990422,492105,788801,1067981
86,British Indian Ocean Territories,0,0,0,65952,0,0,0,0,21600,0,0
90,Solomon Islands,3150,0,0,0,3893,3354,3305,0,0,0,6141
92,British Virgin Islands,497051,107957,120615,167354,662015,206643,462744,548767,448131,543028,855248
96,Brunei,49562,207556,23934,38410,13355,58680,125235,203366,194006,190211,132881
100,Bulgaria,1602636,1277360,1037575,1632469,3068710,1933084,2947782,2324875,1753022,2955774,2599399
104,Burma,49168,65787,9817,18090,0,0,64263,37081,105297,193436,62994
108,Burundi,0,0,0,0,0,0,0,0,0,3589,0
112,Belarus,333188,0,92500,497724,350732,65468,97222,350972,203385,0,225155
116,Cambodia,166045,169839,164803,24913,51146,27145,124389,57360,146043,160334,256131
120,Cameroon,6500,648054,6640,84609,72968,125622,111520,79484,170144,297880,104982
124,Canada,3713626793,3432775985,4687504879,5125097858,5892014216,6588175324,5883722070,4902175040,5877592661,6468778822,7303473383
132,Cape Verde,0,0,0,0,4608,76911,15415,13497,2690,0,15000
136,Cayman Islands,680353,773514,1282868,2258417,1663260,1778360,1913589,1547878,1237740,2372027,1686034
140,Central African Republic,0,0,0,0,19119,61600,0,421000,0,0,0
144,Sri Lanka,1167068,1734944,938052,889920,853305,741222,1055962,369010,893855,976716,1945338
148,Chad,0,0,0,0,8271,171319,251913,89004,38112,9270,3086
152,Chile,19328247,27623240,34535875,41338089,28590125,37443351,40344471,36666812,53703012,62862972,69854572
156,China,129218351,233678181,319575742,392800476,416688214,578310919,604183001,736882391,838588617,906840433,1053361914
158,Taiwan,261780884,302116824,395306720,443251598,393398806,481663963,625381761,313673948,369975043,286255138,271425063
162,Christmas Island,0,0,0,0,0,0,0,0,15870,0,0
166,Cocos (Keeling) Islands,0,0,0,0,0,0,284905,99441,244800,449293,5169
170,Colombia,26517682,29504835,32905115,36937768,44327073,67266911,58418276,49354580,67305546,78544004,85303370
174,Comoros,0,0,0,0,0,0,0,0,0,0,0
175,Mayotte,0,0,0,0,0,0,0,0,12565,0,0
178,Congo (Brazzaville),6404,11570,119816,115045,50604,76717,25000,17032,368469,109546,184531
180,Congo (Kinshasa),10624,0,35550,0,633863,149720,350143,296893,190421,254214,17306
184,Cook Islands,0,0,0,0,0,0,0,0,0,0,0
188,Costa Rica,9706633,6101990,7378808,8863004,12336265,17198902,18070303,21482826,37042797,34462365,29710256
191,Croatia,222473,312775,203751,289339,460777,429931,1240832,489603,684263,1775741,3039170
192,Cuba,0,62034,357987,100800,0,0,0,0,200886,0,634099
196,Cyprus,1673058,117372,304973,288836,130743,335621,390110,747732,370763,216229,285410
203,Czech Republic,16826884,19397366,18334215,19051984,9842290,4976289,3687577,4683925,4993454,6117014,5895107
204,Benin,9000,85711,92650,106150,15700,37622,29221,81192,149312,721837,483336
208,Denmark,5130695,5585742,8557798,9696156,16855919,21385340,13551195,8628895,10317615,10624503,16216700
212,Dominica,127141,66875,18499,149917,117672,29005,111522,670425,262363,166672,269783
214,Dominican Republic,12572852,9093259,14544946,13511941,14413824,26005601,36458792,19087474,29153262,41032490,45096503
218,Ecuador,11157852,14300102,13790913,13520152,12056937,16711465,17562792,20050946,16101951,36864838,24746989
222,El Salvador,41553632,39492242,75325184,75465287,100557423,166102848,156169831,100023183,152665332,152875256,166892283
226,Equatorial Guinea,0,2592,0,331356,17988,423306,63990,59519,0,145956,88284
231,Ethiopia,23752,47053,94425,95275,140742,282065,76438,176807,50667,94801,1864307
232,Eritrea,0,2855,0,0,0,39072,0,0,122046,3825,9082
233,Estonia,433270,599250,1518505,1770982,2686645,7031140,8492021,2421167,3945948,8235554,10465201
234,Faroe Islands,0,0,141173,562617,0,8275,2882,56909,81197,54237,0
238,Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0
242,Fiji,40481,52828,131846,50040,74949,108337,139202,228868,98826,107049,53572
246,Finland,2589142,2980518,4429794,3680608,4307292,5881107,5430055,8070218,9160915,13481845,10403243
250,France,803922539,731934177,1083959295,1264521678,1482696359,1931759847,1939325104,1845072891,661301307,415950112,433253612
254,French Guiana,71500,0,71500,86341,79300,78008,0,84500,87894,41160,0
258,French Polynesia,56301,3750,24783,38515,7543,282325,586518,685418,424467,681332,600887
260,French Southern and Antarctic Lands,0,0,0,0,0,0,0,0,0,0,0
262,Djibouti,6309,3220,0,40337,272482,106265,17572,20538,165084,476468,58545
266,Gabon,0,19373,8299,7095,7178,47844,98234,20447,38112,31919,397542
268,Georgia,3663856,743047,274515,1113496,405076,1143759,687321,2032707,1362601,1620559,1435053
270,Gambia,16800,0,4600,256356,14902,16270,16624,29523,15211,103298,55200
276,Germany,346634932,355716664,432744625,458779597,599008678,728531545,752006139,658312068,877635429,806718884,650705726
288,Ghana,1070611,1527085,1301607,1284459,219831,969185,414257,274698,696189,1364523,2045098
292,Gibraltar,50838,14883,46404,40470,33703,52351,63183,116149,63925,6150,31094
296,Kiribati,0,0,0,0,0,0,11751,0,0,0,0
300,Greece,8279130,7971991,20216752,26182835,4619816,7844383,6940976,5078971,3384164,3296772,3260052
304,Greenland,0,0,12732,81607,3400,0,36026,679714,27500,0,0
308,Grenada,12250,11535,9110,91427,6791,99690,42054,259335,140814,287757,304812
312,Guadeloupe,118446,50549,42780,18273,4281,62230,67180,67044,49154,96720,243284
320,Guatemala,8707377,10658489,7703772,12866785,10108980,18332427,23514478,29202671,15056031,11069666,18283801
324,Guinea,3156,0,5702,56950,58891,1162615,861740,136346,344604,181874,137519
328,Guyana,201188,46886,208119,88719,263392,818411,627877,480137,673874,582774,937241
332,Haiti,399925,339653,546638,265250,1242729,7763737,653939,1335162,3313605,745323,1708929
334,Heard and McDonald Islands,0,0,0,0,0,0,0,42734,15833,0,0
336,Vatican City,16331,14561,0,91241,235620,196906,279106,213840,35640,0,163194
340,Honduras,49044300,49327709,58099819,70325157,39873055,153396742,56261458,10873518,14835165,14885785,10636887
344,Hong Kong,70438374,107654062,148662914,147648330,150481514,190206875,264209835,378904295,584095171,529071681,582068174
348,Hungary,9886665,13105171,29568378,32819019,30587669,26132337,31163205,52446150,21290289,26292853,31053131
352,Iceland,434036,355632,691798,970014,1282627,1209515,1500629,550848,729464,513617,678782
356,India,22506319,27398071,39089353,52437577,51854408,78286981,96505685,80400075,113883693,116446190,124848594
360,Indonesia,18006795,17901245,30172515,25761862,21665976,28627744,31056136,34887563,41386577,51906774,56606180
364,Iran,20000,0,0,0,0,0,0,0,0,0,1915960
368,Iraq,0,149193,857726,6894673,5429021,5159227,15805681,10965903,10946535,10504958,7872767
372,Ireland,159121810,136068781,135780600,169415145,162387077,143293022,112651961,103090869,79297753,102085397,79237774
