id,Country,2008,2009,2010,2011,2012
0,World Total,29270979356,25346772506,32086018057,31969570861,34727701519
4,Afghanistan,1818515,4043381,614828,330574,0
8,Albania,584,607,3489,8622,0
12,Algeria,0,38075,8241,0,0
20,Andorra,0,4851,0,0,0
24,Angola,0,0,0,0,0
28,Antigua and Barbuda,59970,0,0,0,0
31,Azerbaijan,81191,90000,5654,0,59140
32,Argentina,47040470,23082140,43885635,51123965,36991572
36,Australia,65333069,55710231,78817078,93459913,107770060
40,Austria,302064805,321408354,217777075,143990599,199143765
44,Bahamas,3985787,1161587,1827555,1752187,5037110
48,Bahrain,3817960,1603489,678150,189118,812792
50,Bangladesh,35917591,45824552,58846943,55696357,92492595
51,Armenia,5000,50233,0,1117,0
52,Barbados,12017093,10283229,4342169,572137,416685
56,Belgium,571470211,447988370,342028036,397426965,335529800
60,Bermuda,827038,910391,1186819,1096409,1375471
64,Bhutan,0,0,0,15247,0
68,Bolivia,305392,46464,35688,31946,54088
70,Bosnia and Herzegovina,687,2209,0,0,0
72,Botswana,0,0,0,0,0
76,Brazil,183599141,156973938,220556659,223067162,328524521
84,Belize,30165,0,125150,71626,0
86,British Indian Ocean Territories,0,0,0,0,0
90,Solomon Islands,0,0,0,0,0
92,British Virgin Islands,5084,0,0,13984,19270
96,Brunei,22198,74694,0,0,0
100,Bulgaria,1408482,3163941,2698720,1446998,3464884
104,Burma,0,0,0,0,0
108,Burundi,0,0,0,0,0
112,Belarus,0,0,10500,0,0
116,Cambodia,46077188,41359221,65480670,68758201,95065697
120,Cameroon,187565,284169,314058,443191,346818
124,Canada,4254370437,3035669924,4104216080,4587332056,3999145450
132,Cape Verde,0,0,0,0,0
136,Cayman Islands,304227,1107876,348485,107214,108820
140,Central African Republic,0,0,18943,0,0
144,Sri Lanka,61225862,45257601,40813923,37794806,54068998
148,Chad,0,0,0,0,0
152,Chile,4565670,2172250,2117869,4575669,4782870
156,China,6128549278,5520825001,7835931578,5759694479,6802842433
158,Taiwan,1125577435,1259539620,2203691539,2864036304,1071072996
162,Christmas Island,0,0,0,3097,37831
166,Cocos (Keeling) Islands,3899,0,0,0,0
170,Colombia,12396538,3580423,4005328,3078564,2571441
174,Comoros,0,0,0,0,4394
175,Mayotte,0,0,0,0,0
178,Congo (Brazzaville),7036,0,10461,26520,10720
180,Congo (Kinshasa),116646,0,0,3098,3986
184,Cook Islands,7098,0,4882,0,0
188,Costa Rica,1994921,2160496,2907552,3647368,38806051
191,Croatia,1014258,873947,2066778,2002007,1363943
192,Cuba,0,0,0,0,0
196,Cyprus,0,0,29940,0,0
203,Czech Republic,16508961,16539248,15985020,24383317,49059022
204,Benin,0,0,12000,2633,7394
208,Denmark,49194052,51234614,58750655,68119112,82867756
212,Dominica,0,0,0,0,0
214,Dominican Republic,65840059,55551672,65995030,64963240,62246498
218,Ecuador,960244,309112,217851,558648,1518188
222,El Salvador,270682328,181435993,198074283,218982904,276778854
226,Equatorial Guinea,0,0,0,0,3000
231,Ethiopia,20283,55072,176190,35976,0
232,Eritrea,0,0,0,0,0
233,Estonia,3335281,1087862,292291,285180,4567195
234,Faroe Islands,0,0,0,0,0
238,Falkland Islands (Islas Malvinas),0,0,0,0,0
242,Fiji,0,44810,0,486,0
246,Finland,40277254,29538209,22418266,25135390,36490713
250,France,1325132568,1273813097,1361801465,1320699269,1443862559
254,French Guiana,0,0,0,0,0
258,French Polynesia,3528,0,0,0,525
260,French Southern and Antarctic Lands,0,0,0,0,0
262,Djibouti,0,0,0,0,0
266,Gabon,60188,3068,23828,0,16718
268,Georgia,17420,17918,43516,384,10982
