id,Country,2008,2009,2010,2011,2012
0,World Total,-10149688919,-7697223123,-12743457923,-11885915308,-12635430144
4,Afghanistan,2498228,9371940,17758916,7110588,9705656
8,Albania,90223,15308,385554,83966,52022
12,Algeria,1144025,925609,265795,601745,1481742
20,Andorra,5565,-4851,120000,30000,0
24,Angola,656563,94224,159332,1213137,1090107
28,Antigua and Barbuda,174666,233338,224810,343930,350399
31,Azerbaijan,871423,879762,891720,218326,396136
32,Argentina,7761998,29710576,25071487,29619058,43486511
36,Australia,215591179,186914245,203969922,300409479,218951237
40,Austria,113264,45572905,-119503944,44315388,189039031
44,Bahamas,2100775,5017401,5564678,5519427,5665254
48,Bahrain,5567838,6600376,4740592,15564661,18094239
50,Bangladesh,-34799646,-44089862,-56509561,-52162123,-87436603
51,Armenia,11740,982756,117922,12534,70514
52,Barbados,-10039137,-8330408,-1452155,1630659,1616905
56,Belgium,-192041921,-152270547,26855926,111739609,145621777
60,Bermuda,2339981,1961401,1721180,1615249,2019726
64,Bhutan,0,0,7552,6503,189350
68,Bolivia,715297,988961,2974048,1938668,2148844
70,Bosnia and Herzegovina,267237,169641,34000,91927,68990
72,Botswana,0,143163,99408,9500,123079
76,Brazil,373443168,740187012,639217803,774017113,820929026
84,Belize,1342215,990422,366955,717175,1067981
86,British Indian Ocean Territories,0,0,21600,0,0
90,Solomon Islands,3305,0,0,0,6141
92,British Virgin Islands,457660,548767,448131,529044,835978
96,Brunei,103037,128672,194006,190211,132881
100,Bulgaria,1539300,-839066,-945698,1508776,-865485
104,Burma,64263,37081,105297,193436,62994
108,Burundi,0,0,0,3589,0
112,Belarus,97222,350972,192885,0,225155
116,Cambodia,-45952799,-41301861,-65334627,-68597867,-94809566
120,Cameroon,-76045,-204685,-143914,-145311,-241836
124,Canada,1629351633,1866505116,1773376581,1881446766,3304327933
132,Cape Verde,15415,13497,2690,0,15000
136,Cayman Islands,1609362,440002,889255,2264813,1577214
140,Central African Republic,0,421000,-18943,0,0
144,Sri Lanka,-60169900,-44888591,-39920068,-36818090,-52123660
148,Chad,251913,89004,38112,9270,3086
152,Chile,35778801,34494562,51585143,58287303,65071702
156,China,-5524366277,-4783942610,-6997342961,-4852854046,-5749480519
158,Taiwan,-500195674,-945865672,-1833716496,-2577781166,-799647933
162,Christmas Island,0,0,15870,-3097,-37831
166,Cocos (Keeling) Islands,281006,99441,244800,449293,5169
170,Colombia,46021738,45774157,63300218,75465440,82731929
174,Comoros,0,0,0,0,-4394
175,Mayotte,0,0,12565,0,0
178,Congo (Brazzaville),17964,17032,358008,83026,173811
180,Congo (Kinshasa),233497,296893,190421,251116,13320
184,Cook Islands,-7098,0,-4882,0,0
188,Costa Rica,16075382,19322330,34135245,30814997,-9095795
191,Croatia,226574,-384344,-1382515,-226266,1675227
192,Cuba,0,0,200886,0,634099
196,Cyprus,390110,747732,340823,216229,285410
203,Czech Republic,-12821384,-11855323,-10991566,-18266303,-43163915
204,Benin,29221,81192,137312,719204,475942
208,Denmark,-35642857,-42605719,-48433040,-57494609,-66651056
212,Dominica,111522,670425,262363,166672,269783
214,Dominican Republic,-29381267,-36464198,-36841768,-23930750,-17149995
218,Ecuador,16602548,19741834,15884100,36306190,23228801
222,El Salvador,-114512497,-81412810,-45408951,-66107648,-109886571
226,Equatorial Guinea,63990,59519,0,145956,85284
