id,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,World Total,33969067417,33488995528,35949357201,37848627094,40499792371,44555349131,45135506345,32655333884,44768187457,51003027609,56902109841
4,Afghanistan,315802,100460,292521,316907,495516,579844,1854659,119501924,8777857,58783996,6072111
8,Albania,3508,206132,11656,158285,67708,46753,203344,165806,112255,66405,95752
12,Algeria,59318,353774,383113,2320198,1935374,4673646,2248230,5776590,9688339,5492624,3008507
20,Andorra,30087,140910,0,26922,0,191399,163721,0,0,392196,435749
24,Angola,1147783,2115973,788237,1533163,4570318,8788454,11402635,12746362,16833043,22095522,38978569
28,Antigua and Barbuda,333136,372387,637344,2294177,1128544,1287998,1003605,432301,308704,395443,431312
31,Azerbaijan,215271,723597,537357,506520,1093831,1057800,621586,2329431,1795765,5237059,36186787
32,Argentina,81080290,94454395,129552191,151494297,172306679,200047051,228672533,144081549,154062584,186958817,135475100
36,Australia,555000537,522319566,466818933,370921546,348346736,361078633,357532925,259332110,328265746,699526057,878643267
40,Austria,666652554,365714587,342522019,590366582,623557657,428091899,235327718,84797438,79368170,77917205,76544482
44,Bahamas,13496649,12525448,14016533,10411054,15936423,17468410,8964528,10759755,12245257,12819417,8677625
48,Bahrain,14259836,15207449,9892947,13996886,14045077,21302769,37711183,18891479,35634355,46108225,81724766
50,Bangladesh,633923,888315,1205832,755714,476120,1430671,1159679,5563258,4156557,1638127,4266285
51,Armenia,277497,201063,172976,292276,113185,126514,418678,640015,132883,132252,263276
52,Barbados,1267749,2206520,1755754,1579359,1482107,1247494,1286229,1542761,2928353,2843160,1658854
56,Belgium,461621918,424316276,429444198,442271148,433979961,458087210,531814087,516445919,524262144,693330348,712365808
60,Bermuda,1884917,2081939,1861266,2395577,3419038,2644780,3624714,4901222,5654569,3393837,1096711
64,Bhutan,0,3870,0,0,0,3861,0,30763,42550,0,0
68,Bolivia,1525745,493137,320717,932776,1868850,1988987,1115433,2839803,5906706,7934529,12869432
70,Bosnia and Herzegovina,66833,48074,6043,18458,26865,175517,642970,1180093,161863,134576,1021998
72,Botswana,19992,0,7854,8876,60867,41346,61427,101288,269171,142079,467738
76,Brazil,280961014,243862547,323805501,405431454,357006564,387622460,438662456,413995045,585844585,759922650,692610752
84,Belize,506925,1125603,879663,649401,650491,389817,1418585,118418,796427,866137,921379
86,British Indian Ocean Territories,0,391251,0,0,0,0,0,0,0,0,0
90,Solomon Islands,0,0,0,5766,0,0,0,4602,0,0,0
92,British Virgin Islands,69614,528091,333402,931782,1396322,1600730,792795,1281962,1837590,2294216,1817009
96,Brunei,89090,294882,202975,412985,492194,249809,1301969,289387,691817,1207608,1097624
100,Bulgaria,1656251,2219422,2661620,4299488,2523236,6315807,8362601,4473334,4788386,2208861,5422678
104,Burma,151000,35398,0,31657,113888,17490,0,19875,595620,103432,93948
108,Burundi,401375,0,30293,0,0,0,0,86700,69050,0,224400
112,Belarus,0,107204,633023,741410,788849,1360044,823474,957389,846772,5227145,2986523
116,Cambodia,201314,570264,334972,685313,1013208,532668,1147138,442460,1328031,1357444,1722408
120,Cameroon,144461,11000,114117,101944,211449,151422,674194,605293,703979,2009345,742302
124,Canada,20014825844,20364372561,21811750281,22850577132,23910130885,25817286490,24073012301,15904049833,22087563600,23577576848,25299648677
132,Cape Verde,0,0,40896,69514,14212,49824,54450,24101,70926,5728,0
136,Cayman Islands,2296098,2859282,3427724,6317095,7248240,7980792,6867514,5764210,9310685,9035157,11719043
140,Central African Republic,0,87360,173512,861878,199547,15630,15706,46397,64640,3733,10240
144,Sri Lanka,549589,659175,1031715,3331701,1075106,1069506,1523492,1175450,3870352,3878936,2305154
148,Chad,2729,40942,7200,5154,0,63020,3634,7580,0,0,0
152,Chile,71472535,64844249,54977706,89418730,96263349,104272994,122809302,74526872,190297998,270068520,334752639
156,China,284028915,366358841,608845159,699245138,1015968875,1313682893,1287601558,1333294229,2180945490,2687599025,3254627414
158,Taiwan,222043312,232316882,237699678,236016144,234253701,209040264,208214632,178762927,229027129,187231126,186509000
162,Christmas Island,10000,11214,17386,21334,104781,0,72896,15363,45167,0,0
166,Cocos (Keeling) Islands,6987,0,0,0,121815,85077,0,0,0,0,9734
170,Colombia,37678518,39588579,41782479,58560635,90904897,87144494,96740955,98100884,135686670,147544620,225628681
174,Comoros,0,0,0,0,0,0,0,0,7748,8411,0
175,Mayotte,0,0,0,0,0,0,0,309432,18034,176814,172126
178,Congo (Brazzaville),15513,166489,297588,605799,302521,232420,115117,902179,1786728,2968808,1025054
180,Congo (Kinshasa),75842,0,20612,425818,718144,1124362,1085966,791593,348403,173742,228271
184,Cook Islands,0,0,0,5575,0,50810,0,0,9548,0,0
188,Costa Rica,10848358,13702058,20802974,22967844,29175933,32501387,34007818,21292894,35204935,51246747,70418761
