id,Country,2008,2009,2010,2011,2012
0,World Total,90150588566,59748247532,88087316917,1.04E+11,1.16E+11
4,Afghanistan,199845,918620,111505,12465,560761
8,Albania,64671,12019,131801,38168,78187
12,Algeria,4557292,30005250,32904105,23036344,179773
20,Andorra,0,0,0,2299,7545
24,Angola,58767,26000,0,0,17562
28,Antigua and Barbuda,49658,92100,0,22241,17172
31,Azerbaijan,4853,0,0,0,0
32,Argentina,36948287,26235517,29054373,29112887,24502575
36,Australia,240903567,121484470,140174756,154398488,188333695
40,Austria,259437930,154959150,173635730,282029320,367662981
44,Bahamas,12736,16505,12905331,39324254,37100964
48,Bahrain,737606,285794,51807,35746,0
50,Bangladesh,5413844,6360615,13213876,19255157,31017857
51,Armenia,161728,87944,51869,61450,19000
52,Barbados,33895,12380,33746,96491,33600
56,Belgium,111339222,319672241,317255472,200639291,115269451
60,Bermuda,23378,0,9137,4776,38752
64,Bhutan,0,0,74389,0,0
68,Bolivia,275544,50619,17008,75774,253271
70,Bosnia and Herzegovina,1040546,564211,731233,1485969,1373428
72,Botswana,464338,0,0,0,8000
76,Brazil,860562881,389627209,670322328,741883227,660806700
84,Belize,129138,659,89160,7808,14761
86,British Indian Ocean Territories,0,0,0,0,0
90,Solomon Islands,12148,0,0,0,0
92,British Virgin Islands,122718,20675,48685,106920,46199
96,Brunei,83896,25000,0,0,164288
100,Bulgaria,9202329,6258653,12501966,20892595,20064255
104,Burma,0,0,0,0,0
108,Burundi,0,0,0,0,0
112,Belarus,4791,33807,212041,336808,378675
116,Cambodia,10783114,15759847,18208476,8930717,4538236
120,Cameroon,3923168,1989136,4266634,5151229,3295457
124,Canada,44963538184,28172077382,40721406821,46659510809,49563616850
132,Cape Verde,8873,0,0,33237,0
136,Cayman Islands,113359,44816,4030,15603,87331
140,Central African Republic,50500,0,72059,2434,0
144,Sri Lanka,6196988,3333015,3981985,3571605,4928075
148,Chad,0,0,0,0,0
152,Chile,29768257,30606598,37918864,19265619,20403978
156,China,3988406124,2980161011,4531240292,5691465288,6750311687
158,Taiwan,494973114,364080952,492320921,590997102,647899296
