id,Country,2009,2010,2011,2012
0,World Total,-0.337239518,0.47430796,0.183802659,0.114875621
4,Afghanistan,3.596662413,-0.878616838,-0.888211291,43.98684316
8,Albania,-0.814151629,9.966053748,-0.710411909,1.048496122
12,Algeria,5.584008661,0.096611593,-0.299894527,-0.992196114
20,Andorra,0,0,0,2.281861679
24,Angola,-0.557574829,0,0,0
28,Antigua and Barbuda,0.854686053,0,0,-0.227912414
31,Azerbaijan,0,0,0,0
32,Argentina,-0.289939558,0.107444271,0.002013948,-0.158359836
36,Australia,-0.495713279,0.153849179,0.101471423,0.219789762
40,Austria,-0.402712048,0.120525829,0.624258556,0.303633895
44,Bahamas,0.295932789,780.904332,2.047132538,-0.056537373
48,Bahrain,-0.612538401,-0.818726075,-0.310016021,0
50,Bangladesh,0.174879623,1.077452573,0.457192197,0.610885697
51,Armenia,-0.456222794,-0.410204221,0.184715341,-0.690805533
52,Barbados,-0.634754389,1.725848142,1.859331476,-0.651780995
56,Belgium,1.871155692,-0.007560147,-0.367578155,-0.425489143
60,Bermuda,0,0,-0.477290139,7.113902848
64,Bhutan,0,0,0,0
68,Bolivia,-0.816294312,-0.663999684,3.455197554,2.342452556
70,Bosnia and Herzegovina,-0.457774092,0.29602755,1.032141602,-0.075735766
72,Botswana,0,0,0,0
76,Brazil,-0.547241442,0.720419705,0.106755953,-0.109284755
84,Belize,-0.994896932,134.2959029,-0.912427097,0.890496926
86,British Indian Ocean Territories,0,0,0,0
90,Solomon Islands,0,0,0,0
92,British Virgin Islands,-0.831524308,1.3547763,1.196158981,-0.567910587
96,Brunei,-0.702012015,0,0,0
100,Bulgaria,-0.319883803,0.997548993,0.671144762,-0.03964754
104,Burma,0,0,0,0
108,Burundi,0,0,0,0
112,Belarus,6.056355667,5.272103411,0.588409789,0.124305242
116,Cambodia,0.461530222,0.155371369,-0.509529683,-0.491839681
120,Cameroon,-0.492977104,1.144968469,0.20732854,-0.360258105
124,Canada,-0.373446163,0.445452753,0.145822663,0.062240388
132,Cape Verde,0,0,0,0
136,Cayman Islands,-0.60465424,-0.910076758,2.871712159,4.597064667
140,Central African Republic,0,0,-0.966222124,0
144,Sri Lanka,-0.462155647,0.194709595,-0.103059153,0.379792838
148,Chad,0,0,0,0
152,Chile,0.028162247,0.238911427,-0.491925206,0.05908759
156,China,-0.252793994,0.520468282,0.256050203,0.186041089
158,Taiwan,-0.264442973,0.352229273,0.200430607,0.09628168
162,Christmas Island,0,14.52944384,0.10347249,-0.601756396
166,Cocos (Keeling) Islands,0,0,36.96403631,0
170,Colombia,-0.773304161,0.644082568,2.359690823,-0.604299811
174,Comoros,0,0,0,0
175,Mayotte,0,0,0,0
178,Congo (Brazzaville),-0.990054047,120.5273312,-0.943008334,15.80269266
180,Congo (Kinshasa),0.688272535,2.59375,-0.886956522,9.989010989
184,Cook Islands,0,0,0,0
188,Costa Rica,-0.337529415,-0.024339196,0.388212216,0.874652398
191,Croatia,-0.629743522,1.007231606,0.756506193,2.286343053
192,Cuba,0,0,0,0
196,Cyprus,-0.000403285,0.406178136,0.01183349,0.214194796
203,Czech Republic,-0.331802411,0.259978708,0.994034193,0.160094813
204,Benin,0,0,0,0
208,Denmark,-0.038627708,0.047342975,0.211815811,0.073430559
212,Dominica,0,0,0,0
214,Dominican Republic,-0.344563552,0.402526959,0.04419414,0.081304422
218,Ecuador,-0.266162955,0.146987697,1.437707718,1.148331688
222,El Salvador,-0.575685757,0.185059187,-0.022924975,-0.418085007
226,Equatorial Guinea,0,0,0,0
231,Ethiopia,-0.976051371,799.156044,-0.923135872,7.672562893
232,Eritrea,73.68181818,0,0,0
233,Estonia,0.375744467,-0.697532463,3.685084747,-0.106931001
234,Faroe Islands,0,0,0,0
238,Falkland Islands (Islas Malvinas),0,0,0,0
242,Fiji,-0.490012214,-0.102544293,-0.087374462,-0.149190379
246,Finland,-0.509908842,0.73758614,-0.050287398,0.297233645
250,France,-0.401733035,-0.237571876,0.048391766,-0.237772732
254,French Guiana,0,0,0,0
258,French Polynesia,-0.522092359,-0.209925971,-0.409451881,2.905746123
260,French Southern and Antarctic Lands,0,0,0,0
262,Djibouti,0,0,0,0
266,Gabon,2.283695959,-0.735392823,3.376585366,0
268,Georgia,-0.032944296,-0.864766939,1.077880094,-0.858116072
270,Gambia,0,0,0,0
276,Germany,-0.402453816,0.228975299,0.360179549,0.106256808
288,Ghana,-0.74888181,0.161536867,-0.240583732,0.079258977
292,Gibraltar,0,0,0,0
296,Kiribati,0,0,0,0
300,Greece,-0.730941713,-0.615151091,3.048630521,-0.290317728
304,Greenland,0,0,0,0
308,Grenada,-0.887747111,0,0,0
312,Guadeloupe,3.211156789,-0.990518051,34.01625616,-0.389221051
320,Guatemala,0.470017141,0.044891737,-0.143562911,0.047263592
324,Guinea,-0.903912728,0,0,18.33286908
328,Guyana,0,0,0,0
332,Haiti,-0.60595452,0.268653196,0.546789787,-0.58872551
334,Heard and McDonald Islands,0,0,0,0
336,Vatican City,0,0,0,0
340,Honduras,-0.566270822,-0.297422077,0.677726072,0.186355897
344,Hong Kong,-0.437867078,0.750723044,-0.040626436,-0.192001212
348,Hungary,-0.355601548,0.251110551,1.192687564,0.921482363
352,Iceland,-0.914777338,-0.615008473,21.18998576,-0.849434746
356,India,-0.391725539,0.224253326,-0.015065974,0.346618284
360,Indonesia,-0.235282948,0.664402449,0.235340004,-0.292636628
364,Iran,0.222462,12.08166398,0,0
368,Iraq,0.398379257,0,0,-0.800832881
372,Ireland,-0.096491615,0.115360734,0.35011445,0.200020063
376,Israel,-0.013339337,0.036824461,0.146892734,-0.028067159
380,Italy,-0.237713459,0.146990606,0.586685308,0.369357225
384,Cote d'Ivoire,-0.941642087,13.47747946,-0.765739244,0.701187464
388,Jamaica,-0.941543827,2.647415886,1.290547287,-0.511848046
392,Japan,-0.392775242,0.456856026,0.362835461,0.305612461
398,Kazakhstan,-0.405250993,-0.170977919,0.802346296,-0.313240478
400,Jordan,-0.697777909,0.325854509,0.204787916,-0.365489567
404,Kenya,0.313764796,-0.38167419,6.903109313,-0.73170585
408,"Korea, North",0,0,0,0
410,"Korea, South",-0.311206231,0.631529154,0.881667605,0.145730102
414,Kuwait,-0.687198521,11.26953345,-0.531195176,-0.337176444
417,Kyrgyzstan,0,0,0,0
418,Laos,7.824949698,-0.466113771,-0.376759373,-0.063282466
422,Lebanon,-0.315400509,0.401592689,-0.121513224,0.15319934
426,Lesotho,7.510774922,0.804232963,-0.2409798,-0.237942553
428,Latvia,-0.467694273,-0.276892715,1.036562881,-0.139758987
430,Liberia,0,0,0,0
434,Libya,0,0,0,0
438,Liechtenstein,-0.471546725,0.554672574,0.356808807,0.103984888
440,Lithuania,1.776153878,-0.263462631,0.360803996,-0.357561378
442,Luxembourg,-0.582219245,0.904307651,2.252696714,-0.265128129
446,Macau,1.124734046,-0.782618009,6.891439832,2.019584646
450,Madagascar,0.0865993,0.132214932,-0.630227363,-0.425291124
454,Malawi,0,0,0,0
458,Malaysia,-0.188405718,0.405644128,-0.359439616,1.326156432
462,Maldives,0,0,0,0
466,Mali,0,0,0,0
470,Malta,0.101144845,0.309432279,0.145864803,-0.015728443
474,Martinique,0,-0.782017654,0,0
478,Mauritania,0,0,0,0
480,Mauritius,0,0,103.1757671,-0.26560298
484,Mexico,-0.276706086,0.635214193,0.169330012,0.158622449
492,Monaco,2.692413922,1.371642652,0.891395749,-0.696455472
496,Mongolia,-0.437779942,10.96882577,0,0
498,Moldova,0,0,0,23.74561404
499,Montenegro,48.61614093,-0.636579063,-0.883744178,-0.59175298
500,Montserrat,0,6.784013605,2.670308062,0.288886243
504,Morocco,0.043741276,-0.608385271,-0.200072788,8.276799086
508,Mozambique,208.9801075,-0.982193398,0.066459609,-0.409448819
512,Oman,0.819254854,-0.595476183,7.593865874,0.646953622
516,Namibia,1.560105475,-0.751287489,-0.390986602,-0.692
520,Nauru,0,-0.564953372,0,0
524,Nepal,0.249545671,0.095106179,0.898299591,0.784207085
528,Netherlands,-0.234844473,0.092991051,0.252055868,-0.097992473
528,Netherlands Antilles,-0.339339623,-0.465657575,0,0
531,Curacao,0,0,0,-0.959671684
533,Aruba,0.275617659,-0.55145658,0,0
534,Sint Maarten,0,0,0,0
540,New Caledonia,11.06707658,1.177899759,-0.834125608,0.82612784
548,Vanuatu,0,0,0,0
554,New Zealand,-0.30305842,0.553983296,0.274118783,-0.016639947
558,Nicaragua,-0.01600261,1.730298278,-0.285032448,0.546162341
562,Niger,-0.122915674,-0.411461162,21.0184587,0.166345307
566,Nigeria,0.996190037,-0.817286735,0.913531785,8.224172318
570,Niue,0,0,0,0
574,Norfolk Island,0,0,0,0
578,Norway,-0.399040023,0.308721425,-0.325318319,0.453807165
583,Micronesia,0,0,0.052179315,-0.346157631
584,Marshall Islands,0,0,0,0
585,Palau,0,0,0,0
586,Pakistan,0.033553588,0.192735893,0.154810654,-0.235784008
591,Panama,9.484400703,-0.722718618,0.962635466,0.411319169
598,Papua New Guinea,0.881661304,-0.915441291,1.470588235,15.06845238
600,Paraguay,0,0,2.881106286,-0.262578151
604,Peru,-0.413621654,0.337974857,0.505636768,0.146304191
608,Philippines,-0.438070185,1.006490396,0.164574037,0.114686455
612,Pitcairn Islands,0,0,0,0
616,Poland,-0.461779271,0.494189026,0.761116214,0.28889723
620,Portugal,-0.042736796,0.593386351,0.147391727,0.08303266
624,Guinea-Bissau,0,0,0,0
626,Timor-Leste,0,0,0,0
634,Qatar,-0.369232937,-0.892248276,412.1463084,-0.908619504
