id,Country,2008,2009,2010,2011,2012
0,World Total,-45013572698,-27092940801,-43319431535,-53274899402,-59354730701
4,Afghanistan,1654814,118583304,8666352,58771531,5511350
8,Albania,138673,153787,-19546,28237,17565
12,Algeria,-2309062,-24228660,-23215766,-17543720,2828734
20,Andorra,163721,0,0,389897,428204
24,Angola,11343868,12720362,16833043,22095522,38961007
28,Antigua and Barbuda,953947,340201,308704,373202,414140
31,Azerbaijan,616733,2329431,1795765,5237059,36186787
32,Argentina,191724246,117846032,125008211,157845930,110972525
36,Australia,116629358,137847640,188090990,545127569,690309572
40,Austria,-24110212,-70161712,-94267560,-204112115,-291118499
44,Bahamas,8951792,10743250,-660074,-26504837,-28423339
48,Bahrain,36973577,18605685,35582548,46072479,81724766
50,Bangladesh,-4254165,-797357,-9057319,-17617030,-26751572
51,Armenia,256950,552071,81014,70802,244276
52,Barbados,1252334,1530381,2894607,2746669,1625254
56,Belgium,420474865,196773678,207006672,492691057,597096357
60,Bermuda,3601336,4901222,5645432,3389061,1057959
64,Bhutan,0,30763,-31839,0,0
68,Bolivia,839889,2789184,5889698,7858755,12616161
70,Bosnia and Herzegovina,-397576,615882,-569370,-1351393,-351430
72,Botswana,-402911,101288,269171,142079,459738
76,Brazil,-421900425,24367836,-84477743,18039423,31804052
84,Belize,1289447,117759,707267,858329,906618
86,British Indian Ocean Territories,0,0,0,0,0
90,Solomon Islands,-12148,4602,0,0,0
92,British Virgin Islands,670077,1261287,1788905,2187296,1770810
96,Brunei,1218073,264387,691817,1207608,933336
100,Bulgaria,-839728,-1785319,-7713580,-18683734,-14641577
104,Burma,0,19875,595620,103432,93948
108,Burundi,0,86700,69050,0,224400
112,Belarus,818683,923582,634731,4890337,2607848
116,Cambodia,-9635976,-15317387,-16880445,-7573273,-2815828
120,Cameroon,-3248974,-1383843,-3562655,-3141884,-2553155
124,Canada,-20890525883,-12268027549,-18633843221,-23081933961,-24263968173
132,Cape Verde,45577,24101,70926,-27509,0
136,Cayman Islands,6754155,5719394,9306655,9019554,11631712
140,Central African Republic,-34794,46397,-7419,1299,10240
144,Sri Lanka,-4673496,-2157565,-111633,307331,-2622921
148,Chad,3634,7580,0,0,0
152,Chile,93041045,43920274,152379134,250802901,314348661
156,China,-2700804566,-1646866782,-2350294802,-3003866263,-3495684273
158,Taiwan,-286758482,-185318025,-263293792,-403765976,-461390296
162,Christmas Island,72896,13529,16686,-31428,-12516
166,Cocos (Keeling) Islands,-8000,0,-2864,-108729,9734
170,Colombia,70431319,92136599,125880893,114600241,212592584
174,Comoros,-126875,0,7748,8411,0
175,Mayotte,0,309432,18034,176814,172126
178,Congo (Brazzaville),83848,901868,1748933,2966654,988861
180,Congo (Kinshasa),1082649,785993,328278,171467,203271
184,Cook Islands,0,0,-6472,0,-122656
188,Costa Rica,7768736,3910274,18245394,27703305,26282991
191,Croatia,2390740,770753,214617,-12799,-2579329
192,Cuba,0,465232,0,8046,0
196,Cyprus,3978658,884810,317005,1228441,1231431
203,Czech Republic,-55971592,-36169638,-39803973,-89668308,-98840018
204,Benin,95146313,22715098,3611522,4503403,3415562
208,Denmark,-65017672,-71807397,-79745267,-83746866,-104974132
212,Dominica,180175,110569,118339,179869,186255
214,Dominican Republic,5340716,2467257,23875017,42801281,41297626
218,Ecuador,32265041,57014681,118045662,84331374,86392825
222,El Salvador,-12990915,-364358,-4894203,-2219050,6830691
226,Equatorial Guinea,47381,218282,731027,472429,1065950
231,Ethiopia,582591,1147053,697328,1224008,691327
232,Eritrea,56198,-253022,0,86629,83082
233,Estonia,1272350,823148,2704809,5311329,7261471
234,Faroe Islands,8161,35140,127097,6652,159535
238,Falkland Islands (Islas Malvinas),0,4328,2588,0,0
242,Fiji,24667,144598,928906,564183,410473
246,Finland,7458531,1323106,-11291310,70316425,4135576
250,France,-655074689,-333270807,84793474,48784708,163653266
254,French Guiana,79131,12531,4164,54022,117634
258,French Polynesia,687656,2062640,4130941,3052739,3945819
260,French Southern and Antarctic Lands,0,0,0,0,0
262,Djibouti,120028,178034,55743,122272,3763184
266,Gabon,514206,303349,1379947,715145,1854961
268,Georgia,3959434,1827663,2200680,931601,1791814
270,Gambia,80320,448300,253613,235095,32000
276,Germany,-1903529693,-812597564,-1015136783,-1662876608,-1847088679
288,Ghana,3502538,2459062,6226975,8581982,8629944
292,Gibraltar,0,0,0,0,3200
296,Kiribati,0,0,0,0,5000
300,Greece,-4081561,5972339,8895705,3418607,3114180
304,Greenland,346561,60521,17470,14487,14438
308,Grenada,-65699,548450,161296,104938,19109
312,Guadeloupe,195842,1584104,863935,98101,1217989
320,Guatemala,6661359,16673913,15970489,15902407,11881510
324,Guinea,723500,151942,381176,559587,166806
328,Guyana,463416,418568,864050,824125,1524535
332,Haiti,443397,595370,2036286,3923607,7183462
334,Heard and McDonald Islands,0,0,0,0,0
336,Vatican City,0,134757,18349,0,-97731
340,Honduras,-196575850,-68661069,-23163573,-65672590,-73561941
344,Hong Kong,145210655,152955157,153770361,190070363,190587702
348,Hungary,-43547414,-24861469,-35832062,-91400921,-211671434
352,Iceland,2544235,630732,554061,-1198675,2302688
356,India,-790858824,-404652262,-513216210,-482039405,-716403075
360,Indonesia,-62620100,-40359471,-95471597,-164457680,-51158060
364,Iran,146814,-20058,-178077,395491,269490
368,Iraq,20832620,14820790,21159313,74512942,137024092
372,Ireland,-103401913,-91713188,-119538265,-162039792,-211214326
376,Israel,-228228781,-251656122,-202349162,-290376029,-288005432
380,Italy,-298021785,-216654098,-226903897,-286106907,-569380620
384,Cote d'Ivoire,2273117,914788,1837324,1492928,1616574
388,Jamaica,4767528,5960225,5523599,3198631,5290363
392,Japan,-1780562116,-714801300,-1606872192,-2542556080,-3673220414
398,Kazakhstan,2294469,-210958,-136009,4666681,1728190
400,Jordan,20888777,15407208,15683944,44377714,36116944
404,Kenya,1635153,2092693,3433084,2344490,3460237
408,"Korea, North",0,0,0,0,0
410,"Korea, South",-154695909,-28687372,-122020100,-671086257,-916607490
414,Kuwait,239966273,106272990,195940413,227826518,239304088
417,Kyrgyzstan,8647,760824,3424,46750,594199
418,Laos,16982,-198612,-109461,416052,1101366
422,Lebanon,65436678,56419643,38603169,17109651,29714669
426,Lesotho,222895,-1784328,-3237844,-2441079,-1872824
428,Latvia,513965,1381992,2092288,2266104,2617288
430,Liberia,1556424,1273890,1722919,3323819,2008247
434,Libya,2160579,5201365,761028,152942,1734125
438,Liechtenstein,-56473419,-29915529,-46597222,-63154403,-69559138
440,Lithuania,487609,-5321565,-3812597,-3700908,773426
