Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
World Total,0,0.083571382,0.126953134,0.160524114,0.109482899,0.104734168,0.062249798,-0.190481651,0.217117149,0.074853935,0.012113193
Afghanistan,4,-0.21882305,11.52390898,0.268242776,1.127571819,0.437826196,1.906006703,0.543362613,-0.060704636,-0.540398389,1.868130106
Albania,8,-0.916214402,-0.892720779,-0.47183025,5.629428063,0.718912787,14.3310467,-0.431272564,-0.656096538,-0.493154176,0.258433129
Algeria,12,3.286852701,-0.321400495,-0.450281216,5.591803192,0.380976581,-0.66411213,0.364921026,-0.581238199,-0.439397887,-0.52681301
Andorra,20,0.533808452,-0.001685597,-0.146480108,-0.002072127,0.222037784,777,999,0.175190974,-0.292269682,0.291347375
Angola,24,-0.220880837,5.550682681,-0.443727581,3.711989539,0.028558977,0.590856576,-0.832184588,0.875162645,1.632772778,-0.188729426
Antigua and Barbuda,28,-0.39123514,0.57279074,0.828720816,3.578694493,-0.960355579,2.12002404,0.357767362,-0.524658676,-0.670328304,0.467245065
Azerbaijan,31,-0.68384707,1.480694419,-0.568779256,0.936297367,0.641730883,-0.705385093,7.098996663,-0.909263735,6.348373496,-0.649406725
Argentina,32,0.827720518,0.639322435,0.095708411,0.280224449,0.232824771,0.332039228,-0.461796619,0.33039851,0.284406806,-0.262960308
Australia,36,0.183427041,0.146282415,0.178139293,0.190920782,0.049658636,0.124750193,0.0461623,-0.004012648,0.100713269,0.021090121
Austria,40,0.655789706,0.209214073,0.118264035,0.338956795,0.120798296,0.043589203,-0.173986276,-0.055843282,0.732504081,-0.025403446
Bahamas,44,-0.254155486,2.192613091,-0.62291187,0.876246129,-0.418448869,-0.234308197,0.229691129,0.142777723,0.081607633,-0.031807734
Bahrain,48,0.113757376,1.46567013,-0.479678168,0.985237689,-0.051731059,0.418905815,-0.186000781,-0.168540391,0.219052596,0.411300175
Bangladesh,50,-0.013463064,0.445522672,0.183972693,-0.249085594,22.39033878,0.254388863,-0.950536084,1.60152971,0.752794949,-0.544878092
Armenia,51,1.054157862,2.405788006,-0.099973024,-0.251456384,-0.064541143,1.039338001,-0.429232444,-0.067594356,0.326757477,0.610026062
Barbados,52,-0.185669013,-0.309190396,0.342697267,0.320875325,-0.015824061,0.024038324,0.168359062,-0.13669944,0.239536291,0.072762243
Belgium,56,0.327753692,0.29411121,0.202166073,0.17323085,0.296660526,0.132631269,-0.146199904,0.043782521,0.053835261,0.026691037
Bermuda,60,0.123854449,-0.257641347,1.495508705,0.011591615,-0.208130142,0.28827174,0.077992286,-0.027494767,-0.550262152,-0.243725396
Bhutan,64,777,999,999,999,999,-0.307383294,777,999,999,777
Bolivia,68,0.561412992,3.296070231,-0.360459026,-0.414918927,0.401450503,0.459520767,0.11047508,-0.422084423,1.779404209,-0.653206985
Bosnia and Herzegovina,70,2.078867331,0.541381385,-0.37754418,2.904850945,-0.197689995,-0.363140141,-0.518061141,0.788152907,1.437859193,-0.557039969
Botswana,72,3.691195115,-0.15658017,-0.839683367,-0.099284489,0.81927521,-0.12467883,-0.710111229,12.49573355,0.548750956,-0.917513091
Brazil,76,-0.514202882,0.239029862,0.226093333,0.337802246,0.481679773,0.306585393,-0.204734254,0.211993602,0.08882297,0.103503668
Belize,84,-0.271563264,0.452444166,0.424902546,0.072362064,-0.235002259,-0.712935185,1.572614221,-0.534703326,-0.271808074,0.277314857
British Indian Ocean Territories,86,999,1.832103985,-0.288893477,-0.965756739,2.977608696,-0.245286112,-0.777463973,777,999,999
Solomon Islands,90,999,999,0.778911565,777,999,999,999,999,2.010149486,777
British Virgin Islands,92,11.04938568,-0.380543727,-0.113454535,-0.592703811,3.078541232,0.757115293,-0.223849807,0.848567471,-0.420508445,-0.209183444
Brunei,96,-0.507889173,0.63028376,-0.329678858,0.413706289,0.552142831,0.055392935,-0.211860228,1.449631657,-0.390479398,0.005338981
Bulgaria,100,-0.163086975,0.414999052,0.097712579,1.651753466,-0.474041644,0.370194586,-0.569932348,-0.002746972,0.872433042,0.292968841
Burma,104,-0.391734436,1.70910972,-0.199391917,-0.885964506,-0.810806969,4.597724589,777,999,-0.7137,28.76563046
Burundi,108,999,-0.824084084,-0.666652441,22.47125848,777,999,999,999,-0.841692953,0.43680527
Belarus,112,1.44192972,0.441397495,-0.392154486,0.663038939,0.728034221,-0.39860247,-0.215050967,0.25896337,2.642537136,0.357577154
Cambodia,116,0.512791402,0.131522946,0.13479515,0.013840837,1.040706099,-0.38845114,-0.715455157,4.255626073,-0.307568082,-0.217842799
Cameroon,120,-0.908779976,-0.344930225,1.372089116,0.866755699,-0.427480778,0.332763245,1.03954627,-0.320973724,0.374207821,0.149362112
Canada,124,0.030884174,0.113033138,0.114730086,0.144087501,0.234907718,0.108554684,-0.272590983,0.32024809,0.080505059,0.026908335
Cape Verde,132,999,999,-0.679544109,216.6152425,-0.770500937,-0.777577907,-0.918543005,3.200102093,0.366127856,777
Cayman Islands,136,1.360162835,-0.09483817,0.391716298,-0.445981971,0.034568968,3.16100487,-0.55285662,-0.03609821,-0.421984906,0.067735588
Central African Republic,140,777,999,999,-0.903022976,-0.085608911,7.285615179,-0.801051096,-0.91484947,777,999
Sri Lanka,144,-0.213659106,0.575397927,0.014826735,0.888136788,3.727305903,-0.483182507,-0.542846855,-0.514099302,0.286015672,-0.012370576
Chad,148,777,999,0.808363202,1.086680761,0.608124367,777,999,-0.69469882,60.58640227,-0.577030683
Chile,152,0.586844992,0.241431095,0.240799489,0.679565289,0.580865729,-0.040041998,-0.097310516,0.070921937,-0.320104541,0.224983293
China,156,0.239127937,0.08603444,0.81061757,0.19406648,0.177025723,-0.019848164,0.014570152,0.515659849,0.227557288,0.051522406
Taiwan,158,-0.003782403,0.427122917,0.218336456,0.071175457,-0.027866936,-0.0614733,-0.105653054,0.650644259,0.034269468,0.000919557
Christmas Island,162,999,-0.455600805,777,999,777,999,-0.089819562,0.195903438,1.140934671,2.334257143
Cocos (Keeling) Islands,166,777,999,777,999,999,999,999,777,999,999
Colombia,170,0.071096669,0.551426895,0.215587522,1.2120527,0.378661383,-0.373811798,0.050446583,-0.134133504,0.197364426,0.031610594
Comoros,174,999,999,999,999,777,999,999,999,777,999
Mayotte,175,999,999,999,999,999,999,999,999,0.831661003,1.540365351
Congo (Brazzaville),178,999,-0.564965868,2.05143617,15.42960238,0.57626759,0.342592075,-0.678720006,-0.548037251,3.844479585,-0.817439774
Congo (Kinshasa),180,777,999,999,34.13847926,-0.105707504,2.86708877,-0.178751999,0.225220348,0.045985221,-0.287920429
Cook Islands,184,999,999,999,777,999,1.152665285,3.003456272,0.160577879,0.087532132,0.106097994
Costa Rica,188,0.007317555,0.547486832,0.804595723,0.168038749,-0.03808055,0.248502868,-0.170670408,0.999839455,-0.121301216,0.222446241
Croatia,191,0.049989151,-0.18258289,0.660946194,0.51620363,-0.169225925,0.352754458,-0.165303742,-0.168269464,0.199918303,-0.232293932
Cuba,192,11.85371262,5.033372883,-0.951882845,165.5449855,0.839681388,1.456847607,-0.897989765,-0.795600224,777,999
Cyprus,196,-0.124872034,2.114567897,-0.517195518,0.230899124,0.65191889,0.567317346,-0.454065488,0.547693547,0.229532982,-0.078059628
Czech Republic,203,0.128962915,0.428554878,0.19428768,0.603585908,0.144179886,0.373735699,-0.566383613,0.534267851,-0.117954157,0.139462771
Benin,204,-0.920823018,-0.321663953,9.809653083,0.087235938,-0.41456992,-0.62452704,1.064190348,-0.104014276,1.44905771,-0.370731171
Denmark,208,0.456674911,0.031763214,-0.101511026,0.158292907,0.280037634,0.039324674,-0.387510197,0.155252564,-0.053104936,0.003433829
Dominica,212,-0.709035106,0.062266723,1.362532272,-0.605577792,1.725183206,2.467255817,-0.808199807,1.383581347,-0.695601022,1.863528121
Dominican Republic,214,-0.412289301,1.102774851,0.530571032,-0.099585421,0.366192009,0.871908394,-0.459728051,0.203537309,0.022820196,0.117593633
Ecuador,218,-0.149678229,0.740336522,-0.02701041,0.526065763,0.179075553,0.066603716,0.30186362,0.035958616,0.29152024,0.146002804
El Salvador,222,1.190324266,1.120226237,-0.23176941,1.326742897,-0.408173251,-0.084520003,-0.221026391,-0.06016224,0.526864134,0.260473633
Equatorial Guinea,226,0.26083815,1.824396234,777,999,0.129584782,-0.548346528,2.352515315,32.50609081,-0.982368786,8.973528112
Ethiopia,231,15.0050131,6.591386081,0.775083251,-0.826412461,2.667499466,-0.244769203,-0.728228321,4.627410987,-0.775882873,-0.317666305
Eritrea,232,-0.994000949,565.7785771,-0.645671612,-0.979861324,-0.199525645,6.152222222,0.71328949,777,999,777
Estonia,233,0.284981783,0.114564879,0.265227187,0.267504046,-0.240405217,0.045142633,0.175174742,0.632610719,-0.19190792,0.285028552
Faroe Islands,234,999,999,-0.806100773,59.27081507,777,999,777,999,999,777
Falkland Islands (Islas Malvinas),238,999,999,999,999,999,999,999,999,999,777
Fiji,242,2.56378804,-0.623221591,5.562727413,-0.346540523,3.378351544,-0.415962818,0.156235715,-0.124956878,-0.321588808,1.048441011
Finland,246,0.682798051,-0.045909158,-0.010204138,0.234975981,0.000661639,0.169832868,-0.468634618,0.596112721,0.412860917,0.120302912
France,250,-0.069437548,0.31201857,0.021134472,-0.085246243,-0.148116984,0.217331831,-0.335727694,0.314410687,-0.086287807,0.060792636
French Guiana,254,-0.694096816,0.267322282,777,999,-0.805880007,-0.062518345,-0.400594865,32.67458867,777,999
French Polynesia,258,0.153796287,-0.003156265,-0.077556448,0.089080864,0.673943957,0.240046151,-0.144880819,-0.149143161,-0.193296847,-0.343897884
