id,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,World Total,10398380715,11267387761,12697817946,14736123922,16349477483,18061826408,19186171449,15531557833,18903725389,20318743624,20564868492
4,Afghanistan,63741,49793,623603,790880,1682654,2419364,7030688,10850901,10192201,4684352,13435331
8,Albania,2128731,178357,19134,10106,66997,115162,1765554,1004119,345320,175024,220256
12,Algeria,2291908,9825072,6667289,3665134,24159842,33364176,11206622,15296154,6405445,3590906,1699170
20,Andorra,382922,587329,586339,500452,499415,610304,0,195969,230301,162991,210478
24,Angola,536013,417618,2735683,1521785,7170635,7375421,11733237,1969018,3692229,9720800,7886199
28,Antigua and Barbuda,376937,229466,360902,659989,3021888,119801,373782,507509,241240,79530,116690
31,Azerbaijan,2708357,856255,2124107,915959,1773569,2911723,857837,6947619,630401,4632422,1624096
32,Argentina,14009399,25605266,41975287,45992675,58880947,72589890,96692581,52040274,69234303,88925010,65541262
36,Australia,182005558,215390299,246898112,290880367,346415474,363617994,408979409,427858839,426141992,469060145,478952680
40,Austria,19184159,31764933,38410604,42953197,57512475,64459884,67269639,55565645,52462677,90891802,88582837
44,Bahamas,3104210,2315258,7391723,2787331,5229719,3041349,2328736,2863626,3272488,3539548,3426963
48,Bahrain,909752,1013243,2498323,1299932,2580674,2447173,3472308,2826456,2350084,2864876,4043200
50,Bangladesh,530637,523493,756721,895937,672772,15736365,19739521,976394,2540118,4452306,2026342
51,Armenia,150486,309122,1052804,947552,709284,663506,1353113,772313,720109,955410,1538235
52,Barbados,2347026,1911256,1320314,1772782,2341624,2304570,2359968,2757290,2380370,2950555,3165244
56,Belgium,186377989,247464063,320246018,384988898,451680852,585676731,663355779,566373228,591170476,622996293,639624710
60,Bermuda,2163806,2431803,1805270,4505067,4557288,3608779,4649088,5011681,4873886,2191971,1657732
64,Bhutan,3277,0,0,0,0,7219,5000,0,0,43176,0
68,Bolivia,1121139,1750561,7520533,4809689,2814058,3943763,5756004,6391899,3693978,10267058,3560544
70,Bosnia and Herzegovina,28605,88071,135751,84499,329956,264727,168594,81252,145291,354199,156896
72,Botswana,133301,625341,527425,84555,76160,138556,121281,35158,474483,734856,60616
76,Brazil,154101466,74862048,92756313,113727897,152145436,225430815,294544610,234241239,283898883,309115625,341110226
84,Belize,932280,679107,986365,1405474,1507177,1152987,330982,851489,396195,288506,368513
86,British Indian Ocean Territories,0,66702,188907,134333,4600,18297,13809,3073,0,0,0
90,Solomon Islands,0,0,2940,5230,0,0,0,0,30839,92830,0
92,British Virgin Islands,29138,351095,217488,192813,78532,320296,562797,436815,807482,467929,370046
96,Brunei,929882,457605,746026,500077,706962,1097306,1158089,912736,2235867,1362807,1370083
100,Bulgaria,1449147,1212810,1716125,1883812,4995405,2627375,3600015,1548250,1543997,2891031,3738013
104,Burma,327334,199106,539400,431848,49246,9317,52154,0,20000,5726,170438
108,Burundi,0,133200,23432,7811,183334,0,0,0,76718,12145,17450
112,Belarus,248492,606800,874640,531646,884148,1527838,918838,721241,908016,3307482,4490162
116,Cambodia,262481,397079,449304,509868,516925,1054892,645118,183565,964749,668023,522499
120,Cameroon,2091942,190827,125005,296523,553536,316910,422366,861435,584937,803825,923886
124,Canada,2822068428,2909225679,3238064588,3609568018,4129661652,5099751047,5653352908,4112299882,5429256063,5866338641,6024192044
132,Cape Verde,0,0,13512,4330,942274,216251,48099,3918,16456,22481,0
136,Cayman Islands,593240,1400143,1267356,1763800,977177,1010957,4206597,1880952,1813053,1047972,1118957
140,Central African Republic,9932,0,0,698980,67785,61982,513559,102172,8700,0,0
144,Sri Lanka,1571157,1235465,1946349,1975207,3729461,17630303,9111649,4165419,2023980,2602870,2570671
148,Chad,78050,0,8370,15136,31584,50791,0,19656,6001,369580,156321
152,Chile,20874940,33125294,41122770,51025112,85700007,135480204,130055306,117399557,125725761,85480374,104712030
156,China,304553888,377381231,409849014,742079826,886092646,1042953837,1022253118,1037147501,1571962825,1929674423,2029095893
158,Taiwan,189095119,188379885,268841251,327539097,350851842,341074676,320107690,286287335,472558546,488752876,489202312
162,Christmas Island,0,85452,46520,0,18140,0,15019,13670,16348,35000,116699
166,Cocos (Keeling) Islands,35080,0,3120,0,0,0,0,238612,0,0,0
170,Colombia,19261226,20630635,32006922,38907215,86064810,118654230,74299879,78048054,67579195,80916924,83474756
174,Comoros,0,0,0,0,7295,0,0,0,13752,0,0
175,Mayotte,0,0,0,0,0,0,0,0,25015,45819,116397
178,Congo (Brazzaville),0,43215,18800,57367,942517,1485659,1994634,640836,289634,1403126,256155
180,Congo (Kinshasa),3245,0,0,8680,305002,272761,1054791,866245,1061341,1110147,790513
184,Cook Islands,0,0,0,16384,0,10618,22857,91507,106201,115497,127751
188,Costa Rica,9046601,9112800,14101938,25448297,29724597,28592668,35698028,29605431,59206109,52024336,63596954
191,Croatia,1212143,1272737,1040357,1727977,2619965,2176599,2944404,2457683,2044130,2452789,1883021
192,Cuba,18491,237678,1434000,69000,11491604,21140890,51939945,5298406,1082993,0,0
196,Cyprus,904534,791583,2465439,1190325,1465170,2420342,3793444,2070972,3205230,3940936,3633308
203,Czech Republic,9564835,10798344,15426027,18423114,29543046,33802559,46435782,20135316,30892968,27249014,31049237
204,Benin,651553,51588,34994,378273,411272,240771,90403,186609,167199,409480,257673
208,Denmark,57912483,84359661,87039195,78203757,90582857,115949466,120509141,73810620,85269908,80741655,81018908
212,Dominica,211785,61622,65459,154649,60997,166228,576355,110545,263493,80207,229675
214,Dominican Republic,13168365,7739189,16273772,24908164,22427674,30640509,57356226,30987960,37295166,38146249,42632005
218,Ecuador,4998743,4250540,7397370,7197564,10983956,12950914,13813493,17983284,18629938,24060942,27573907
222,El Salvador,2006008,4393808,9315867,7156734,16651880,9855028,9022081,7027963,6605145,10085159,12712077
226,Equatorial Guinea,19376,24430,69000,0,73913,83491,37709,126420,4235840,74683,744853
231,Ethiopia,70615,1130194,8579739,15229751,2643695,9695750,7322529,1990056,11198863,2509857,1712560
232,Eritrea,417066,2502,1418080,502466,10119,8100,57933,99256,0,40000,0
233,Estonia,886004,1138499,1268931,1605486,2034960,1545745,1615524,1898523,3099549,2504721,3218638
234,Faroe Islands,0,0,35307,6846,412614,0,100000,0,0,34259,0
238,Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,4389,0
242,Fiji,38479,137131,51668,339083,221577,970142,566599,655122,573260,388906,796651
246,Finland,42138108,70909926,67654511,66964155,82699123,82753840,96808162,51440506,82104846,116002728,129958194
250,France,352412300,327941654,430265540,439358975,401905273,342376276,416785539,276859091,363906548,332505850,352719757
254,French Guiana,58172,17795,22552,0,35102,6814,6388,3829,128940,0,62786
258,French Polynesia,334735,386216,384997,355138,386774,647438,802853,686535,584143,471230,309175
