id,Country,2008,2009,2010,2011,2012
0,World Total,-13889815199,-5666747744,-7448445256,-12814716350,-12333857446
4,Afghanistan,7020983,10831983,10192201,4684352,13435331
8,Albania,1762568,984154,345320,171632,211302
12,Algeria,11206622,15296154,6399650,3590906,1686429
20,Andorra,-5674,195969,230301,146061,209058
24,Angola,11733237,1969018,3692229,9720800,7886199
28,Antigua and Barbuda,373782,507509,241240,56496,94781
31,Azerbaijan,857837,6947619,627437,4629897,1615637
32,Argentina,80469713,23765851,49023596,56299389,4457044
36,Australia,328264219,371168653,379773500,420463123,423284158
40,Austria,-50103135,-31438792,-22057141,-8849580,-25262585
44,Bahamas,1905281,2710149,3247594,3458788,3195506
48,Bahrain,-64201099,-22394053,-27317732,-89156515,-20358760
50,Bangladesh,17499160,-250229,-5570484,2818918,-1121215
51,Armenia,1315851,772313,720109,955410,1537750
52,Barbados,981203,1511004,330104,525209,609762
56,Belgium,626100721,479709292,500337784,556662129,576361755
60,Bermuda,4592238,4884290,4850786,2185971,1627859
64,Bhutan,5000,0,-3455,-157824,0
68,Bolivia,5532759,6092636,3559639,10158651,3552723
70,Bosnia and Herzegovina,164594,80299,129032,352013,156896
72,Botswana,118782,35158,474483,729262,60107
76,Brazil,-58728026,109525943,82866534,44580878,-11664113
84,Belize,327982,847706,396195,288210,368513
86,British Indian Ocean Territories,13809,3073,0,0,0
90,Solomon Islands,0,0,30839,92830,-33219
92,British Virgin Islands,542797,433327,795797,467929,370046
96,Brunei,-2288977,-1034878,-233104,802740,1370083
100,Bulgaria,1466013,164884,-71891,1467228,1264177
104,Burma,52154,0,20000,5726,170438
108,Burundi,-143083,-549694,-7485,-737494,-623453
112,Belarus,583448,636006,845512,3257286,4426233
116,Cambodia,-5406281,-6288292,-774125,-2778947,-1043602
120,Cameroon,190998,854000,542331,718193,897752
124,Canada,-9170378397,-1379362831,-2989880719,-7245390620,-7241346451
132,Cape Verde,48099,3918,16456,22481,0
136,Cayman Islands,4077908,1650276,1569313,1043772,1105957
140,Central African Republic,477859,102172,8700,0,0
144,Sri Lanka,7170878,3314304,507805,778996,138718
148,Chad,0,19656,-2455,369580,153637
152,Chile,109241007,97327561,110303227,65737531,59979262
156,China,-7818718495,-8136216513,-8389285093,-7700025661,-8286426890
158,Taiwan,-173361182,-127698337,-13184231,-47728827,-121479275
162,Christmas Island,15019,13670,16348,31750,116699
166,Cocos (Keeling) Islands,0,238612,0,0,0
170,Colombia,70983705,73481279,62795989,75793339,69094947
174,Comoros,0,0,13752,0,0
175,Mayotte,0,0,25015,45819,116397
178,Congo (Brazzaville),1922066,634340,289094,1401102,256155
180,Congo (Kinshasa),1001797,866245,746305,1069839,677690
184,Cook Islands,-143199,74189,69179,106781,123888
188,Costa Rica,19214469,21722872,49882410,-2980156,-1297733
191,Croatia,2865465,2281058,1816797,2101762,1706677
192,Cuba,51939945,5298406,1082993,0,0
196,Cyprus,3668422,1970364,3162334,3815288,3241533
203,Czech Republic,11929331,-2247011,-6961499,-26849221,-20087942
204,Benin,90403,186609,167199,409480,257673
208,Denmark,52802507,-13169072,19939383,-130958227,-6063787
212,Dominica,553664,11172,254493,67351,227344
214,Dominican Republic,50182732,23907552,4312032,-26270288,-5710763
218,Ecuador,12394956,16718840,17868094,23458178,27059814
222,El Salvador,7623404,5809101,5531055,7451242,10406608
226,Equatorial Guinea,37709,126420,4235840,72643,744853
231,Ethiopia,-436793,-4179912,6401871,608386,-46297396
232,Eritrea,57933,99256,0,40000,0
233,Estonia,-22206051,-20621212,-22438172,-18619882,-20848062
234,Faroe Islands,100000,0,0,34259,0
238,Falkland Islands (Islas Malvinas),-21200,0,0,4389,0
242,Fiji,424925,632312,507523,355079,431020
246,Finland,45253568,13467271,55874145,95654684,79080497
250,France,118240514,-5765156,73730068,-62413237,154862905
254,French Guiana,1856,3829,128940,0,62786
258,French Polynesia,752968,665384,568447,460399,309175
260,French Southern and Antarctic Lands,0,0,38902,2748,3522
262,Djibouti,1993017,5032551,315354,414388,116250
266,Gabon,406620,313336,348366,349077,1145010
268,Georgia,5649628,1190798,3093108,948212,821666
270,Gambia,8000,-492817,116300,128700,301830
276,Germany,-117919695,60558906,-61756668,-232588196,-123153613
288,Ghana,5926850,3394348,5589263,6117794,9408198
292,Gibraltar,16697,264632,67981,3170,19303
296,Kiribati,45015,20404,80132,56412,35600
300,Greece,12380088,8959398,3679803,3989817,682044
304,Greenland,1083957,972473,634603,687396,915652
308,Grenada,200625,54851,85954,161164,205312
312,Guadeloupe,267915,53213,52546,97661,55479
320,Guatemala,3235299,11678368,6790038,10452798,13776180
324,Guinea,685115,381850,242228,2089040,404860
328,Guyana,733041,948411,1445564,1133455,1438117
332,Haiti,1589061,4108137,4513437,1830006,1771550
334,Heard and McDonald Islands,0,0,0,0,0
336,Vatican City,-11000,0,-7637,0,0
340,Honduras,6751029,6004103,2170709,6714353,15988951
344,Hong Kong,252769724,279726481,352045477,346535332,418320446
348,Hungary,13821714,20054275,36386697,39230263,13088029
352,Iceland,6206765,2957683,2184061,696602,1585193
356,India,53311218,61475354,111463887,-2371596,-2326458
360,Indonesia,11132614,3935676,28173329,40767504,28863970
364,Iran,87446,22674,390145,1752429,1626893
368,Iraq,3076200,4380971,1421292,4372045,3317244
372,Ireland,-106510354,343954806,-315387021,-620903894,-577810030
376,Israel,23608202,48204943,22762126,-100408626,-42005625
380,Italy,-171412357,-69108688,-50730012,-68338033,-140735369
384,Cote d'Ivoire,2128796,331270,795814,89414,418867
388,Jamaica,15339478,8785760,9480520,8169966,9315633
392,Japan,265602342,430953558,631149034,803122470,675319196
398,Kazakhstan,21994355,6227222,4578741,3830182,4624437
400,Jordan,6572285,16291606,16258309,6532781,5447814
404,Kenya,1362390,1163540,2073711,1393894,929473
408,"Korea, North",0,46047,7000,0,0
410,"Korea, South",388368677,425494900,438081422,511194217,531192943
414,Kuwait,-196095005,-27502674,-76561575,-77350012,-25029008
417,Kyrgyzstan,984938,1907761,662823,1108745,2744612
418,Laos,202548,328048,-9598,327708,281909
422,Lebanon,7038750,8363127,14050286,8814921,8174665
426,Lesotho,0,23900,-68773,-122495,-363817
