id,name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,World Total,6786748197,7238314625,9021330675,10513779116,12781364768,13483588154,12852324415,9522229617,12925559774,14153831541,13909535627
4,Afghanistan,1047890,1040635,972754,1033419,704724,2845692,8614040,28237306,11374344,12204765,2087270
8,Albania,560263,7622,0,0,0,95023,223906,543155,41750,282029,186516
12,Algeria,381334,607738,957717,1914018,2345523,3368212,177235,3115197,4978909,841651,971206
20,Andorra,27405,33693,12000,30319,0,0,58316,63500,11710,0,3494
24,Angola,218168,310649,691614,975790,477327,230299,2379895,1339364,904463,1691465,1089163
28,Antigua and Barbuda,411392,210925,244213,330923,280919,338559,562117,663510,253065,306806,154310
31,Azerbaijan,287366,300864,86270,107171,646978,238182,1459748,234882,68675,546505,257442
32,Argentina,8984383,21535546,53173290,50020279,41734275,94131771,101689428,61517363,237423264,223014119,91801426
36,Australia,126056959,137122423,188456451,223902296,267721412,206274414,192047876,159978987,290269533,268577620,273277721
40,Austria,20683257,20277905,21191243,24709310,22567531,33984123,36480623,30912191,39063991,45456379,151174214
44,Bahamas,2010253,2143012,1887386,1659371,2458910,3051675,2896404,1984034,2129732,3047945,2933426
48,Bahrain,1733263,1483911,727975,1714366,1568194,1195143,5020001,6066929,7944371,7465638,12192583
50,Bangladesh,7180939,613202,1873399,6947375,1841221,7472536,2055345,2918983,4091132,10397634,3205367
51,Armenia,17615,15201,5067,77848,42022,19617,6273,5056140,8630155,1062689,110041
52,Barbados,813175,782730,793473,1189648,1915865,1303791,2252337,1056880,1706914,1197811,1468373
56,Belgium,122236530,170276847,245886692,292389696,371920281,423836021,333055563,232186281,475666610,544454732,393529088
60,Bermuda,1180609,952253,1620189,2618989,1920390,3073057,3195604,2221770,2230727,1899217,2219773
64,Bhutan,0,0,0,0,0,0,16000,0,31130,77043,31559
68,Bolivia,713361,1849980,1550422,2251267,4714139,2552860,2775512,1775301,2825880,4173358,4576789
70,Bosnia and Herzegovina,173759,33373,10000,16020,416432,570137,137110,116243,14529,382444,309690
72,Botswana,42069,194944,86422,221469,71144,255334,66953,62683,91504,64535,30016
76,Brazil,64582128,111310689,141552740,153278868,137499578,222243733,256241427,262117570,328824370,322832450,319162420
84,Belize,210576,371171,543040,303027,239479,652613,654983,1020195,465789,782737,439917
86,British Indian Ocean Territories,0,0,0,0,0,0,0,0,0,0,3133
90,Solomon Islands,3854,0,0,20500,16095,7650,0,0,0,3582,0
92,British Virgin Islands,185181,105253,6658,104335,293519,413806,655041,165371,588938,360228,697340
96,Brunei,255302,551094,87143,95952,376461,66927,76571,53875,382491,3309974,278171
100,Bulgaria,1760066,1560410,2009892,2410377,3733611,1715496,1194263,1307386,1125341,1186620,1193813
104,Burma,10998,25932,29776,189213,49395,16425,55299,0,0,0,226098
108,Burundi,6110,0,0,31457,103600,212099,20000,0,0,0,0
112,Belarus,11927,319759,10172,46882,599749,241348,701562,20289442,1422391,1599913,2735342
116,Cambodia,85638,0,173932,3630,53973,205331,170410,65601,372588,224258,390739
120,Cameroon,41002,94926,42603,85321,54499,255636,186204,298881,540685,318520,17822
124,Canada,3122345470,3088667378,3982326658,4258431855,4842395024,5030943637,4331262013,3240268168,3996219040,4282245918,4136444653
132,Cape Verde,0,0,0,29000,0,0,0,0,0,18800,75264
136,Cayman Islands,440277,1220044,806803,966956,1063853,580105,1077436,357696,1203853,814567,1061460
140,Central African Republic,0,2760,18804,68449,10000,911827,711873,4200,0,0,0
144,Sri Lanka,684946,856675,2122053,1131113,1520497,4548329,1664147,1840986,4064451,2517052,3255752
148,Chad,23530,6002,4739,432523,322603,200232,0,46831,17300,0,0
152,Chile,17394700,19656480,22275356,35494217,46145789,66045433,37667613,46229180,50222655,45985503,56357487
156,China,128982242,259695263,366017275,521249945,761503464,1015604808,944414496,688178778,987394979,1160751515,1144781723
158,Taiwan,111706962,110757829,122701647,116662128,118950624,114808905,94218175,69390262,80157013,113360928,98955369
162,Christmas Island,0,0,13498,0,0,0,0,0,341044,0,0
166,Cocos (Keeling) Islands,197311,87944,40985,0,0,0,0,0,0,0,0
170,Colombia,13942311,16156857,32802722,34577520,35189054,69772752,177419418,63125393,60697057,75597495,62703104
174,Comoros,0,46782,0,0,0,0,0,236133,0,0,0
175,Mayotte,0,0,0,0,0,0,0,12085,60792,0,0
178,Congo (Brazzaville),46593,287305,77248,44941,1376058,169293,166546,479355,471032,1795602,129683
180,Congo (Kinshasa),36380,65754,39117,1108910,323434,96538,516674,2321867,290353,1227161,663326
184,Cook Islands,0,0,0,0,0,0,3015,0,0,0,0
188,Costa Rica,27157606,18533031,24386939,25713917,15746609,11346904,27146635,14291644,17405698,21607274,16020059
