id,Country,2008,2009,2010,2011,2012
0,World Total,13728010789,11403496534,12841675228,15698414069,16124749871
4,Afghanistan,387,0,40153,0,0
8,Albania,3450,0,0,30352,21219
12,Algeria,687654,0,250000,45025821,0
20,Andorra,0,0,0,252602,2572
24,Angola,0,0,0,0,2500
28,Antigua and Barbuda,0,30083,5628,19184,0
31,Azerbaijan,0,2738,31101,102259,146844
32,Argentina,40333641,38971975,37685174,60280132,67729347
36,Australia,103047607,89445480,79605045,80654419,89470045
40,Austria,47610868,32327460,40117680,23510672,19704829
44,Bahamas,415980,213517,609969,78851,3454
48,Bahrain,1281486,1163009,1536713,18293138,4787165
50,Bangladesh,13419143,21783498,31235324,47013300,43577262
51,Armenia,25793,21409,0,8925,37279
52,Barbados,8390,166103,302216,0,41250
56,Belgium,215248250,192666076,248693986,279289266,301783751
60,Bermuda,4480,2017,12000,0,5590
64,Bhutan,0,0,0,0,0
68,Bolivia,1074488,2036864,2107911,1452798,1322431
70,Bosnia and Herzegovina,95948,22818,840,35757,33004
72,Botswana,0,1067,0,0,10490
76,Brazil,104225416,93133573,78602925,97789935,136314470
84,Belize,0,99743,407782,30926,4732
86,British Indian Ocean Territories,0,0,0,0,0
90,Solomon Islands,0,0,0,0,0
92,British Virgin Islands,0,5280,4991,0,1305217
96,Brunei,0,0,0,0,0
100,Bulgaria,399549,607867,4268347,6513176,21844220
104,Burma,0,0,0,0,0
108,Burundi,0,0,0,0,0
112,Belarus,52224,55630,33935,103291,35040
116,Cambodia,4383375,390757,1232818,2290732,4611858
120,Cameroon,89655,150342,94410,9057,291245
124,Canada,2836636662,2167110195,2207943285,3251160874,2825636738
132,Cape Verde,2099,0,0,277,0
136,Cayman Islands,46450,0,17286,20546,14707
140,Central African Republic,451899,3800,0,0,0
144,Sri Lanka,5852004,4073622,6202947,4772761,6472804
148,Chad,0,0,0,0,0
152,Chile,45411633,62805982,114164408,177241304,218088575
156,China,3299469826,2618748061,3108401832,3487005320,4087808539
158,Taiwan,321107101,225834105,286443832,319770005,341731188
162,Christmas Island,0,0,0,10549,0
166,Cocos (Keeling) Islands,0,0,0,86198,0
170,Colombia,25050754,12703155,21068754,24142471,28103690
174,Comoros,0,0,264370,0,0
175,Mayotte,0,0,0,0,0
178,Congo (Brazzaville),3275,7107,0,0,4800
180,Congo (Kinshasa),6550,0,9734,0,0
184,Cook Islands,0,0,12229,0,161750
188,Costa Rica,21117719,18452490,17411382,18887050,21251641
191,Croatia,369353,324413,674760,439069,343353
192,Cuba,0,5500,0,0,0
196,Cyprus,0,15936,3077,0,5800
203,Czech Republic,19770442,11093715,26099884,45506545,33242761
204,Benin,0,0,7224,0,0
208,Denmark,57951761,44138107,32936947,55199226,58526542
212,Dominica,0,0,0,0,0
214,Dominican Republic,29612415,24906518,27087642,28170424,38331825
218,Ecuador,754144,354783,481285,227854,530049
222,El Salvador,936735,458240,483533,1149039,7799964
226,Equatorial Guinea,0,0,0,0,0
231,Ethiopia,1921,91773,710389,928100,1554233
232,Eritrea,0,0,0,0,0
233,Estonia,404764,523404,1414626,2863252,1971319
234,Faroe Islands,0,0,6000,0,0
238,Falkland Islands (Islas Malvinas),0,0,0,0,0
242,Fiji,7717,7198,0,0,0
246,Finland,47084176,43783160,47131849,67503114,97013800
250,France,295872111,215300297,305164541,338942136,379373352
