id,Country,2008,2009,2010,2011,2012
0,World Total,-875681416,-1881366909,83845459,-1544602086,-2215214244
4,Afghanistan,8613653,28237306,11334191,12204765,2087270
8,Albania,220456,543155,41750,251677,165297
12,Algeria,-510419,3115197,4728909,-44184170,971206
20,Andorra,58316,63500,11710,-252602,922
24,Angola,2379895,1339364,904463,1691465,1086663
28,Antigua and Barbuda,562117,633427,247437,287622,154310
31,Azerbaijan,1459748,232144,37574,444246,110598
32,Argentina,61355787,22545388,199738090,162733987,24072079
36,Australia,89000269,70533507,210664488,187923201,183807676
40,Austria,-11130245,-1415269,-1053689,21945707,131469385
44,Bahamas,2480424,1770517,1519763,2969094,2929972
48,Bahrain,3738515,4903920,6407658,-10827500,7405418
50,Bangladesh,-11363798,-18864515,-27144192,-36615666,-40371895
51,Armenia,-19520,5034731,8630155,1053764,72762
52,Barbados,2243947,890777,1404698,1197811,1427123
56,Belgium,117807313,39520205,226972624,265165466,91745337
60,Bermuda,3191124,2219753,2218727,1899217,2214183
64,Bhutan,16000,0,31130,77043,31559
68,Bolivia,1701024,-261563,717969,2720560,3254358
70,Bosnia and Herzegovina,41162,93425,13689,346687,276686
72,Botswana,66953,61616,91504,64535,19526
76,Brazil,152016011,168983997,250221445,225042515,182847950
84,Belize,654983,920452,58007,751811,435185
86,British Indian Ocean Territories,0,0,0,0,3133
90,Solomon Islands,0,0,0,3582,0
92,British Virgin Islands,655041,160091,583947,360228,-607877
96,Brunei,76571,53875,382491,3309974,278171
100,Bulgaria,794714,699519,-3143006,-5326556,-20650407
104,Burma,55299,0,0,0,226098
108,Burundi,20000,0,0,0,0
112,Belarus,649338,20233812,1388456,1496622,2700302
116,Cambodia,-4212965,-325156,-860230,-2066474,-4221119
120,Cameroon,96549,148539,446275,309463,-273423
124,Canada,1494625351,1073157973,1788275755,1031085044,1310807915
132,Cape Verde,-2099,0,0,18523,75264
136,Cayman Islands,1030986,357696,1186567,794021,1046753
140,Central African Republic,259974,400,0,0,0
144,Sri Lanka,-4187857,-2232636,-2138496,-2255709,-3217052
148,Chad,0,46831,17300,0,0
152,Chile,-7744020,-16576802,-63941753,-131255801,-161731088
156,China,-2355055330,-1930569283,-2121006853,-2326253805,-2943026816
158,Taiwan,-226888926,-156443843,-206286819,-206409077,-242775819
162,Christmas Island,0,0,341044,-10549,0
166,Cocos (Keeling) Islands,0,0,0,-86198,0
170,Colombia,152368664,50422238,39628303,51455024,34599414
174,Comoros,0,236133,-264370,0,0
175,Mayotte,0,12085,60792,0,0
178,Congo (Brazzaville),163271,472248,471032,1795602,124883
180,Congo (Kinshasa),510124,2321867,280619,1227161,663326
184,Cook Islands,3015,0,-12229,0,-161750
188,Costa Rica,6028916,-4160846,-5684,2720224,-5231582
191,Croatia,10447931,6034922,1323638,11433838,1821843
192,Cuba,8997477,1841170,22422,0,80966
196,Cyprus,822697,961627,743848,554580,864152
203,Czech Republic,-1593327,-1984688,-15167940,-37928076,-20916482
204,Benin,7009824,3913022,1107998,2665596,524092
208,Denmark,-23074942,-18264088,-6442456,-27583409,-38425574
212,Dominica,139322,173944,374770,129442,18238
214,Dominican Republic,-13905207,-14305450,-9189319,-5994125,-19406694
218,Ecuador,16393280,20809175,17951791,32432207,21074075
222,El Salvador,7903321,6926639,8617724,12241600,4017355
226,Equatorial Guinea,60000,173295,695693,197184,37565
231,Ethiopia,6257768,2929562,1611324,-281734,4816810
232,Eritrea,18613,2760,0,3575,0
233,Estonia,1659715,678101,1175828,-305944,1438890
234,Faroe Islands,0,0,-6000,0,0
238,Falkland Islands (Islas Malvinas),0,3267,0,3010,0
242,Fiji,651436,259120,396899,300332,154651
246,Finland,-31837994,-31081087,-31408363,-51473078,-88116595
250,France,-146535456,-62525491,-129279655,-153031131,-154499099
254,French Guiana,206246,121213,147502,79882,91947
258,French Polynesia,51393,28248,303139,110382,175083
260,French Southern and Antarctic Lands,0,0,0,0,0
262,Djibouti,4317795,894159,94056,5399,24723
266,Gabon,47916,105172,30470,1180156,60275
268,Georgia,1541923,-243413,-283697,9800689,2493698
270,Gambia,20953,35797,40667,10000,40811
276,Germany,-639361194,-567000064,-503342786,-639100512,-765699972
288,Ghana,3270836,3259627,10167201,11957410,12034755
292,Gibraltar,2612,0,80824,5816,-115241
296,Kiribati,0,41207,0,0,2612
300,Greece,25086385,4444725,4470761,9456344,7288696
304,Greenland,10500,0,0,0,0
308,Grenada,157536,242875,149877,164379,140190
312,Guadeloupe,8923,152182,197694,118737,23344
320,Guatemala,12961113,13249420,20480676,19683916,17485702
324,Guinea,111,85934,20804,7312,13234
328,Guyana,3695275,268965,534276,482403,627978
332,Haiti,722420,8699114,22664820,14235324,14794859
334,Heard and McDonald Islands,0,0,0,0,0
336,Vatican City,0,-4786,0,0,15000
340,Honduras,9437070,6267198,10653819,6379108,5676489
344,Hong Kong,86503712,78930502,104763721,106524316,129256073
348,Hungary,10230006,1875782,6324780,-3768745,2313099
352,Iceland,429911,774739,775465,672575,132668
356,India,-164212969,-207249432,-192833210,-167689764,-219840770
360,Indonesia,-20921158,1455187,28826435,-3337950,83522918
364,Iran,106732,70760,332669,693810,775836
368,Iraq,6641917,9474785,3033301,1891521,7425316
372,Ireland,15171618,-33997774,-55594309,-128359123,-36690308
376,Israel,-47791385,-103365976,-133113102,-129405061,-241346623
380,Italy,-140734459,-51278846,-46672400,-55110832,-24930556
384,Cote d'Ivoire,308127,180493,1951090,3549074,5582185
388,Jamaica,12528959,2641169,6817021,5440698,5501161
392,Japan,306727227,264895762,318615534,268416141,300663278
398,Kazakhstan,3600208,1693962,757591,302217,-455248
400,Jordan,5628898,6608034,5442968,16424546,12205097
404,Kenya,5726628,3861116,4195225,2639395,1472337
408,"Korea, North",0,0,0,0,0
410,"Korea, South",780266817,41959185,461744578,301159819,510218573
414,Kuwait,11096608,30632277,29714421,105220322,62447083
417,Kyrgyzstan,124690,29202,2943,1292826,0
418,Laos,-2790909,-399789,-5988244,-8513450,-4119776
422,Lebanon,6474945,5972869,14275534,3846948,4155286
426,Lesotho,-1633804,-1628587,-1667785,-419452,4132
428,Latvia,70887,-10309,971351,-7060493,2505923
430,Liberia,824017,10934,320822,245549,220117
434,Libya,146453,1710880,1930712,30981,2418587
438,Liechtenstein,98513,71409,749081,79366,-92421
440,Lithuania,1512319,1386978,1707051,3909802,4608721
442,Luxembourg,-3661777,3784574,904196,651821,-1071136
446,Macau,-2444118,-486276,-193354,-434966,-160474
450,Madagascar,-1795408,241392,-1909158,-2393149,-3630539
454,Malawi,378260,21703,-12349,4747,100268
458,Malaysia,-33408799,-17186702,-6972372,60326735,11720755
462,Maldives,72847,28500,24850,649327,386204
466,Mali,-15850,243942,11058,-733,636450
470,Malta,-7137579,-8494629,-6292325,-4469301,-2505754
474,Martinique,304514,177182,323752,321102,434405
478,Mauritania,2342735,1817783,231145,220144,159521
480,Mauritius,75812,110028,206858,225834,227142
484,Mexico,-763043494,-946779333,-1237043474,-1062800229,-807610926
492,Monaco,31000,-2995,17726,-52325,4970
496,Mongolia,255756,175318,551040,1344318,6171677
498,Moldova,91620,205542,53696,33551,189531
499,Montenegro,17820,-60932,7636,-40090,-87447
500,Montserrat,371,0,13912,0,0
504,Morocco,8011885,6859226,8634682,4944993,21229861
508,Mozambique,80468,159799,193730,87114,239434
512,Oman,12247323,7515055,8936030,7731217,6311132
516,Namibia,305166,352356,541168,763918,298836
520,Nauru,0,0,0,0,0
524,Nepal,1713218,54325,453431,-49092,62018
528,Netherlands,172843032,55499166,108593175,248212224,186189579
528,Netherlands Antilles,2589532,2123860,790931,2019651,0
531,Curacao,0,0,0,374790,663590
533,Aruba,1077256,699924,296666,450822,455386
534,Sint Maarten,0,0,0,335004,707615
540,New Caledonia,80000,67058,146009,663748,768793
548,Vanuatu,0,43081,24500,37777,113383
554,New Zealand,6141770,-2601008,4004327,-1331358,2233866
558,Nicaragua,3338708,2171351,2933439,1179033,3300424
562,Niger,127132,20513,-3933,5984,35204
566,Nigeria,5054206,14025566,9278001,25529339,10482745
570,Niue,0,0,0,0,0
574,Norfolk Island,0,0,0,0,-19438
578,Norway,1708862,-4386316,5572657,7473684,651324
583,Micronesia,39157,328100,79003,56517,129250
584,Marshall Islands,10300,0,15000,77978,72103
585,Palau,4500,2520,0,3499,0
586,Pakistan,-16262546,-1124370,-7309920,-23686322,-19953307
591,Panama,15644767,30281851,24858459,23949905,28710083
598,Papua New Guinea,-6534,628828,880350,991809,1828790
600,Paraguay,716602,1294720,1274680,1524830,1067118
604,Peru,-36410989,-2033698,4992645,-8076398,303633
608,Philippines,-33028381,-19601543,-44357085,-50723566,-45129125
612,Pitcairn Islands,0,0,0,0,0
616,Poland,1142719,-2566169,16028989,-1434799,-6924187
620,Portugal,3054933,-21083590,13200550,656724,5805115
624,Guinea-Bissau,0,0,95250,0,0
626,Timor-Leste,0,0,0,0,0
634,Qatar,5764434,9655891,14401779,28694110,29219249
638,Reunion,0,0,0,3749,46830
642,Romania,4778035,9200335,31469633,78499364,18712226
643,Russia,32514642,10472352,42205784,79832633,93375119
646,Rwanda,-432815,-548749,2761,213411,402500
654,St Helena,0,537009,0,0,0
659,St Kitts and Nevis,352710,164020,856102,361540,98327
660,Anguilla,240970,13731,13225,93005,52187
662,St Lucia,197686,763616,4298818,1741956,189271
666,St Pierre and Miquelon,0,0,0,0,0
670,St Vincent and the Grenadines,73758,66215,78097,26277,77676
674,San Marino,-109074,0,3057,0,0
678,Sao Tome and Principe,0,0,0,0,0
682,Saudi Arabia,89869354,63097742,139212063,227474208,280517165
