id,Country,2008,2009,2010,2011,2012
0,World Total,59310604788,42912227283,52987281346,59777228588,63516807093
4,Afghanistan,50970,291821,70706,10494,8006280
8,Albania,4308,29036,70972,27283,281160
12,Algeria,229400882,223113758,681832827,60183,49842390
20,Andorra,0,0,0,0,0
24,Angola,907001131,277745181,68466414,2622,2450
28,Antigua and Barbuda,333378,218276,372944,378308,328533
31,Azerbaijan,0,19000,0,13015,25807
32,Argentina,85715881,61897583,59334743,56120309,58578765
36,Australia,85934440,62774952,95294958,211013380,143867841
40,Austria,260903966,162381735,296739428,448338310,302141783
44,Bahamas,190552,108569,190588,453224,177072
48,Bahrain,1551534,4912611,6206817,6163159,6484653
50,Bangladesh,51791153,51880710,77783740,104681789,110747151
51,Armenia,422257,286795,342380,39910,55405
52,Barbados,118571,4000,804408,1032270,179892
56,Belgium,258784710,155072277,190291929,173371879,243036056
60,Bermuda,98564,66558,40500,37630,117525
64,Bhutan,2054,0,0,11950,13189
68,Bolivia,291700,1552963,1679354,1644897,2144001
70,Bosnia and Herzegovina,1659533,39570,45821,159135,76368
72,Botswana,0,0,0,34784,3439629
76,Brazil,482585277,208675019,415722996,580959134,590960177
84,Belize,0,2500,5395,3616,20104
86,British Indian Ocean Territories,68868,0,0,0,4254
90,Solomon Islands,0,0,9792,0,0
92,British Virgin Islands,35764,39496,0,46977,116316
96,Brunei,12421,4178,20421,5988,0
100,Bulgaria,5250853,4757427,8058880,13897292,18267213
104,Burma,0,0,0,0,0
108,Burundi,0,0,0,0,0
112,Belarus,981403,665128,1122881,1628145,1138879
116,Cambodia,164868247,101189524,152766224,165572978,141942878
120,Cameroon,251753,931842,717058,364736,369850
124,Canada,16293007356,10942302713,14278175748,16216286417,16289510937
132,Cape Verde,4442,12465,0,0,12250
136,Cayman Islands,56621,107343,256931,755549,54455
140,Central African Republic,35223,26096,165987,7559,0
144,Sri Lanka,408877669,391365786,398199202,477887786,502051067
148,Chad,0,0,0,0,0
152,Chile,37460515,32810522,49952680,48809098,56524800
156,China,9643978617,7952913346,9506939879,11212655493,11732493814
158,Taiwan,1042341925,741076240,882606671,1088890661,1140217818
162,Christmas Island,0,0,0,2400,2669
166,Cocos (Keeling) Islands,16907,0,0,3984,39590
170,Colombia,106334326,29178278,39925908,51781539,52113947
174,Comoros,0,0,0,0,0
175,Mayotte,291,0,0,0,0
178,Congo (Brazzaville),301733,39252,0,51059,96982
180,Congo (Kinshasa),9372,12640,1112396,181929,42090
184,Cook Islands,3213,0,0,43234,2072
188,Costa Rica,90048879,112701259,69340182,71277617,22625768
191,Croatia,1622838,906830,1636830,1238099,2056599
192,Cuba,0,0,0,0,0
196,Cyprus,206506,210567,175935,246901,227518
203,Czech Republic,80498921,48703493,68271536,87713111,108322057
204,Benin,26132,0,0,0,0
208,Denmark,152726657,131852225,131599303,140194131,124636706
212,Dominica,12700,0,0,10000,0
214,Dominican Republic,31371518,34940485,38022925,49794546,50423739
218,Ecuador,24545033,47853401,31474123,7396276,3185800
222,El Salvador,4870620,3866140,11422968,17115040,26724806
226,Equatorial Guinea,0,0,0,8193,337293
231,Ethiopia,1352648,1579335,1367976,938784,2660994
232,Eritrea,0,0,0,0,0
233,Estonia,7613323,15355028,12760001,29050959,32606714
234,Faroe Islands,7400,0,0,0,0
238,Falkland Islands (Islas Malvinas),0,3417,0,0,0
242,Fiji,2764,0,9034,0,21403
246,Finland,165514013,111716230,123532549,136722286,171550945
250,France,1589935352,1241062308,1209142606,1265160615,1445028481
254,French Guiana,0,0,0,0,4000
258,French Polynesia,6600,26052,9530,27000,77900
260,French Southern and Antarctic Lands,0,0,0,0,0
262,Djibouti,30288,6200,0,0,0
266,Gabon,20740166,36622825,62743155,80673450,55100504
268,Georgia,88349,12896,8130,815081,49233
270,Gambia,14580,0,0,0,426
276,Germany,5842988742,3469353739,3219797208,4159785357,4196567110
288,Ghana,3068787,214774,492548,642407,237971
292,Gibraltar,19221,23615,5698,2167,20537
296,Kiribati,0,0,0,0,0
300,Greece,7998143,5077974,9173420,9880134,8869516
304,Greenland,0,0,0,0,0
308,Grenada,0,2352,0,0,0
312,Guadeloupe,38709,0,928,0,4233
320,Guatemala,130141909,91064669,71274497,27093849,11269164
324,Guinea,0,3545,4342,21974,5148
328,Guyana,0,23542,0,27888,3849
332,Haiti,18113086,17526210,16133614,379337,26918
334,Heard and McDonald Islands,0,0,0,0,0
336,Vatican City,0,0,0,12390,6304
340,Honduras,48905769,28584546,27712852,6676914,7054627
344,Hong Kong,238199828,55543712,55877361,49267623,49181979
348,Hungary,64366233,75516810,82582919,122453899,157877859
352,Iceland,165446,332574,389448,303618,20591
356,India,766419510,542534414,667777762,885020766,1026704959
360,Indonesia,433986504,408836115,501639758,653367542,669098167
364,Iran,137956,156662,33975,0,4344
368,Iraq,794992,300890,7261172,5000,0
372,Ireland,257891528,506671949,1497345761,1313434057,1192256105
376,Israel,330759417,271297385,308315157,386570658,380180579
380,Italy,1132620798,776526456,790666632,888726973,1029376626
384,Cote d'Ivoire,260062,328395,594555,862368,2057
388,Jamaica,46084523,15797105,7618684,226005,288902
392,Japan,5574775473,3573595242,4776565887,5088078966,6227128182
398,Kazakhstan,44037913,46561070,21753228,34459065,23844322
400,Jordan,43098161,39891039,56651048,81911969,74248524
404,Kenya,8556453,2177456,1792180,1912998,872305
408,"Korea, North",0,0,0,0,0
410,"Korea, South",621275474,488194498,817530770,1042563333,1119518297
414,Kuwait,58541,105535,88502,114678,824358
417,Kyrgyzstan,28030,2859,264068,47805,133575
418,Laos,149221,1661426,599129,0,2355044
422,Lebanon,463687,240067,231660,349738,214261
426,Lesotho,2593120,1504033,1480447,1708109,1301849
428,Latvia,3499139,2309869,2455238,2526112,2505892
430,Liberia,28568290,0,0,15068,480
434,Libya,24667,25003722,16195,0,0
438,Liechtenstein,21843,323186,282772,1317722,93389
440,Lithuania,552636,361674,455754,972139,2347380
442,Luxembourg,3593997,5264932,3575088,4541496,7504545
446,Macau,107003237,30287901,16571099,5530480,3989825
450,Madagascar,7124183,3903899,1247031,200189,386896
454,Malawi,825954,0,0,217046,0
458,Malaysia,410283896,338765613,375407853,405674692,409202376
462,Maldives,24626,16607,0,24400,39150
466,Mali,8003,3312,0,14575,4874
470,Malta,1486870,965637,625053,721563,510347
474,Martinique,37184,255,0,0,0
478,Mauritania,0,0,0,0,0
480,Mauritius,7658867,8618721,11137781,16849388,13332457
484,Mexico,5085533627,4194615601,5547682164,6147617452,6659600106
492,Monaco,13926,13639,16565,91731,2211855
496,Mongolia,1030023,27436,0,0,34544
498,Moldova,119432,39549,26017,624,11441
499,Montenegro,24750,86179,16843,46447,210301
500,Montserrat,2989,0,0,4050,11176
504,Morocco,10967299,3411921,2231581,2453685,7987551
508,Mozambique,0,14717,5729,9901,1325
512,Oman,417887,168930,6104371,12941253,13865561
516,Namibia,0,0,0,25626,36535
520,Nauru,580576,0,63244,28397,0
524,Nepal,5369918,215600,155503,362689,699192
528,Netherlands,421280112,293240824,326973624,326233485,424807414
528,Netherlands Antilles,37450,57178,5593,19219,0
531,Curacao,0,0,0,54056,20000
533,Aruba,10000,12198249,6075,3000,3818
534,Sint Maarten,0,0,0,0,12000
540,New Caledonia,2914549,3831390,7534082,3504,1646107
548,Vanuatu,0,0,1167,227845,0
554,New Zealand,105241985,39163534,17267357,25030660,14627299
558,Nicaragua,5037402,3701439,8513645,6641592,39204299
562,Niger,75636,18495,2723,1737,516488
566,Nigeria,363934,35558930,217168,95395,43489
570,Niue,0,0,0,0,0
574,Norfolk Island,0,0,0,500,0
578,Norway,56587016,41797626,124161779,111167599,92391154
583,Micronesia,0,0,73566,0,1352
584,Marshall Islands,0,0,0,0,0
585,Palau,0,0,0,0,0
586,Pakistan,60011052,40549853,35773302,36131793,38708271
591,Panama,1164315,371310,1025509,702654,561295
598,Papua New Guinea,0,14964,24074,48098,108258
600,Paraguay,209252,171275,109371,150860,142022
604,Peru,102903455,71470506,72936052,88652081,47569835
608,Philippines,316878145,234600664,271966692,301875029,305620169
612,Pitcairn Islands,0,0,0,0,0
616,Poland,52432151,45729846,111027842,194270514,187671555
620,Portugal,51327892,21817575,40888000,119808229,61006959
624,Guinea-Bissau,0,0,0,0,0
626,Timor-Leste,0,0,0,0,0
634,Qatar,1460990,459039,3489222,3701924,1967091
638,Reunion,7628,0,0,0,0
642,Romania,40031655,21493362,29750323,42718037,63241568
643,Russia,717500609,795365385,46060982,70725352,258478411
646,Rwanda,4557,4495,0,1750,0
654,St Helena,6300,31080,19750,18783,0
659,St Kitts and Nevis,263336,79981,46699,76546,66449
660,Anguilla,6869,0,0,0,46098
662,St Lucia,334095,63363,482972,143691,0
666,St Pierre and Miquelon,0,0,0,0,0
670,St Vincent and the Grenadines,0,0,3000,5308,0
674,San Marino,0,0,39962,0,23973
678,Sao Tome and Principe,0,0,20469,344,0
682,Saudi Arabia,3321028,9949504,4833234,10323092,10603873
686,Senegal,6580,21080,8750,67920,14334
