id,Country,2008,2009,2010,2011,2012
0,World Total,-13768667183,-8955139360,-11668766111,-13490776481,-14981749866
4,Afghanistan,22436441,12692045,30651201,11552240,2135312
8,Albania,412827,1667385,180937,257375,139968
12,Algeria,-219375587,-169847191,-634585120,24227890,-37159621
20,Andorra,4796138,50231,469131,159594,2710
24,Angola,-880393907,-275315350,-65704223,3708602,8120846
28,Antigua and Barbuda,593484,1362951,476060,218767,532207
31,Azerbaijan,3336250,2170245,10111996,45609741,6440446
32,Argentina,55599191,33379177,76626897,105964120,107060070
36,Australia,690606755,569561861,753197226,713820972,829332538
40,Austria,-179858057,-101815763,-221527041,-376962940,-232310876
44,Bahamas,8072615,7601840,8119112,9578807,10112619
48,Bahrain,38383240,5507231,8790359,11758913,61773298
50,Bangladesh,-47892056,-47821896,-73847514,-98646854,-105942063
51,Armenia,71345,-102866,127285,598728,252703
52,Barbados,6047478,5818364,4284854,4011976,5013002
56,Belgium,468376407,314334050,331245533,353545147,252995256
60,Bermuda,6027368,7076421,5853736,5113624,4252126
64,Bhutan,3746,49182,46173,-11950,38795
68,Bolivia,9101413,804071,3052865,10771889,4972630
70,Bosnia and Herzegovina,-887333,108965,46666,-70317,384321
72,Botswana,23616,292232,731349,186385,2589302
76,Brazil,1480364395,889572990,1016271052,1031565631,1019050240
84,Belize,926280,1399338,2718794,2485349,1941854
86,British Indian Ocean Territories,19402,0,44284,0,-4254
90,Solomon Islands,4437,6476,25208,268257,62044
92,British Virgin Islands,791028,1224564,905388,505873,545417
96,Brunei,4673362,1578774,2271511,1828044,5593254
100,Bulgaria,5352149,-866199,-5270923,-9936659,-13685428
104,Burma,82828,111075,0,1547955,608778
108,Burundi,52206,4235,77971,56435,97147
112,Belarus,14404312,17048975,31970780,18337136,11302959
116,Cambodia,-163811725,-99581699,-152360636,-164690274,-140794547
120,Cameroon,307772,-316977,223919,815603,658212
124,Canada,3769229252,3256521808,2943188365,2578868964,3307631726
132,Cape Verde,429513,388156,44236,170181,306997
136,Cayman Islands,6016810,3853033,4444333,2724659,2896579
140,Central African Republic,225314,83347,-146002,78380,0
144,Sri Lanka,-403392536,-386625059,-393990124,-471661228,-494663122
148,Chad,79613,237854,244974,230893,307427
152,Chile,125622326,79429333,111607039,186514627,217229038
156,China,-7825070065,-6066663598,-7218418171,-8473076404,-8885148498
158,Taiwan,-630212444,-461178098,-503434715,-701186125,-746392592
162,Christmas Island,108148,43770,4264,-2400,-2669
166,Cocos (Keeling) Islands,-14152,0,55543,-3984,-39590
170,Colombia,34811534,76719204,81357747,96083667,108172243
174,Comoros,4433,25544,0,0,0
175,Mayotte,-291,0,4571,91480,103388
178,Congo (Brazzaville),11318,85936,614066,451872,1265140
180,Congo (Kinshasa),1014174,477536,1036340,1296973,617995
184,Cook Islands,51062,2724,7037,13409,7223
188,Costa Rica,-34407418,-59777545,-14893674,-6501897,49565170
191,Croatia,4365101,3375581,782576,1627565,-442379
192,Cuba,0,313132,0,0,0
196,Cyprus,3187736,1667856,1749486,1876259,2027077
203,Czech Republic,-43769536,-10261345,-23676782,-40355670,-56583599
204,Benin,6800691,2487041,3119466,4013654,1713761
208,Denmark,-92445997,-75392596,-80218192,-94787588,-60665935
212,Dominica,340749,321189,3852788,2613360,2692417
214,Dominican Republic,4531331,3582080,32603734,-1008098,-9803323
218,Ecuador,29276922,24041461,26966848,73690221,63478154
222,El Salvador,17226099,18981966,14455036,20975062,9899960
226,Equatorial Guinea,52297,135111,257567,473401,-310143
231,Ethiopia,5428620,1196753,32703621,13405815,21581232
232,Eritrea,66998,22643,63878,49002,17140
233,Estonia,74327,-12433633,-8692268,-20469297,-24455354
234,Faroe Islands,-7400,3270,6730,14524,6707
238,Falkland Islands (Islas Malvinas),0,-3417,0,2600,0
242,Fiji,215509,271230,370108,443946,791708
246,Finland,-95156414,-70847295,-83880974,-74861859,-104519418
250,France,-469420761,-416119984,789101412,1170704182,1224416276
254,French Guiana,238378,498581,52572,697212,153008
258,French Polynesia,1666224,815783,2360131,1151833,2250597
260,French Southern and Antarctic Lands,0,0,0,0,66103
262,Djibouti,32884,935743,733971,471571,219439
266,Gabon,-18607194,-36050540,-61909794,-79233866,-54240150
268,Georgia,840632,10742188,2400032,10774592,2917466
270,Gambia,217776,240092,134831,257279,789670
276,Germany,-4365281517,-2501973981,-2023017780,-2822609468,-2779607649
