id,Country,2005,2006,2007,2008,2009,2010,2011,2012
0,World,14961410086,17173628462,18825489177,20569621721,16724996880,19789522286,22055118359,23097184710
4,Afghanistan,596565,3613222,9957839,8169829,9506403,15163416,16865031,15214495
8,Albania,35784,60344,456336,779411,57683,779349,538156,72638
12,Algeria,39004266,47415091,40084737,28726409,49079963,49526535,27383605,42138149
20,Andorra,70889,24412,22613,485948,66382,70378,55927,0
24,Angola,2584121,5683812,6178862,15422349,13756924,5178259,18740272,3893551
28,Antigua and Barbuda,556396,1350983,461443,520372,657136,477843,350468,297076
31,Azerbaijan,1833176,3643619,1191267,808029,4244727,370110,328934,2735533
32,Argentina,45621371,55765051,68344456,93957057,79490708,80139834,117209987,107232896
36,Australia,425077745,466637349,563671910,583464512,510023997,582899292,762377660,865494864
40,Austria,52608441,48514320,41536238,35554106,32848659,35834239,42880901,42191913
44,Bahamas,3915999,6110499,6368651,6056678,6080553,10051867,9675519,6885616
48,Bahrain,2343132,5407358,7878234,14548546,9710194,8888453,13326276,9138560
50,Bangladesh,25993671,38473442,32796468,37434863,25079434,25157678,21918697,19888624
51,Armenia,0,84827,423349,101560,158754,184595,140935,106397
52,Barbados,2655643,3682531,2514316,3295571,2356260,3545146,2987132,3834318
56,Belgium,376133801,383760223,422926517,414084434,289232787,376832120,365977342,410783047
60,Bermuda,4436224,5190162,4984530,5741301,5346935,6605016,7679376,5875067
64,Bhutan,0,0,4463,27597,53944,32619,5373,6963
68,Bolivia,2628002,2823454,3013553,3274549,7012398,3435915,6530878,8793024
70,Bosnia and Herzegovina,1441482,1221761,704507,416505,1579231,1339519,1594538,743039
72,Botswana,1713025,1086523,270756,1335312,4682036,907228,208259,704889
76,Brazil,247197597,248436933,326535429,420055200,391373398,558698006,574460220,497732368
84,Belize,1200851,1664397,1142131,2054125,830757,631718,1039717,991528
86,British Indian Ocean Territory,0,12839,0,0,0,0,0,116975
90,Solomon Islands,11650,13000,24360,0,0,44275,6880,141578
92,British Virgin Islands,273113,446214,577952,546655,1013053,309636,546470,559041
96,Brunei,482270,448040,384468,464415,444698,961591,314759,863828
100,Bulgaria,5495705,5658058,5177360,15009697,8874477,3507904,6726475,7625686
104,Burma (Myanmar),8910,398710,144328,743709,6008,90784,223451,76458
108,Burundi,18384,3032,1941635,317935,3086952,0,962812,3039592
112,Belarus,373926,755640,1762139,1492016,1917480,262301,1683126,2321660
116,Cambodia,1029405,47969,2846763,77187,979523,247833,298933,457625
120,Cameroon,42789,83784,69070,74804,1330057,1161783,440306,220050
124,Canada,5259366996,5459259309,5896124667,6515851867,4835990811,6052797469,7145027282,7618107579
132,Cape Verde,61575,1802325,84668,11450,99711,13276,2700,35975
136,Cayman Islands,5560969,8010696,4924877,3867500,1795250,4070880,1730625,2644733
140,Central African Republic,77464,0,2257345,1674587,11174,64930,0,7791
144,Sri Lanka,2225918,2418334,4367579,2474367,2101798,1950129,2048923,3897112
148,Chad,216880,788790,1074663,200000,190016,0,0,35918
152,Chile,120891517,120790701,188252380,307662646,361360770,422408249,614356677,553833208
156,China,673256325,870111254,1178914538,1230797313,1097618968,1333238575,1380660109,1543696686
158,Taiwan,198682195,259117937,219215966,249552183,134515287,191427233,222295073,192316823
162,Christmas Island,3000,0,6334,27377,21814,59955,31679,0
166,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0
170,Colombia,72710918,94427810,84744001,109092472,99934953,181781987,150896596,174037526
174,Comoros,0,0,28526,14284,0,0,0,0
175,Mayotte,0,0,0,0,0,12517,80696,69304
178,Congo,138445,89827,279409,222074,572980,268852,331155,2597914
180,Democratic Republic of Congo,1599496,1629910,6472559,1639688,414806,110094,970229,2228215
184,Cook Islands,0,0,0,0,6093,3068,4318,0
188,Costa Rica,27984078,33929268,45632334,53934091,36278616,38247054,40788110,45190427
191,Croatia,4576244,2817595,5165192,6427615,5417992,5301294,5250119,4327234
192,Cuba,260000,635358,76876,221569,1165898,1318445,1533831,1608535
196,Cyprus,2686646,1776235,1690430,6811259,3216955,1539943,2238365,1610278
203,Czech Republic,39666278,38204105,47320081,56873064,37047965,64120632,61833425,57199884
204,Benin,116884,187540,241734,464906,404755,614135,505348,575295
208,Denmark,39340854,51961849,60317831,63976625,47807140,49760763,52722073,52398705
