id,Country,2008,2009,2010,2011,2012
0,World Total,-1051270606,123159979,-71593256,60718872,-284568640
4,Afghanistan,8134240,9498372,15055913,16861207,15214495
8,Albania,779411,56426,778826,504472,60671
12,Algeria,28726409,49061031,49526535,27364143,41989452
20,Andorra,485560,66005,-62293,16320,0
24,Angola,15422349,13756924,5178259,18734230,3893551
28,Antigua and Barbuda,517672,657136,473843,348368,297076
31,Azerbaijan,808029,4244727,370110,145906,2711157
32,Argentina,80815158,71127107,73110705,108578870,99610896
36,Australia,438148926,371264423,307591910,581909135,697428054
40,Austria,-140402289,-79276356,-95463674,-130105329,-140187245
44,Bahamas,5903181,6079453,10039666,9639090,6877884
48,Bahrain,8893072,6762474,8676737,6769772,4388912
50,Bangladesh,-81169938,-96714535,-103819728,-155006629,-182807348
51,Armenia,-47251,112327,158820,84266,5680
52,Barbados,3257831,2301060,3477651,2917530,3686811
56,Belgium,289058004,156956578,292130262,284754381,332413732
60,Bermuda,5581335,5180515,6546728,7440219,5632527
64,Bhutan,27597,53944,32619,5373,6963
68,Bolivia,3263889,6937768,3401195,6509389,8515491
70,Bosnia and Herzegovina,-211863,1363518,1138053,1264517,465209
72,Botswana,1335312,4682036,907228,205759,704889
76,Brazil,237535237,312285591,469705766,464811855,384901112
84,Belize,2054125,830757,618069,1029717,937049
86,British Indian Ocean Territories,0,0,0,0,116975
90,Solomon Islands,0,0,36997,6880,141578
92,British Virgin Islands,546655,921108,299566,184298,473082
96,Brunei,-3058302,-1340094,947433,314759,858059
100,Bulgaria,11435603,7022740,1860035,3933240,3920012
104,Burma,743709,6008,90784,223451,76458
108,Burundi,317935,3086952,0,962812,3039592
112,Belarus,1338996,1814894,30437,1542782,2117452
116,Cambodia,-47828055,-57571389,-107047152,-149027817,-174956520
120,Cameroon,-85046,1176181,1157483,412136,179289
124,Canada,1555882078,1559340250,2202294169,3116876867,3224484837
132,Cape Verde,6027,99434,7356,2700,35975
136,Cayman Islands,3694930,1709208,4068200,1723560,2610868
140,Central African Republic,1674587,11174,64930,0,7791
144,Sri Lanka,-58141091,-60808049,-69579312,-90113641,-84843187
148,Chad,200000,190016,0,0,35918
152,Chile,298282162,350380732,414320296,602708846,541380763
156,China,-3297182413,-2881531466,-3443487216,-3998045773,-4227531993
158,Taiwan,-255838844,-210337087,-250295640,-279009854,-306360736
162,Christmas Island,27377,21814,59955,31679,0
166,Cocos (Keeling) Islands,-763,-25900,0,-72800,0
170,Colombia,91222538,78909965,144608237,121860445,140835840
174,Comoros,14284,0,0,0,0
175,Mayotte,0,0,12517,80696,69304
178,Congo (Brazzaville),222074,570261,261532,331155,2584817
180,Congo (Kinshasa),1639688,414806,84373,970229,2228215
184,Cook Islands,0,6093,-39559,4318,0
188,Costa Rica,15169194,-23125304,-88675096,-88700410,-61151644
191,Croatia,2734884,2402365,750145,750720,132410
192,Cuba,221569,1165898,1318445,1533831,1608535
196,Cyprus,6811259,3200584,1536252,2229919,1575496
203,Czech Republic,21044657,13867424,30198816,9240374,4572944
204,Benin,464906,404755,613855,504968,575295
208,Denmark,-15085771,-23102644,-28975744,-42354274,-41474848
212,Dominica,495166,562952,614761,220542,185383
214,Dominican Republic,41922152,-450390,39774493,35351738,25519431
218,Ecuador,25049828,-4243958,15859617,16977305,28729964
222,El Salvador,-647445,1378653,9354380,3842027,7715498
226,Equatorial Guinea,328933,1786374,597534,300087,188929
